Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Green Valley Turf Co.,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","H-2 Enterprises, LLC",,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","H-2 Enterprises, LLC",,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Herbco,Rocky Mountain Herbs,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Heritage Farms West,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",High Plains Greenhouse,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Hillrose Dairy LLC,Hillrose Dairy LLC,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Honey Rock LLC,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Horiuchi Brothers, Inc.",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Horizon Environmental Services, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Horizon Lawn & Tree Care, Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Horta USA, LLC dba Botany Lane Greenhouse",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Humalfa the Organic Fertilizer Company LLC,,20 to 99,3,"CO, OK, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Hunot Retardant Co.,,100 to 499,35,"AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Hydro-Turf, Inc.",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Intergrated Management Information,,10 to 19,2,"CO, MO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",J N S Inc.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",James Ranches Landscaping Inc,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",JB FARMS LLC,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","JD Heiskell Holdings, LLC",,100 to 499,21,"CA, CO, IA, ID, ME, NE, NM, NY, TX, VT"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Jim McCullough Farms LLC,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",John Deere,,"10,000 and over",28,"CA, CO, FL, GA, IA, IL, KS, LA, MO, NC, ND, OR, TN, TX, WI"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Jones Landscape Care Co, Inc.","Jones Tree & Lawn, Inc.",10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Kaiser Farms Inc.,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",KC Farms,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Keithly Williams Seeds Inc.,,20 to 99,15,"AZ, CA, CO, ID, TX, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",KORBY SOD,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Korby Sod LLC,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",L&P Ranch,Denham Ranch,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","L7 Trading, LLC",L7 Trade Group,20 to 99,2,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",La Junta Milling and Elevator,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Lazy Bee Acres, LLC",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Lefthand Fire Protection District,Lefthand Fire Protection District,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Limagrain Cereal Seeds,,10 to 19,4,"CO, IN, KS, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Longmont Dairy Farm Inc.,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Lost Creek Dairy, LLC",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Luberski Inc.,Hidden Villa Ranch,100 to 499,6,"CA, CO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",M & M COOPERATIVE,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Mark A. Morgan,Morgan Timber Products,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Meridian Wildlife Services,Meridian Bird Removal,100 to 499,106,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Midland National Life Insurance Company,,"1,000 to 2,499",52,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","MIG International Group, Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Mile High Growers LLC High Plains Greenhouses,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Mile High Growers LLC High Plains Greenhouses,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Mission Produce, Inc.",Mission Produce,100 to 499,7,"CA, CO, GA, IL, NJ, TX, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Moose Agricultural LLC,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Morgan Timber Products,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Mountain States Rosen,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Mountain States Rosen,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Murphy-Brown LLC - Yuma,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","New Face & Figures Aesthetics Group, LLC",New Face & Figures Day Spa,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",norms sod &sprinkler service,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",North Mountain Forestry,,5 to 9,2,"AZ, CO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Nutrien Ag Solutions,,"10,000 and over",1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","NuVue Pharma, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Opal Foods,,100 to 499,10,"CO, IA, MO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Orchard Mesa Greenhouse Inc,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Osage Gardens, Inc",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Pacific Edge Land & Cattle LLC dba D&D Feedlot West,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Peak Spirits,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Pepper Potato Farms, Inc",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Performance Plus Colorado,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Performance Plus Liquids,,20 to 99,4,"CO, ID, NE"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","PFFJ, LLC",,100 to 499,4,"AZ, CA, CO, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","PGM, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",PINE RIVER IRRIGATION DISTRICT,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Pinnacle Agriculture Holdings, LLC",,"1,000 to 2,499",183,"AL, AR, AZ, CA, CO, DE, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, MT, ND, NM, OK, SD, TN, TX, VA, WI"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Play! Stay! & More, LLC",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Pro-Health LLC,,100 to 499,4,"CO, GA, NE, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Pro-Health, LLC",,100 to 499,4,"CO, GA, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Rakhra Mushroom Farm, Corp.",,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",RAMON M ORNELAS dba ORNELAS AG SERVICE,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Red Mountain Design, dba THINGS THAT GROW",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",ROBINSONS FARM,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Rocky Mountain Native Plants Company,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Rogue Resources, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Rosen of Colorado, Inc",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Rue Logging, Inc",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Schneider & Sons, Inc",Nitro-Green,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Seven T Farms,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","SHENANDOAH GROWERS, INC.",,100 to 499,12,"AZ, CO, GA, HI, IN, MI, TX, VA, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Shenandoah Growers, Inc.","Shenandoah Growers, Inc.","1,000 to 2,499",12,"AZ, CA, CO, GA, HI, IN, MI, TX, VA, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Sierra Forest Products,,20 to 99,20,"CA, CO, IL, UT"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Simply Grown,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Skyland Grain LLC,Skyland Grain LLC,100 to 499,7,"CO, KS"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","SMOKIN SPUDS, INC.",,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","South Park Animal Clinic, PC","South Park Animal Clinic, PC",20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",South Platte Produce LLC,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Southwest Conservation Corps,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Southwest Farms Inc,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Spring Creek Ranch, Limited Liability Company",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Spud Grower Farms, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Steve Koon Landscape & Design Inc,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Sugar Hill Dairy LLC,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Summit Landscaping, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",T J CROWDER & SONS LLC,HUMALFA  AMERICAS ORGANINC FERTILIZER CO,10 to 19,2,"CO, OK"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Tagawa Greenhouse Enterprises LLC,InColor,500 to 999,4,"AZ, CO, NM"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Teague Diversified, Inc.",,100 to 499,4,"CO, NE"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Telluray Ranch Corp.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Terra Restoration Services, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",The National Association of State Departments of Agriculture,,"2,500 to 4,999",13,"AR, CA, CO, GA, IA, KY, MI, MO, NE, PA, TX, VA, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",The Natural Way Inc,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Things That Grow,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Timmerman Feeding Company LLC,Timmerman Feeding Co LLC,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Top Notch Tree Service LLC,Top Notch Tree Service,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Total Field & Environmental Services, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Turner Enterprises Inc.,,100 to 499,28,"AR, AZ, CA, CO, FL, GA, KS, MT, NE, NM, OK, SC, SD"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","TweedLeaf, LLC",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",U.S. Department of Agriculture,,"10,000 and over",14,"AK, AR, CA, CO, DC, HI, ID, MN, NM, NV, OR, UT, WA, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Uncompahgre Valley Water Users Assoc.,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Urban Earth Gardening Services, LLC",same,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",US Department of Agriculture  Departmental Human Resources Division,,"1,000 to 2,499",5,"CO, DC, MD, MO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",US Forest Service,,"10,000 and over",50,"AZ, CA, CO, FL, GA, ID, MT, NM, UT, VA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",USDA Rural Development,,500 to 999,7,"CA, CO, ID, NM, OR, WA, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",USDA Rural Development,,100 to 499,7,"CA, CO, ID, NM, OR, WA, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",USDA-NATURAL RESOURCE CONSERVATION SERVICES,,100 to 499,11,"AR, CO, LA, MS, NC, NE, OR, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",USDA-NRCS,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",USDA-NRCS,,100 to 499,9,"AR, CO, LA, MS, NC, NE, OR, TX, WV"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Valley Grown Nursery,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Veeman & Sons Dairy,Veemans Dairy,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Veeman Dairy,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Vineland Enterprises, Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",WATKINS GRAIN LLC,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Welby Gardens Co. Inc.,,100 to 499,3,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Welby Main,,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Wes Moser Inc,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",West Range Reclamation LLC,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","West Range Reclamation, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","White Mountain Farm, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","White Rock Specialties, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Whiting Farms, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Wilbur Ellis Holdings II,Wilbur Ellis Company,"2,500 to 4,999",238,"AZ, CA, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, NC, ND, NE, NM, OH, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Wildcat Dairy, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Wilhelmina Dairy LLC,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Winter Livestock,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Woerner Farms, LLC",,100 to 499,7,"AL, CO, FL"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Woodland Trees, Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Wright Service Corp.,,"2,500 to 4,999",4,"AL, CO, MN, OK"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Yuma County Dairy LLC,,20 to 99,2,"CO, NE"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",1888 Industrial Services,,100 to 499,4,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","4 Corners Well Service, Inc.",,20 to 99,3,"CO, NM, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Accurate Oil Field Services, Inc.",,5 to 9,1,CO
