,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
36,C-11264-55577,2011-10-18,2011-09-21,DENIED,H-2B,CA,2011-12-11,2012-04-30,"MAMMOTH MOUNTAIN SKI AREA, LLC",1 MINARET ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",30.0,0,21.3,HR,21.3,HR
37,C-11264-55578,2011-10-18,2011-09-21,DENIED,H-2B,CA,2011-11-07,2012-05-13,"MAMMOTH MOUNTAIN SKI AREA, LLC",P.O. BOX 24/MINARET 1 ROAD,,MAMMOTH LAKES,CA,93546,,,,153.224-010,Athletic Trainer,299091.0,Athletic Trainers,ATHLETIC TRAINER,8.0,0,21.3,HR,21.3,HR
38,C-11264-55579,2011-10-18,2011-09-21,DENIED,H-2B,CA,2011-11-07,2012-04-30,"MAMMOTH MOUNTAIN SKI AREA, LLC",MINARET 1 ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,341.367-010,Recreation-Facility Attendant,393091.0,Amusement and Recreation Attendants,RECREATION FACILITY ATTENDANT,6.0,0,10.41,HR,10.41,HR
39,C-11249-55525,2011-10-19,2011-09-06,CERTIFIED,H-2B,LA,2011-10-01,2012-06-01,JESUS ZARRAGA,111 JANE AVENUE,,HOUMA,LA,70363,MALVERN C. BURNETT,NEW ORLEANS,LA,449.687-010,Oyster Floater,453011.0,Fishers and Related Fishing Workers,OYSTER FLOATER,20.0,20,8.38,HR,8.38,HR
40,C-11255-55538,2011-10-19,2011-09-12,CERTIFIED,H-2B,LA,2011-11-01,2012-07-01,CRAWFISH MAGIC INC. DBA LOUISIANA CRAWFISH TIME,1312 VEROT SCHOOL ROAD,,LAFAYETTE,LA,70508,LINDA D. WHITE,LIVINGSTON,LA,442.684-010,"Fisher, Line",453011.0,Fishers and Related Fishing Workers,"FISHER, LINE",4.0,4,7.9,HR,7.9,HR
41,C-11252-55532,2011-10-20,2011-09-09,DENIED,H-2B,DC,2011-09-09,2012-04-09,STADIUM GROUP LLC DBA STADIUM CLUB DC,"2127 QUEENS CHAPEL ROAD, N.E.",,WASHINGTON,DC,20017,PAUL SAUL HAAR/ LAW OFFICES OF PAUL S. HAAR,WASHINGTON,DC,151.047-010,Dancer,272031.0,Dancers,DANCER,12.0,0,7.69,HR,7.69,HR
42,C-11249-55524,2011-10-24,2011-09-06,DENIED,H-2B,MT,2011-12-10,2014-12-10,MANTANA,64 WISCONSIN CREEK ROAD,,SHERIDAN,MT,59749,,,,142.061-018,Fashion Designer,271022.0,Fashion Designers,FASHION DESIGNER,1.0,0,400.0,WK,400.0,WK
43,C-11257-55544,2011-10-24,2011-09-14,DENIED,H-2B,VA,2011-10-17,2013-04-17,DENNY P. KO,4933 SAMMY JOE DRIVE,,FARIFAX,VA,22030,GLENDIA DELAINE RICE-MONDESIR,WASHINGTON,DC,099.224-014,"Teacher, Adventure Education",253021.0,Self-Enrichment Education Teachers,"TEACHER, ADVENTURE EDUCATION",1.0,0,26.11,HR,26.11,HR
44,C-11262-55558,2011-10-24,2011-09-19,DENIED,H-2B,KY,2011-10-01,2012-07-31,WALTZ TRAINING STABLES,4782 SHADOWOOD CT.,,CINCINNATI,OH,45244,LAURA ELIZABETH CONLEY MORGAN,LEXINGTON,KY,153.674-010,"Exerciser, Horse",392021.0,Nonfarm Animal Caretakers,"EXERCISER, HORSE",5.0,0,7.98,HR,7.98,HR
45,C-11263-55565,2011-10-24,2011-09-20,DENIED,H-2B,AZ,2011-11-01,2012-11-01,SAGUARO ACRES ASSISTED LIVING HOME DBA SAGUARO ACR,18002 S. PLACITA OCTUBRE,,GREEN VALLEY,AZ,85614,,,,354.377-014,Home Attendant,311011.0,Home Health Aides,HOME ATTENDANT,4.0,0,6.5,HR,6.5,HR
46,C-11263-55569,2011-10-24,2011-09-20,DENIED,H-2B,CO,2011-08-01,2012-07-31,"WILLIAMS, LLC DBA ROCKY MOUNTAIN CHOCOLATE FACTORY",6999 S. ODESSA ST.,,CENTENNIAL,CO,80016,,,,529.361-014,Candy Maker,513092.0,Food Batchmakers,CANDY MAKER,1.0,0,8.0,HR,8.0,HR
47,C-11266-55591,2011-10-24,2011-09-23,DENIED,H-2B,FL,2011-11-01,2012-08-31,"PERU 2 U, LLC",130 E. BALTIMORE AVE,,LANSDOWNE,PA,19050,,,,700.381-054,Stone Setter,519071.0,Jewelers and Precious Stone and Metal Workers,STONE SETTER,1.0,0,25.13,HR,25.13,HR
48,C-11290-55634,2011-10-24,2011-10-17,CERTIFIED,H-2B,MS,2011-10-01,2012-06-30,"SOUTHERN MISSISSIPPI PINESTRAW, LLC",PO BOX 331,5181 US HIGHWAY 11,PURVIS,MS,39455,FLORENCE COKE HARDIGREE,MENDENHALL,MS,452.687-010,Forest Worker,454011.0,Forest and Conservation Workers,FOREST WORKER,38.0,38,10.9,HR,10.9,HR
49,C-11291-55639,2011-10-24,2011-10-18,CERTIFIED,H-2B,LA,2011-10-01,2012-01-31,"LAFOURCHE SUGARS, LLC",141 LEIGHTON QUARTERS ROAD,,THIBODAUX,LA,70301,BRENDA J. DEARMAS RICCI,NEW ORLEANS,LA,022.061-010,Chemist,192031.0,Chemists,CHEMIST,1.0,1,21.93,HR,21.93,HR
50,C-11207-55305,2011-10-26,2011-07-26,DENIED,H-2B,VA,2011-10-01,2012-05-31,"SUNSET POOL, INC.",6066 LEESBURG PIKE,,FALLS CHURCH,VA,22041,YONG MEN,ATLANTA,GA,379.667-014,Lifeguard,339092.0,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",LIFEGUARD,200.0,0,,,,
51,C-11236-55458,2011-10-26,2011-08-24,CERTIFIED,H-2B,LA,2011-10-15,2012-05-31,"DAYBROOK FISHERIES, INC.",136 DAYBROOK LANE,PO BOX 128,EMPIRE,LA,70050,JEREMY S. ZOLLINGER,NEW ORLEANS,LA,819.361-010,Welder-Fitter,514121.0,"Welders, Cutters, Solderers and Brazers",WELDER FITTER,40.0,40,19.66,HR,19.66,HR
52,C-11238-55481,2011-10-26,2011-08-26,DENIED,H-2B,CO,2011-10-01,2012-05-31,"WESTWARD ENTERPRISES, LLC DBA COLORADO HORSE PARK",7522 S. PINERY DRIVE,,PARKER,CO,80134,,,,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12.0,0,14.32,HR,14.32,HR
53,C-11250-55527,2011-10-26,2011-09-07,DENIED,H-2B,NC,2011-09-01,2011-11-30,KENNAN'S AUTO REPAIR INC,312 CIRCLE LANE,,RALEIGH,NC,27603,,,,620.281-018,Automotive-Maintenance-Equipment Servicer,499041.0,Industrial Machinery Mechanics,AUTOMOTIVE MAINTENANCE EQUIPMENT SERVICER,1.0,0,9.5,HR,9.5,HR
54,C-11252-55535,2011-10-26,2011-09-09,DENIED,H-2B,CO,2011-10-01,2012-05-11,"SUREFOOT, L.C.",1500 KEARNS BOULEVARD,SUITE A-100,PARK CITY,UT,84060,AMY JILL NOVAK/NOVAK LAW OFFICE,VAIL,CO,822.131-018,Line Supervisor,491011.0,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",LINE SUPERVISOR,1.0,0,23.78,HR,23.78,HR
55,C-11256-55542,2011-10-26,2011-09-13,DENIED,H-2B,GA,2011-08-15,2012-06-12,ICLAMS CORPORATION,1922 AMBROISA COURT,,DACULA,GA,30019,,,,860.381-022,Carpenter,472031.0,Carpenters,CARPENTER,15.0,0,,HR,21.44,HR
56,C-11257-55543,2011-10-26,2011-09-14,DENIED,H-2B,MI,2011-11-01,2012-04-30,"SKI BRULE, INC.",397 BRULE MOUNTAIN ROAD,,IRON RIVER,MI,49935,,,,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",16.0,0,8.25,HR,8.25,HR
57,C-11264-55571,2011-10-26,2011-09-21,DENIED,H-2B,UT,2011-12-01,2012-04-20,ASC UTAH DBA THE CANYONS,4000 CANYONS RESORT DRIVE,,PARK CITY,UT,84098,,,,341.665-010,Ski-Tow Operator,393091.0,Amusement and Recreation Attendants,SKI TOW OPERATOR,65.0,0,7.69,HR,9.0,HR
58,C-11266-55586,2011-10-26,2011-09-23,CERTIFIED,H-2B,NJ,2011-10-10,2012-04-07,SOCCER CENTERS LLC,300 MEMORIAL DRIVE,,SOMERSET,NJ,8873,,,,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",4.0,4,13.5,HR,13.5,HR
59,C-11287-55628,2011-10-26,2011-10-14,DENIED,H-2B,OK,2012-02-01,2012-12-01,VANTRIEST LANDSCAPE LLC,3013 WEST DETROIT,,BROKEN ARROW,OK,74012,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",4.0,0,10.93,HR,10.93,HR
60,C-11287-55629,2011-10-26,2011-10-14,DENIED,H-2B,OK,2012-02-01,2012-12-01,"K.L. BLANKENSHIP, INC.",11947 SOUTH CANTON AVENUE,,TULSA,OK,74137,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",8.0,0,10.93,HR,10.93,HR
61,C-11287-55633,2011-10-26,2011-10-14,DENIED,H-2B,OK,2012-02-01,2012-12-01,THE EXTERIOR DECORATOR,209 EAST CHARLOTTE,,BROKEN ARROW,OK,74011,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",6.0,0,,,,
62,C-11292-55641,2011-10-26,2011-10-19,CERTIFIED,H-2B,AK,2012-01-10,2012-04-30,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,529.361-014,Candy Maker,513092.0,Food Batchmakers,CANDY MAKER,4.0,4,19.6,HR,19.6,HR
63,C-11292-55642,2011-10-26,2011-10-19,CERTIFIED,H-2B,AK,2012-01-10,2012-06-01,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,521.685-302,Slicing-Machine Operator,519032.0,"Cutting and Slicing Machine Setters, Operators, and Tenders",SLICING MACHINE OPERATOR,7.0,7,22.25,HR,22.25,HR
64,C-11292-55643,2011-10-26,2011-10-19,CERTIFIED,H-2B,AK,2012-01-10,2012-04-30,"ARCTIC STORM, INC.","2727 ALASKAN WAY, PIER 69",,SEATTLE,WA,98121,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,520.687-034,Food Mixer,519199.0,"Production Workers, All Other",FOOD MIXER,2.0,2,22.0,HR,22.0,HR
65,C-11292-55646,2011-10-26,2011-10-19,PARTIAL CERTIFIED,H-2B,SD,2011-11-01,2012-05-30,"FROHLING MEATS, INC.",225 MAIN STREET,,HECLA,SD,57446,"KEVIN MICHAEL OPP/ EMPLOYMENT USA, LLC",ABERDEEN,SD,525.684-054,"Trimmer, Meat",513022.0,"Meat, Poultry, and Fish Cutters and Trimmers","TRIMMER, MEAT",8.0,7,8.44,HR,8.44,HR
