,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
10,C-10242-50941,2010-09-07,2010-08-30,DENIED,H-2B,MA,2010-11-01,2012-11-01,ADAM FOX,26 TRAVIS ST.,,WORCESTER,MA,1604,,,,301.677-010,CHILD MONITOR,1.0,0,12.0,HR,12.0,HR
11,C-09324-47311,2009-12-09,2009-11-20,CERTIFIED,H-2B,MA,2009-12-20,2010-07-15,"LCA CLEANING SERVICES, INC.","12 RODNEY ST., #1",,WORCESTER,MA,1605,PETER JAMES CRAMER,SUDBURY,MA,382.664-010,JANITOR,8.0,8,10.72,HR,10.72,HR
12,C-10207-50648,2010-08-16,2010-07-26,DENIED,H-2B,MA,2010-05-03,2010-09-03,MEDICA CORPORATION,5 OAK PARK DRIVE,,BEDFORD,MA,1730,,,,019.061-010,BIOMEDICAL ENGINEER,1.0,0,1680.0,BI,1680.0,BI
13,C-10015-48781,2010-01-26,2010-01-14,CERTIFIED,H-2B,MA,2010-04-17,2010-10-30,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD,SUITE 100,WAYLAND,MA,1778,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,321.137-010,HOUSEKEEPER,16.0,16,,,,
14,C-10071-49625,2010-03-12,2010-02-05,CERTIFIED,H-2B,MA,2010-05-18,2010-10-24,"ISLAND HOLDINGS, LLC D/B/A WINNETU OCEANSIDE RESOR",321 COMMONWEALTH ROAD,SUITE 201,WAYLAND,MA,1778,VERONICA STRICKLAND,DALLAS,TX,350.677-030,WAITER/WAITRESS,3.0,3,11.95,HR,11.95,HR
15,C-10123-50025,2010-05-06,2010-05-03,CERTIFIED,H-2B,MA,2010-05-20,2010-10-31,BLUE HILL ASSOCIATES INC. D/B/A BLUE HILL COUNTRY,23 PECUNIT STREET,,CANTON,MA,2021,PETER PETRINA,GARNERVILLE,NY,311.477-026,"WAITER/WAITRESS, FORMAL",7.0,7,8.33,HR,8.33,HR
16,C-09351-47676,2010-01-04,2009-12-15,CERTIFIED,H-2B,NY,2010-04-01,2014-11-30,BOSTON GOLF CLUB,19 OLD COUNTY RD.,,HINGHAM,MA,2043,JOHN GISMONDI,WESTBURY,NY,408.687-014,"LABORER, LANDSCAPE",15.0,15,10.49,HR,10.49,HR
17,C-10021-48935,2010-01-27,2010-01-21,CERTIFIED,H-2B,MA,2010-04-01,2010-12-01,"MACAULEY BROS., INC.",84 PLEASANT STREET,"528 COLUMBIAN STREET, WEYMOUTH, MA 02190",NORWELL,MA,2061,MARK CARCHIDI,YARMOUTH  PORT,MA,408.687-014,"LABORER, LANDSCAPE",12.0,12,10.49,HR,10.49,HR
18,C-09356-47899,2009-12-28,2009-12-18,CERTIFIED,H-2B,MA,2010-04-01,2010-11-30,ROMEIRO'S LANDSCAPING INC,1790 WASHINGTON STREET,,STOUGHTON,MA,2072,APRIL MCKINNEY,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",7.0,7,10.49,HR,10.49,HR
19,C-09362-48217,2010-01-08,2009-12-24,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,SAFE MOVERS INC. DBA ISAAC'S MOVING AND STORAGE,181 CAMPANELLI PARKWAY,,STOUGHTON,MA,2072,"CHARLES F. GOLDSMITH,",BEVERLY,MA,929.687-030,MATERIAL HANDLER,20.0,20,,HR,9.98,HR
20,C-09323-47302,2009-11-23,2009-11-19,PARTIAL CERTIFIED,H-2B,MA,2010-02-22,2010-12-01,GENTLE GIANT MOVING CO INC,29 HARDING ST.,,SOMERVILLE,MA,2143,RITA ROMERO,BAY CITY,TX,929.687-030,MATERIAL HANDLER,70.0,67,9.96,HR,9.96,HR
21,C-09356-47840,2009-12-24,2009-12-17,PARTIAL CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,"GARRICK CONSTRUCTION, INC.",114 EASTERN AVE,,MALDEN,MA,2148,,,,408.687-014,"LABORER, LANDSCAPE",20.0,19,10.49,HR,10.49,HR
22,C-10175-50366,2010-07-16,2010-06-24,CERTIFIED,H-2B,MA,2010-10-01,2011-02-01,"ALMORA COSMETICS, INC.",501 MATTHEW CIRCLE,UNIT 206,BRAINTREE,MA,2184,THOMAS NICHOLAS TOSCANO,GREAT NECK,NY,290.477-014,SALES CLERK,15.0,15,8.67,HR,8.67,HR
23,C-10138-50129,2010-06-16,2010-05-18,DENIED,H-2B,NH,2010-06-01,2010-10-28,"BRCNH HOLDINGS, LLC DBA WILLIAM TELL RESTAURANT &",151 POQUANTICUT AVENUE,,NORTH EASTON,MA,2356,MEGAN E. KLUDT,BOSTON,MA,319.467-010,FOOD ORDER EXPEDITER,1.0,0,,,,
24,C-10113-49962,2010-05-21,2010-04-23,DENIED,H-2B,MA,2010-05-15,2010-10-31,CHARLES RIVER RECREATION D/B/A CHARLES RIVER CANOE,2401 COMMONWEALTH AVENUE,,NEWTON,MA,2466,,,,295.467-014,BOAT RENTAL CLERK,1.0,0,12.0,HR,12.0,HR
25,C-10209-50679,2010-08-10,2010-07-28,CERTIFIED,H-2B,MA,2010-10-01,2011-03-31,THE COUNTRY CLUB,191 CLYDE STREET,,CHESTNUT HILL,MA,2467,MAUREEN O'SULLIVAN,BOSTON,MA,153.227-014,"INSTRUCTOR, PHYSICAL",1.0,1,,,,
26,C-09328-47365,2009-11-30,2009-11-24,CERTIFIED,H-2B,MA,2010-03-01,2010-11-30,SPIKE INC DBA OLYMPIA MOVING & STORAGE,17 BRIDGE STREET,,WATERTOWN,MA,2472,FEDERATION OF EMPLOYERS & WORKERS OF AMERICA,BAY CITY,TX,929.687-030,MATERIAL HANDLER,30.0,30,9.87,HR,9.87,HR
27,C-09286-46657,2009-10-14,2009-07-22,PARTIAL CERTIFIED,H-2B,MA,2009-10-01,2010-06-15,"BELMONT CAR WASH, INC.",1010 PLEASANT STREET,,BELMONT,MA,2478,"MARY ELLEN RYAN / LAW OFFICE OF BRIAN T. O'NEILL,",BOSTON,MA,599.684-010,EQUIPMENT CLEANER,50.0,46,8.54,HR,8.54,HR
28,C-10013-48746,2010-02-02,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-11-30,"WAVERLY LANDSCAPE ASSOCIATES, INC.",1010 PLEASANT STREET,,BELMONT,MA,2478,"MARY ELLEN RYAN / LAW OFFICE OF BRIAN T. O'NEILL,",BOSTON,MA,408.687-014,"LABORER, LANDSCAPE",46.0,46,,,,
29,C-10064-49573,2010-03-10,2010-03-05,CERTIFIED,H-2B,MA,2010-05-01,2010-10-01,COONAMESSETT FARM,277 HATCHVILLE RD.,,EAST FALMOUTH,MA,2536,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",2.0,2,,,,
30,C-10119-50013,2010-05-20,2010-04-29,DENIED,H-2B,MA,2010-05-10,2010-12-01,LNRR DBA BOB'S SEAFOOD CAFE',P.O. BOX 3156,,WAQUOIT,MA,2536,PATRICIA R WARREN INTERNATIONAL EMPLOYMENT SOLUTIO,TUNBRIDGE,VT,313.361-014,COOK,4.0,0,10.55,HR,10.55,HR
31,C-10015-48782,2010-01-20,2010-01-14,CERTIFIED,H-2B,MA,2010-04-12,2010-10-24,"ISLAND HOLDINGS, L.L.C.",31 DUNES ROAD,,EDGARTOWN,MA,2539,VERONICA T. STRICKLAND,DALLAS,TX,238.367-038,HOTEL CLERK,3.0,3,,,,
32,C-10020-48891,2010-02-05,2010-01-20,CERTIFIED,H-2B,MA,2010-04-01,2010-10-25,EDGARTOWN COMMONS CONDOMINIUM TRUST,20 PEASE'S POINT WAY,,EDGARTOWN,MA,2539,MARILYN H. VUKOTA,EDGARTOWN,MA,321.137-010,HOUSEKEEPER,5.0,5,,,,
33,C-10020-48889,2010-02-08,2010-01-20,CERTIFIED,H-2B,MA,2010-04-01,2010-11-15,PAUL J. PERTILE D/B/A M.V. TENNIS,49 BOLD MEADOW ROAD,,EDGARTOWN,MA,2539,MARILYN H. VUKOTA,EDGARTOWN,MA,408.687-014,"LABORER, LANDSCAPE",2.0,2,13.24,HR,13.24,HR
34,C-10028-49101,2010-02-11,2010-01-28,CERTIFIED,H-2B,MA,2010-04-01,2010-11-30,HARBORSIDE INN CONDO TRUST,P.O. BOX 67,3 SOUTH WATER STREET,EDGARTOWN,MA,2539,VIVIAN MARIE HAWKER,ORLANDO,FL,323.687-014,"CLEANER, HOUSEKEEPING",14.0,14,8.82,HR,8.82,HR
35,C-10036-49224,2010-02-17,2010-02-05,CERTIFIED,H-2B,MA,2010-04-01,2010-10-19,"TRANSIT CONNECTION, INC",MVBP RR 1 BOX 3,,EDGARTOWN,MA,2539,THE MCNAMARA FIRM L.P.,AUSTIN,TX,919.683-014,DRIVER,10.0,10,15.0,HR,15.0,HR
36,C-10061-49528,2010-04-01,2010-03-02,CERTIFIED,H-2B,MA,2010-05-01,2010-12-15,"MURDICK'S FUDGE COMPANY OF MASS., INC.",21 N. WATER STREET,,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",15.0,15,10.06,HR,10.06,HR
37,C-09364-48365,2010-01-14,2009-12-30,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,"CAPE COD RESTAURANTS, INC DBA COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,2540,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",30.0,30,,,,
38,C-09364-48359,2010-01-15,2009-12-30,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,"CAPE COD RESTAURANTS, INC DBA THE COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,2540,AMY ELLEN FERREIRA,MASHPEE,MA,311.477-030,"WAITER/WAITRESS, INFORMAL",35.0,35,10.85,HR,10.85,HR
39,C-10007-48561,2010-01-25,2010-01-07,CERTIFIED,H-2B,MA,2010-04-01,2010-11-30,"INN ON THE SQUARE, LLC DBA INN ON THE SQUARE",40 NORTH MAIN STREET,,FALMOUTH,MA,2540,,,,321.137-010,HOUSEKEEPER,8.0,8,,,,
40,C-09364-48351,2010-01-12,2009-12-30,CERTIFIED,H-2B,MA,2010-04-15,2010-11-15,"WOODS HOLE MOTOR INN, INC. D/B/A SLEEPY HOLLOW MOT",PO BOX 743,,WOODS HOLE,MA,2543,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,4.0,4,9.69,HR,9.69,HR
41,C-10050-49408,2010-02-24,2010-02-19,CERTIFIED,H-2B,MA,2010-05-01,2010-10-30,SWORDFISH ENTERPRISES / DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,2552,ANA COHEN COHEN,BETHESDA,MD,319.484-010,"FOOD ASSEMBLER, KITCHEN",6.0,6,10.06,HR,10.06,HR
42,C-10050-49407,2010-02-24,2010-02-19,CERTIFIED,H-2B,MA,2010-05-01,2010-10-30,SWORDFISH ENTERPRISES / DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,2552,ANA COHEN COHEN,BETHESDA,MD,321.137-010,HOUSEKEEPER,12.0,12,11.28,HR,11.28,HR
43,C-09355-47803,2009-12-24,2009-12-17,CERTIFIED,H-2B,MA,2010-04-01,2010-12-06,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,279.357-054,"SALESPERSON, GENERAL MERCHANDISE",4.0,4,9.42,HR,9.42,HR
44,C-09355-47785,2009-12-24,2009-12-17,CERTIFIED,H-2B,MA,2010-04-01,2010-12-06,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,2554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,313.374-014,"COOK, SHORT ORDER",4.0,4,8.65,HR,8.65,HR
45,C-09356-47930,2009-12-28,2009-12-18,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,EVEN KEEL CAFE,40 MAIN STREET,,NANTUCKET,MA,2554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,313.361-022,"COOK, SHORT ORDER 1",12.0,12,11.4,HR,11.44,HR
46,C-09363-48273,2010-01-04,2009-12-28,CERTIFIED,H-2B,MA,2010-04-01,2010-12-14,"NANTUCKET PERIWINKLE, INC. DBA PERIWINKLE INN, SCA",P.O. BOX 1816,,NANTUCKET,MA,2554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,2.0,2,8.82,HR,8.82,HR
47,C-09365-48401,2010-01-12,2009-12-30,CERTIFIED,H-2B,MA,2010-04-15,2010-12-08,THE BROTHERHOOD OF THIEVES RESTAURANT MANAGEMENT G,PO BOX 388,,NANTUCKET,MA,2554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,313.361-014,COOK,14.0,14,11.44,HR,11.44,HR
48,C-10004-48426,2010-01-12,2009-12-31,CERTIFIED,H-2B,MA,2010-04-15,2010-11-30,BRASS LANTERN LLC D/B/A BRASS LANTERN INN,11 NORTH WATER STREET,,NANTUCKET,MA,2554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",4.0,4,8.82,HR,8.82,HR
49,C-10004-48449,2010-01-13,2009-12-31,CERTIFIED,H-2B,MA,2010-04-15,2010-10-31,SHERBURNE INN LLC,10 GAY STREET,,NANTUCKET,MA,2554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,2.0,2,,,,
50,C-10013-48694,2010-01-15,2010-01-12,CERTIFIED,H-2B,MA,2010-04-20,2010-11-01,"P & M REIS TRUCKING, INC.",P.O. BOX 113,,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,955.687-022,GARBAGE COLLECTOR,14.0,14,14.27,HR,14.27,HR
51,C-09364-48341,2010-01-21,2009-12-29,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,"ISLAND CONCRETE FORM, LLC",13 BAYBERRY LANE,,NANTUCKET,MA,2554,MARK CARCHIDI,YARMOUTH  PORT,MA,869.664-014,CONSTRUCTION WORKER I,5.0,5,13.51,HR,13.51,HR
52,C-10012-48689,2010-01-25,2010-01-12,CERTIFIED,H-2B,MA,2010-04-01,2010-11-30,"G & M LANDSCAPE SERVICES, LLC",53 DUKES ROAD,,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,408.687-014,"LABORER, LANDSCAPE",6.0,6,,,,
53,C-10020-48893,2010-01-26,2010-01-20,CERTIFIED,H-2B,MA,2010-04-23,2010-10-19,MIDISH CORP. DBA THE TAVERN,PO BOX 388,2 HARBOR SQUARE,NANTUCKET,MA,2554,JANE N. BISHOP,WEST DENNIS,MA,313.361-014,COOK,14.0,14,11.44,HR,11.44,HR
54,C-10020-48894,2010-01-26,2010-01-20,CERTIFIED,H-2B,MA,2010-05-01,2010-10-10,"HOLDGATES ISLAND LAUNDRY, INC.",4 VESPER LN.,P.O. BOX 869,NANTUCKET,MA,2554,JANE N. BISHOP,WEST DENNIS,MA,361.684-014,LAUNDRY WORKER I,8.0,8,10.83,HR,10.83,HR
55,C-10021-48946,2010-01-27,2010-01-21,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,ISLAND GOURMET CORP. DBA CLUB CAR,1 MAIN STREET,,NANTUCKET,MA,2554,DANIEL REISNER,NEW YORK,NY,318.687-010,KITCHEN HELPER,3.0,3,8.58,HR,8.58,HR
56,C-10014-48762,2010-01-28,2010-01-13,PARTIAL CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,MARK D. CARCHIDI,YARMOUTH PORT,MA,238.367-038,HOTEL CLERK,40.0,38,12.32,HR,12.32,HR
57,C-10014-48755,2010-01-28,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,350.677-030,WAITER/WAITRESS,40.0,40,11.95,HR,11.95,HR
58,C-10014-48753,2010-01-28,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",45.0,45,8.65,HR,8.65,HR
59,C-10014-48754,2010-01-28,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,361.684-014,LAUNDRY WORKER I,10.0,10,10.83,HR,10.83,HR
60,C-10014-48761,2010-01-28,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK CARCHIDI / ANTIOCH ASSOCIATES USA II, INC",YARMOUTH PORT,MA,321.137-010,HOUSEKEEPER,70.0,70,,,,
61,C-10014-48758,2010-02-01,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,408.687-014,"LABORER, LANDSCAPE",8.0,8,13.24,HR,13.24,HR
62,C-10027-49082,2010-02-02,2010-01-27,CERTIFIED,H-2B,MA,2010-05-10,2010-11-05,FINCH GROUP HOTELS AND RESORTS DBA NANTUCKET INN,1 MILLER'S LANE,,NANTUCKET,MA,2554,,,,311.677-018,DINING ROOM ATTENDANT,20.0,20,9.02,HR,9.02,HR
63,C-10014-48759,2010-02-02,2010-01-13,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,2554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,324.677-010,BELLHOP,20.0,20,8.49,HR,8.49,HR
64,C-10004-48421,2010-02-03,2009-12-31,DENIED,H-2B,MA,2010-04-01,2010-12-15,WIGGINS PAINTING CO.,4&1/2 MACY'S LANE,,NANTUCKET,MA,2554,PATRICIA WARREN,TUNBRIDGE,VT,735.687-018,PAINTER,15.0,0,11.72,HR,11.72,HR
65,C-10021-48926,2010-02-04,2010-01-21,CERTIFIED,H-2B,MA,2010-05-01,2010-10-01,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,313.374-014,"COOK, SHORT ORDER",4.0,4,,,,
66,C-10032-49145,2010-02-05,2010-02-01,CERTIFIED,H-2B,MA,2010-04-15,2010-12-10,TWENTY FOUR BROAD STREET INC. DBA LE LANGUEDOC,24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",3.0,3,,,,
67,C-10032-49147,2010-02-05,2010-02-01,CERTIFIED,H-2B,MA,2010-04-15,2010-12-10,TWENTY FOUR BROAD STREET INC. DBA LE LANGUEDOC,24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,318.687-010,KITCHEN HELPER,5.0,5,,,,
68,C-10034-49184,2010-02-09,2010-02-03,CERTIFIED,H-2B,MA,2010-05-15,2010-10-15,CENTER STREET ACKQUISITION LLC DBA ROBERTS HOUSE I,11 INDIA STREET,,NANTUCKET,MA,2554,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",3.0,3,8.82,HR,8.82,HR
69,C-10021-48945,2010-02-09,2010-01-21,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,ISLAND GOURMET CORP. DBA CLUB CAR,1 MAIN STREET,,NANTUCKET,MA,2554,DANIEL REISNER,NEW YORK,NY,313.361-014,COOK,4.0,4,11.44,HR,11.44,HR
70,C-10022-48980,2010-02-09,2010-01-22,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WHARF,,NANTUCKET,MA,2554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,318.687-010,KITCHEN HELPER,4.0,4,8.65,HR,8.65,HR
71,C-10022-48979,2010-02-09,2010-01-22,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WHARF,,NANTUCKET,MA,2554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,311.677-018,DINING ROOM ATTENDANT,6.0,6,9.02,HR,9.02,HR
72,C-10022-48981,2010-02-09,2010-01-22,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,"ROPEWALK, INC.",1 STRAIGHT WHARF,,NANTUCKET,MA,2554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,318.687-010,KITCHEN HELPER,4.0,4,8.58,HR,8.58,HR
73,C-10022-48989,2010-02-10,2010-01-22,CERTIFIED,H-2B,MA,2010-05-01,2010-10-20,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WARF,,NANTUCKET,MA,2554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,305.281-010,COOK,7.0,7,11.44,HR,11.44,HR
74,C-10027-49065,2010-02-12,2010-01-27,CERTIFIED,H-2B,MA,2010-05-01,2010-12-31,BUTNELL PACKAGE INC. DBA HATCH'S PACKAGE STORE,133 ORANGE STREET,,NANTUCKET,MA,2554,MARK D.  CARCHIDI,YARMOUTH  PORT,MA,222.387-058,STOCK CLERK,2.0,2,,,,
75,C-10048-49364,2010-02-22,2010-02-17,CERTIFIED,H-2B,MA,2010-05-10,2010-11-05,FINCH GROUP HOTELS  D/B/A NANTUCKET INN,1 MILLER'S LANE,,NANTUCKET,MA,2554,,,,321.137-010,HOUSEKEEPER,25.0,25,8.82,HR,8.82,HR
