,CASE_NUMBER,RECENT_DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
22,H-400-13010-695950,2013-12-27,2013-12-16,Certification Expired,H-2B,CA,2013-12-27,2014-09-15,"Vision Soccer Training, Inc.",406 17th Street,,Sacramento,CA,95811,"DEVORE LAW GROUP, P.A.",Marianne Rahm,PALM BEACH GARDENS,FL,27-2022,Coaches and Scouts,Soccer Coach,3,16.0,Hour,16.0,Hour
23,H-400-14028-306585,2014-02-26,2014-01-28,Withdrawn,H-2B,,2014-05-15,2014-10-31,"HANSON ENTERPRISES, LLC.",P.O. BOX 2240,449 MAIN STREET,OGUNQUIT,ME,02649,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-1011,First-Line Supervisors of Housekeeping and,HOUSEKEEPING SUPERVISOR,0,10.19,Hour,10.19,Hour
24,H-400-14028-970504,2014-02-11,2014-01-28,Partial Certification,H-2B,VA,2014-02-11,2014-12-01,James River Grounds Mgmt.,11008 Washington Highway,,Glen Allen,VA,23059,WORKFORCE ADVANTAGE,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,41,9.41,Hour,9.41,Hour
25,H-400-13018-491032,2014-02-20,2014-01-24,Partial Certification,H-2B,PA,2014-04-01,2014-12-15,R-P Nurseries,649 Unionville Road,,Kennett Square,PA,19348,MATURANO & ASSOCIATES,SHARON ALEXANDER,KENNETT SQUARE,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,3,14.04,Hour,14.04,Hour
26,H-400-13038-582720,2014-02-03,2014-01-09,Certification,H-2B,ID,2014-04-01,2014-11-30,"LARA BROTHERS, LTD",146 TIMBERLINE DRIVE,,CASTLE ROCK,WA,98611,"PARKER, BUTTE & LANE PC",GRETEL NESS,PORTLAND,OR,45-4011,Forest and Conservation Workers,Reforestation Laborer,30,14.77,Hour,14.77,Hour
27,H-400-13051-059869,2014-04-23,2014-04-03,Partial Certification,H-2B,MD,2014-04-23,2014-11-30,"Moon Nurseries, Inc.",145 Moon Rd.,"Mailing: PO Box 672, Chesapeake City, MD 21915",Chesapeake City,MD,21915,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,43-5081,Stock Clerks and Order Fillers,Warehouse Laborer,20,11.47,Hour,11.47,Hour
28,H-400-13053-625024,2014-04-08,2014-03-25,Certification,H-2B,DC,2014-04-15,2014-11-30,"AEM, Inc.",5801 Rolling Road,,Springfield,VA,22152,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,53-7062,"Laborers and Freight, Stock, and Material Movers,",Movers,20,11.92,Hour,11.92,Hour
29,H-400-13043-063179,2014-03-05,2014-02-12,Certification,H-2B,IL,2014-03-05,2014-12-03,"Luis Landscape, LLC",91 Kimberly Court,,Collinsville,IL,62234,"KENNETH K. SCHMITT, P.C.",KENNETH SCHMITT,ST. LOUIS,MO,37-3011,Landscaping and Groundskeeping Workers,Landscaper/Grounds Keeper,12,12.17,Hour,12.17,Hour
30,H-400-13318-113782,2013-12-09,2013-11-14,Certification,H-2B,TX,2014-02-03,2014-12-01,BUILDERS AND LANDSCAPING SERVICES,2620 FM 1460,,GEORGETOWN,TX,78626,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Laborer,8,11.67,Hour,11.67,Hour
31,H-400-13318-665024,2013-11-27,2013-11-14,Certification,H-2B,OK,2014-03-01,2014-12-31,Southwood Landscape & Nursery,9025 S Lewis Ave,,Tulsa,OK,74137,SOUTHERN IMPACT,LESLI DOWNS,SAND SPRINGS,OK,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,8,10.73,Hour,10.73,Hour
32,H-400-13318-150259,2013-12-11,2013-11-19,Certification,H-2B,SC,2014-03-01,2014-11-30,KIAWAH ISLAND INN COMPANY LLC,ONE SANCTUARY BEACH DRIVE,,KIAWAH ISLAND,SC,29455,,,,,35-3031,Waiters and Waitresses,SERVER,60,8.79,Hour,8.79,Hour
33,H-400-13332-253845,2013-11-28,2013-11-28,Withdrawn,H-2B,TX,2014-01-15,2014-11-15,"J&Y CONSTRUCTION, INC.",5005 MEADOWLARK LANE,,KATY,TX,77493,LAW OFFICE OF HECTOR V. VILLEGAS JR P.C.,HECTOR VILLEGAS JR,HOUSTON,TX,47-2061,Construction Laborers,CONSTRUCTION LABORER,0,13.01,Hour,13.01,Hour
34,H-400-14077-800761,2014-04-15,2014-03-18,Denied,H-2B,AZ,2014-09-01,2015-09-01,TRIUMPH MANUFACTURING LLC,2130 SOUTH INDUSTRIAL PARK AVENUE,,TEMPE,AZ,85282,,,,,17-3029,"Engineering Technicians, Except Drafters, All",Mechanical Engineer/Technician/Trainer,0,18.0,Hour,18.0,Hour
35,H-400-14077-240604,2014-04-15,2014-03-18,Denied,H-2B,AR,2014-04-01,2016-12-31,COMMAND CONSTRUCTION INC.,1566 W SEARCY ST,,KENSETT,AR,72082,,,,,47-2051,Cement Masons and Concrete Finishers,Concrete Finisher,0,15.0,Hour,15.0,Hour
36,H-400-14077-118086,2014-04-11,2014-03-18,Withdrawn,H-2B,SD,2014-04-01,2014-12-15,FRONTLINE CONCRETE LLC,2102 383RD AVENUE,,WESTPORT,SD,57481,"EMPLOYMENT USA, LLC",KEVIN OPP,ABERDEEN,SD,47-2061,Construction Laborers,CONSTRUCTION LABORER,0,12.51,Hour,12.51,Hour
37,H-400-13318-801763,2013-11-27,2013-11-15,Certification Expired,H-2B,MT,2013-12-01,2014-09-30,MICROTEL HOTEL AND SUITES,1500 SOUTH CENTRAL AVENUE,,SIDNEY,MT,59270,"NORTHWEST PLACEMENT USA, LLC",JOHN-CARL ROGGE,BILLINGS,MT,37-2012,Maids and Housekeeping Cleaners,ROOM ATTENDANT,6,9.12,Hour,9.12,Hour
38,H-400-13318-685647,2013-12-11,2013-11-19,Certification,H-2B,SC,2014-03-01,2014-11-30,KIAWAH ISLAND INN COMPANY LLC,ONE SANCTUARY BEACH DRIVE,,KIAWAH ISLAND,SC,29455,,,,,37-2012,Maids and Housekeeping Cleaners,HOUSEPERSON,75,9.1,Hour,9.1,Hour
39,H-400-13311-729115,2013-11-27,2013-11-14,Certification,H-2B,MO,2014-02-10,2014-12-07,"DENNINGER ENTERPRISES, INC.",5777 Westwood Dr.,,Weldon Springs,MO,63304,"GREENSFELDER, HEMKER & GALE, P.C.",TIFFANY BALDWIN,SAINT LOUIS,MO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,25,12.15,Hour,12.15,Hour
40,H-400-13332-297315,2013-12-12,2013-11-28,Certification,H-2B,TX,2014-01-15,2014-11-15,"J&Y CONSTRUCTION, INC.",5005 MEADOWLARK LANE,,KATY,TX,77493,LAW OFFICE OF HECTOR V. VILLEGAS JR P.C.,HECTOR VILLEGAS JR,HOUSTON,TX,47-2061,Construction Laborers,CONSTRUCTION LABORER,40,13.01,Hour,13.01,Hour
41,H-400-14047-666178,2014-03-11,2014-02-23,Certification,H-2B,IN,2014-05-10,2014-12-31,"OLCO, INC",24053 VOTE ROAD,,BATESVILLE,IN,47006,,,,,37-3011,Landscaping and Groundskeeping Workers,Laborer,30,12.25,Hour,12.25,Hour
42,H-400-13084-468517,2014-02-03,2014-01-20,Certification,H-2B,TX,2014-03-15,2015-01-15,ALPHA K-9 PET SERVICES,17611 BAMWOOD RD.,,HOUSTON,TX,77090-0000,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-2021,Nonfarm Animal Caretakers,Kennel Nonfarm Animal Caretaker,5,8.4,Hour,8.4,Hour
43,H-400-14020-410475,2014-03-03,2014-02-17,Partial Certification,H-2B,TX,2014-03-03,2014-12-01,"Geoscapes of Texas, Inc.",2001 Bagdad Rd. #C,,Cedar Park,TX,78613,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,88,9.16,Hour,9.16,Hour
44,H-400-14020-703347,2014-03-03,2014-02-17,Certification,H-2B,TX,2014-03-03,2014-12-01,"Geoscapes of Texas, Inc.",2001 Bagdad Rd. #C,,Cedar Park,TX,78613,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-1012,"First-Line Supervisors of Landscaping, Lawn",Crew Leader,10,13.89,Hour,13.89,Hour
45,H-400-13058-146770,2014-05-27,2014-05-13,Certification,H-2B,DC,2014-05-27,2014-11-30,AEM Inc,5801 Rolling Road,,Springfield,VA,22152,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,53-7062,"Laborers and Freight, Stock, and Material Movers,",Movers,10,11.92,Hour,11.92,Hour
46,H-400-14031-584468,2014-02-13,2014-01-31,Certification,H-2B,MI,2014-04-01,2014-11-30,"Turf One Lawn Maintenance, Inc.",957 Brown Road,,Orion,MI,48359,Amigos Labor Solutions,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,9,10.16,Hour,10.16,Hour
47,H-400-14206-255511,2014-08-12,2014-07-25,Certification,H-2B,TX,2014-10-01,2015-07-30,Americas Welders Corp.,30 Providencia Ct. Ste. 4K,,Brownsville,TX,78526,"Worldwide Work Permit, LLC",Humberto Garcia,Brownsville,TX,51-2041,Structural Metal Fabricators and Fitters,Metal Fabricator,50,16.42,Hour,16.42,Hour
48,H-400-14017-802598,2014-01-31,2014-01-17,Certification,H-2B,OH,2014-03-15,2014-12-15,The Hoenigman Landscaping Co. LLC.,10958 Kinsman Rd.,,Newbury,OH,44065,SINTSIRMAS & MUELLER CO. L.P.A.,CAROLINE MUELLER,TWINSBURG,OH,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,18,12.05,Hour,12.05,Hour
49,H-400-13014-100431,2014-01-31,2014-01-17,Certification,H-2B,MD,2014-03-15,2014-12-15,RUSSELL HALL SEAFOOD INC.,2501 OLD HOUSE POINT RD.,P.O. BOX 156,FISHING CREEK,MD,21634,,,,,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Crab Picker/Seafood Processor,50,7.52,Hour,7.52,Hour
50,H-400-13294-293005,2013-11-14,2013-10-21,Certification Expired,H-2B,OR,2014-01-01,2014-06-13,"L & B Reforestation, Inc.",PO Box 1599,24745 Alsea Hwy,Philomath,OR,97370,,,,,45-4011,Forest and Conservation Workers,Tree Planter,38,13.86,Hour,13.86,Hour
51,H-400-13122-431606,2013-11-27,2013-10-29,Denied,H-2B,CT,2013-10-01,2014-06-30,"Chelsea Piers Connecticut, LLC",1 Blachley Drive,,Stamford,CT,06902,SINGER & FANTAUZZI,LETICIA FANTAUZZI,MOUNT KISCO,NY,39-9011,Childcare Workers,Child Care Worker,0,11.0,Hour,11.0,Hour
52,H-400-14051-453118,2014-03-18,2014-02-25,Certification,H-2B,WY,2014-05-10,2014-11-15,SKYLINE MOTOR INN,1919 17TH STREET,,CODY,WY,82414,DURHAM JONES & PINEGAR,TIMOTHY WHEELWRIGHT,SALT LAKE CITY,UT,51-6011,Laundry and Dry-Cleaning Workers,Housekeeper,6,9.94,Hour,9.94,Hour
53,H-400-14059-979661,2014-04-15,2014-03-19,Denied,H-2B,IA,2014-03-31,2014-10-31,LAWN PROS,1000 SOUTH LEWIS BLVD.,,SERGEANT BLUFF,IA,51104,,,,,37-3011,Landscaping and Groundskeeping Workers,Landscaping,0,8.0,Hour,8.0,Hour
54,H-400-13165-603718,2013-11-26,2013-11-12,Certification,H-2B,KY,2014-02-01,2014-11-30,Lon Wiggins Racing Stables Inc,12310 Knobcrest Dr.,"948 Milford Lane, Louisville KY, 40207",Houston,TX,77070,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,1,10.97,Hour,10.97,Hour
55,H-400-13171-145858,2013-11-29,2013-11-02,Denied,H-2B,KY,2014-02-01,2014-11-30,Cross Roads Masonry,284 West Main Street,P. O. Box 1602,Beattyville,KY,41311,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",Brick Mason Helper,0,15.27,Hour,15.27,Hour
56,H-400-14055-561812,2014-03-10,2014-02-24,Certification,H-2B,ME,2014-05-15,2014-10-15,"JACKIE'S TOO, INC.",91 PERKINS COVE,PO BOX 2173,OGUNQUIT,ME,03907,,,,,35-9021,Dishwashers,DISHWASHER,5,9.11,Hour,9.11,Hour
57,H-400-13361-557780,2014-01-10,2013-12-27,Certification,H-2B,ME,2014-04-02,2014-10-31,RIVERSIDE HOTEL AND MOTEL,50 RIVERSIDE LANE,PO Box 2244,OGUNQUIT,ME,03907,,,,,37-2012,Maids and Housekeeping Cleaners,Housekeeper,11,10.19,Hour,10.19,Hour
58,H-400-13361-930859,2014-01-24,2014-01-10,Certification,H-2B,MO,2014-03-06,2015-01-04,"GRAND COUNTRY, INC.",1945 W. 76 COUNTRY BLVD.,,BRANSON,MO,65616,"Paule, Camazine & Blumenthal, PC",Melissa Nolan,St. Louis,MO,35-9011,Dining Room and Cafeteria Attendants and Bartender,Food & Beverage Attendant,26,9.07,Hour,9.07,Hour
59,H-400-13171-554349,2013-12-06,2013-11-13,Certification,H-2B,NY,2014-02-01,2014-11-30,"Chad Brown Racing Stables, Inc.",2150 Hempstead Turnpike,"P.O. Box 66, Elmont, NY 11003",Elmont,NY,11003,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,41,11.67,Hour,11.67,Hour
60,H-400-13330-021519,2013-12-23,2013-11-26,Denied,H-2B,UT,2014-03-01,2014-11-30,"LANDSCAPE MANAGEMENT SERVICE, INC",PO BOX 1798,,WEST JORDAN,UT,84084,,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,0,13.52,Hour,13.52,Hour
61,H-400-14014-718681,2014-01-27,2014-01-17,Withdrawn,H-2B,MA,2014-04-15,2014-11-15,South Seas Hotel Corp,1 Christie's Landing,,Newport,RI,02840,"MCCARRON, MURPHY & VUKOTA, LLP",MARILYN VUKOTA,EDGARTOWN,MA,37-2012,Maids and Housekeeping Cleaners,Housekeepers,0,13.39,Hour,13.39,Hour
62,H-400-13184-128498,2013-10-28,2013-09-16,Denied,H-2B,TX,2013-10-01,2014-07-11,820 Escondido LLC,820 Escondido,,Kenedy,TX,78119,"LAW OFFICES OF GABRIELA RIZA, P.A.",GABRIELA RIZA,Tampa,FL,35-3031,Waiters and Waitresses,Waiters and Waitresses,0,8.77,Hour,8.77,Hour
63,H-400-14069-280195,2014-03-24,2014-03-10,Certification,H-2B,ND,2014-04-07,2014-11-30,"Prairie View Landscaping & Nursery, Inc",1103 136th Avenue NE,,Baldwin,ND,58521,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,40,9.91,Hour,9.91,Hour
64,H-400-13181-219504,2014-01-27,2014-01-09,Certification,H-2B,CA,2014-02-01,2014-11-30,Got To Fly Farm,1639 Warmlands Ave.,"1009 Country Club Dr., Escondido, CA 92029",Vista,CA,92084,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,2,11.44,Hour,11.44,Hour
65,H-400-13181-166474,2013-12-27,2013-12-15,Certification,H-2B,NY,2014-02-01,2014-11-30,"Contessa Racing, Inc.",27 Leonard Drive,"109 Fox Hollow Rd. Petersburg NY, 12138",Massapequa,NY,11758,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,11,11.67,Hour,11.67,Hour
66,H-400-14017-369022,2014-03-04,2014-02-05,Certification,H-2B,MA,2014-05-05,2014-10-31,"The Lighthouse Inn, Inc.",1 Lighthouse Inn Road,P.O. Box 128,West Dennis,MA,02670,"Tocci & Lee, LLC",Matthew Lee,Centerville,MA,35-9021,Dishwashers,Dishwashers,8,9.65,Hour,9.65,Hour
67,H-400-13203-140316,2013-12-18,2013-11-15,Denied,H-2B,NY,2014-02-01,2014-11-30,"Gyarmati Racing, Inc.",139 Magnolia Ave,,Floral Park,NY,11001,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,0,11.67,Hour,11.67,Hour
68,H-400-13203-625527,2014-04-30,2014-04-09,Certification,H-2B,FL,2014-04-30,2014-11-30,Jet Show Stable,4660 S.W. 148th Ave.,,Ft. Lauderdale,FL,33330,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,Groom,5,10.92,Hour,10.92,Hour
69,H-400-13189-335411,2014-01-27,2014-01-09,Certification,H-2B,KY,2014-03-01,2014-12-30,"Acapulco II, Inc.",1004 Grange Drive,,La Grange,KY,40031,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,35-3021,"Combined Food Preparation and Serving Workers,",Combined Food Preparation and Serving Workers,14,8.37,Hour,8.37,Hour
70,H-400-13181-946443,2013-11-19,2013-11-05,Certification,H-2B,KY,2014-02-01,2014-11-30,"Thompson & Shearer Farm Supply, Inc.",201 Etter Drive,,Nicholasville,KY,40356,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,37-3011,Landscaping and Groundskeeping Workers,General Laborer,5,11.48,Hour,11.48,Hour
71,H-400-13181-549807,2013-12-04,2013-11-20,Certification,H-2B,KY,2014-02-01,2014-11-30,Hillcrest Farm,1447 Lexington Rd.,"3057 Houston Antioch Rd. Lexington, KY 40516",Georgetown,KY,40324,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,37-3011,Landscaping and Groundskeeping Workers,Groundskeeping Helper,3,11.48,Hour,11.48,Hour
72,H-400-13181-372953,2013-12-11,2013-11-27,Certification,H-2B,KY,2014-03-01,2014-12-30,Thompson Construction,800 Old KY HWY 801 North,,Morehead,KY,40351,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",General Laborer,5,15.27,Hour,15.27,Hour
