,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
13,C-08087-36658,2009-07-31 12:23:42,2008-03-26 00:00:00,DENIED,NV,2008-04-01 00:00:00,2009-03-30 00:00:00,FAR EAST ALUMINUM WORKS (U.S.) CORP.,720 W. CHEYENE AVE.,#20,NORTH LAS VEGAS,NV,89030,LAW HUANG INTERNATIONAL LTD.,5820 SOUTH PECOS ROAD,LAS VEGAS,NV,"ASSEMBLER, METAL BUILDING",0,18.65,HR,20.22,HR
14,C-08121-36954,2008-10-02 18:13:49,2008-04-30 00:00:00,DENIED,LA,2008-08-01 00:00:00,2009-06-01 00:00:00,"NATIONAL BOILER SERVICE, INC.",176 NORTH INDUSTRIAL DRIVE,,TRENTON,GA,30752,LAUREN J. MORRISON,,FT. LAUDERDALE,FL,"WELDER, ARC",0,18.49,HR,24.0,HR
15,C-08122-36969,2008-10-02 09:33:16,2008-05-01 00:00:00,DENIED,LA,2008-06-01 00:00:00,2009-04-01 00:00:00,WORKFORCE INTERNATIONAL LLC,101 FEU FOLLET,SUITE 106,LAFAYETTE,LA,70508,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,"WELDER, COMBINATION",0,15.08,HR,15.08,HR
16,C-08153-37224,2008-11-06 10:38:23,2008-06-01 00:00:00,FINAL REVIEW,GA,2008-09-14 00:00:00,2009-01-12 00:00:00,PROTECH TESTING,GST,,TEST,DC,20001,,,,,NONDESTRUCTIVE TESTER,0,1000.0,BI,1000.0,BI
17,C-08155-37270,2008-10-08 17:13:58,2008-06-03 00:00:00,DENIED,LA,2008-09-01 00:00:00,2009-05-30 00:00:00,CS&M ASSOCIATES DBA SHERATON NEW ORLEANS,500 CANAL STREET,,NEW ORLEANS,LA,70130,DOROTHY NICHOLSON / WALKER'S CONSULTING INC,1 CROSS ISLAND PLAZA,ROSEDALE,NY,DINING ROOM ATTENDANT,0,6.07,HR,9.0,HR
18,C-08158-37292,2008-10-10 15:21:44,2008-06-05 00:00:00,DENIED,AL,2008-07-01 00:00:00,2009-06-30 00:00:00,EAGLE INDUSTRIAL PROFESSIONAL SERVICES,562 EAST EXPRESSWAY 83,,SAN BENITO,TX,78586,WILLIAM P. VELIE,"210 EAST MAIN STREET, SUITE 222",NORMAN,OK,WELDER FITTER,0,12.43,HR,12.49,HR
19,C-08158-37293,2008-10-03 09:26:13,2008-06-05 00:00:00,DENIED,AL,2008-08-01 00:00:00,2009-05-31 00:00:00,PEOPLE INC.,"12520 OLIVE BLVD, PMB 360",,ST. LOUIS,MO,63141,"LOMA USA, INC./DAVID I. KOTICK",40-12 31ST AVENUE,ASTORIA,NY,"WELDER, COMBINATION",0,12.43,HR,12.43,HR
20,C-08168-37382,2008-10-07 09:33:02,2008-06-16 00:00:00,DENIED,MS,2008-07-15 00:00:00,2009-05-15 00:00:00,"A-TEAM CONNECTION, LLC",17555 S. HARRELLS FERRY RD.,,BATON ROUGE,LA,70816,,,,,WELDER FITTER,0,12.18,HR,12.18,HR
21,C-08168-37392,2009-01-02 14:10:25,2008-06-16 00:00:00,DENIED,TN,2008-04-01 00:00:00,2008-11-01 00:00:00,ALOHA POOLS & SPAS,614 CARRIAGE HOUSE DRIVE,,JACKSON,TN,38305,THE LAW FIRM OF DR. BEDE ANYANWU,50 STONEBRIDGE BLVD STE. 8,JACKSON,TN,SWIMMING POOL INSTALLER AND SERVICER,0,9.76,HR,9.76,HR
22,C-08175-37508,2008-10-10 16:36:27,2008-06-19 00:00:00,DENIED,LA,2008-08-15 00:00:00,2009-06-15 00:00:00,TRANSPORTATION SOLUTIONS LLC,120 PEYTRAL DR.,,RACELAND,LA,70394,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,WELDER FITTER,0,15.85,HR,15.85,HR
23,C-08176-37564,2008-10-09 11:57:12,2008-06-24 00:00:00,DENIED,UT,2008-10-02 00:00:00,2009-08-02 00:00:00,"HEATON BROS ROOFING, INC.",3480 SOUTH 500 WEST,,SALT LAKE CITY,UT,84115,BARBARA V. MELENDEZ,KIRTON & MCCONKIE,SALT LAKE CITY,UT,ROOFER,0,8.4,HR,8.4,HR
24,C-08179-37663,2008-10-08 12:19:49,2008-06-27 00:00:00,DENIED,LA,2008-05-15 00:00:00,2009-06-01 00:00:00,"DAREN R. SNIDER CONSTRUCTION, LLC",155 RIVERMIST,,LAKE CHARLES,LA,70611,DON R. SNIDER,345 SHARON LANE,LAKE CHARLES,LA,CARPENTER,0,16.98,HR,16.98,HR
25,C-08182-37681,2009-06-18 12:28:16,2008-06-27 00:00:00,DENIED,NY,2008-10-01 00:00:00,2009-04-30 00:00:00,BENSON'S SEASONAL SERVICES INC,8280 COUNTY RD. 14,,IONIA,NY,14475,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",0,7.61,HR,7.77,HR
26,C-08182-37742,2008-10-06 15:25:24,2008-06-30 00:00:00,DENIED,NJ,2008-10-01 00:00:00,2009-01-31 00:00:00,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,,,,
27,C-08184-37800,2008-10-06 15:19:55,2008-06-30 00:00:00,DENIED,NJ,2008-10-01 00:00:00,2009-01-31 00:00:00,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.53,HR,7.53,HR
28,C-08184-37830,2008-10-06 15:30:55,2008-07-02 00:00:00,DENIED,CO,2008-10-01 00:00:00,2009-01-31 00:00:00,SMS MARKETING INC.,3100 S. SHERIDAN BLVD UNIT 1C-325,,DENVER,CO,80227,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.24,HR,7.24,HR
29,C-08189-37903,2008-10-21 08:49:40,2008-07-07 00:00:00,DENIED,WA,2008-10-01 00:00:00,2009-01-31 00:00:00,"PLOLA, LLC",7812 30 ST. W,,UNIVERSITY PLACE,WA,98446,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,9.08,HR,9.08,HR
30,C-08189-37914,2008-10-06 15:15:21,2008-07-07 00:00:00,DENIED,CA,2008-10-01 00:00:00,2009-01-31 00:00:00,"EROS USA, LLC",7558 MELROSE AVE.,,LOS ANGELES,CA,90046,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.7,HR,7.7,HR
31,C-08189-37920,2008-10-09 15:54:08,2008-07-07 00:00:00,DENIED,HI,2008-10-01 00:00:00,2009-01-31 00:00:00,"OGL INTERNATIONAL, LLC","1188 BISHOP ST., SUITE 1001",,HONOLULU,HI,96813,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.61,HR,7.61,HR
32,C-08189-37935,2008-10-03 09:40:07,2008-07-07 00:00:00,DENIED,CO,2008-10-01 00:00:00,2009-01-31 00:00:00,"BARKEI, LLC",9959 E PEAKVIEW AVENUE # F208,,ENGLEWOOD,CO,80111,SVETLANA SCHREIBER,1370 ONTARIO ST.,CLEVELAND,OH,SALES CLERK,0,7.59,HR,7.59,HR
33,C-08189-37937,2008-10-07 10:45:49,2008-07-07 00:00:00,DENIED,VA,2008-09-01 00:00:00,2009-08-31 00:00:00,ROBERT JOSEPH SCAVOTTO,6147 CASTLETOWN WAY,,ALEXANDRIA,VA,22310,,,,,CHILD MONITOR,0,10.93,HR,10.93,HR
34,C-08189-37951,2008-10-02 13:26:19,2008-07-07 00:00:00,DENIED,NV,2008-10-01 00:00:00,2009-01-31 00:00:00,"R.S.T., INC.","5125 W. OQUENDO ST., UNIT # 3",,LAS VEGAS,NV,89118,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,7.45,HR,7.45,HR
35,C-08191-38058,2008-10-14 16:02:49,2008-07-08 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,"RECTEC, LLC",51091 HWY. 443,,LORANGER,LA,70446,"NORMA LINDA VEGA, ORANGE GENERAL COMPANY",1516 E. TROPICANA AVE. SUITE 275,LAS VEGAS,NV,ARC CUTTER,0,10.04,HR,10.04,HR
36,C-08191-38065,2008-10-02 11:33:38,2008-07-09 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,MAXUM INDUSTRIES LLC -LA,941-A S. LEWIS ST.,,NEW IBERIA,LA,70560,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,WELDER FITTER,0,12.84,HR,14.13,HR
37,C-08191-38090,2008-10-06 09:57:19,2008-07-09 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-07-31 00:00:00,"DE-VAL CONSTRUCTION, LTD D/B/A A.D. WELDING COMPAN",7620 VICTORIA CT. STE. 4,,BROWNSVILLE,TX,78521,PRO SERVICES / BELINDA RODRIGUEZ,"6326 SOVEREIGN,",SAN ANTONIO,TX,WELDER FITTER,0,8.51,HR,8.51,HR
38,C-08191-38092,2008-10-07 09:18:46,2008-07-09 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-07-31 00:00:00,"DE-VAL CONSTRUCTION, LTD D/B/A A.D. WELDING COMPAN",7620 VICTORIA CT. STE. 4,,BROWNSVILLE,TX,78521,PRO SERVICES / BELINDA RODRIGUEZ,"6326 SOVEREIGN,",SAN ANTONIO,TX,FITTER,0,10.19,HR,10.19,HR
39,C-08192-38137,2008-10-10 10:49:33,2008-07-10 00:00:00,DENIED,UT,2008-10-10 00:00:00,2009-08-10 00:00:00,ELI DEVELOPMENT,86 NORTH UNIVERSITY AVENUE,,PROVO,UT,84601,BARBARA V. MELENDEZ,KIRTON & MCCONKIE,SALT LAKE CITY,UT,"LABORER, LANDSCAPE",0,7.23,HR,7.23,HR
40,C-08193-38199,2008-10-07 10:40:50,2008-07-11 00:00:00,DENIED,FL,2007-10-15 00:00:00,2009-08-15 00:00:00,TANKA RESORT MANAGEMENT,"866 MASON AVE, SUITE 5",,DAYTONA  BEACH,FL,32117,,,,,HOUSEKEEPER,0,6.94,HR,7.0,HR
41,C-08193-38201,2008-10-01 09:02:11,2008-07-11 00:00:00,DENIED,AL,2008-10-01 00:00:00,2009-07-31 00:00:00,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY B. COHEN/ATTORNEY AT LAW,11351 QUINLEY ROAD,BAY MINETTE,AL,WELDER FITTER,0,17.65,HR,18.0,HR
42,C-08193-38202,2008-10-03 10:53:46,2008-07-11 00:00:00,DENIED,AL,2008-10-01 00:00:00,2009-07-31 00:00:00,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY B. COHEN/ATTORNEY AT LAW,11351 QUINLEY ROAD,BAY MINETTE,AL,"WELDER, COMBINATION",0,17.65,HR,18.0,HR
43,C-08193-38212,2008-10-03 10:22:04,2008-07-11 00:00:00,DENIED,NV,2008-10-01 00:00:00,2009-01-31 00:00:00,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE. 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,7.45,HR,7.45,HR
44,C-08193-38221,2008-10-21 16:01:38,2008-07-11 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-08-01 00:00:00,"CPEP, INC.",665 EDGEWATER,,SAN BENITO,TX,78586,KELLY M. KOWIS,"THE KOWIS LAW FIRM, P.C.",HOUSTON,TX,WELDER FITTER,0,10.6,HR,10.6,HR
45,C-08193-38228,2008-11-12 09:32:25,2008-07-11 00:00:00,DENIED,MD,2008-10-01 00:00:00,2009-01-31 00:00:00,"JNS GLOBAL, INC.",4478 OAKDALE CRESENT CT,#524,FAIRFAX,VA,22030,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.48,HR,7.18,HR
46,C-08193-38232,2008-10-14 16:50:53,2008-07-11 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-08-01 00:00:00,"BAYOU LABOR CREWS, LLC.",1116 MOBILE STREET,,LAKE CHARLES,LA,70605,"THOMPSON LEGAL SERVICES, PC.","11934 COURSEY BLVD., SUITE C",BATON ROUGE,LA,"LABORER, CONSTRUCTION OR LEAK GANG",0,8.04,HR,8.04,HR
47,C-08193-38233,2008-10-30 13:22:57,2008-07-11 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-08-01 00:00:00,"A-TEAM CONNECTION, LLC",17555 S. HARRELLS FERRY RD.,,BATON ROUGE,LA,70816,,,,,"LABORER, CONSTRUCTION OR LEAK GANG",0,8.57,HR,13.06,HR
48,C-08196-38254,2008-10-29 12:04:15,2008-07-11 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-09-30 00:00:00,"RODRILL, INC.",11670 IH 10 EAST,,CONVERSE,TX,78109,DUSTIN J. O'QUINN,"DEMOTT, MCCHESNEY,CURTRIGHT AND ASSOCIATES,L.L.P.",SAN ANTONIO,TX,WELDER FITTER,0,14.96,HR,15.0,HR
49,C-08196-38262,2008-10-24 07:23:01,2008-07-14 00:00:00,DENIED,CA,2008-10-01 00:00:00,2009-01-31 00:00:00,RENAISSANCE SALES ASSOCIATES INC.,1911 SAN GABRIEL AVE,,CLOVIS,CA,93611,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,8.0,HR,7.85,HR
50,C-08196-38285,2008-10-27 11:04:50,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,MB REDEVELOPMENT DBA LOEWS MIAMI BEACH HOTEL,1601 COLLINS AVENUE,,MIAMI BEACH,FL,33139,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,KITCHEN HELPER,0,6.75,HR,8.6,HR
51,C-08196-38300,2008-10-14 10:25:55,2008-07-14 00:00:00,CERTIFIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,"THE RITZ-CARLTON GOLF CLUB AND SPA, JUPITER",115 EAGLE TREE TERRACE,,JUPITER,FL,33477,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,6,8.95,HR,10.66,HR
52,C-08196-38315,2008-11-10 15:23:05,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,MB REDEVELOPMENT DBA LOEW'S MIAMI BEACH HOTEL,1601 COLLINS AVENUE,,MIAMI BEACH,FL,33139,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"WAITER/WAITRESS, INFORMAL",0,8.17,HR,7.5,HR
53,C-08196-38322,2008-10-23 15:41:47,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,JV ASSOCIATES DBA FOUR SEASONS RESORT PALM BEACH,2800 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,COOK,0,8.6,HR,10.7,HR
54,C-08196-38326,2008-10-24 09:47:49,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,JV ASSOCIATES DBA FOUR SEASONS RESORT PALM BEACH,2800 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOUSECLEANER,0,7.02,HR,9.1,HR
55,C-08196-38328,2008-10-06 10:03:47,2008-07-11 00:00:00,DENIED,LA,2008-10-11 00:00:00,2009-08-10 00:00:00,"ORIGINAL USA GENERAL LABOR, LLC",5437 W. PARK AVE #2,,HOUMA,LA,70364,,,,LA,WELDER FITTER,0,17.69,HR,19.0,HR
56,C-08196-38333,2008-10-27 07:58:33,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,"THE RITZ CARLTON, PALM BEACH",100 SOUTH OCEAN BLVD,,MANALAPAN,FL,33462,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,0,7.97,HR,12.99,HR
57,C-08196-38347,2008-10-07 17:41:54,2008-07-14 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-07-31 00:00:00,MAXUM INDUSTRIES LLC - TX,602-C PELICAN ISLAND PKWY,,GALVESTON,TX,77554,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA (FE,2901 BUCKS BAYOU RD.,BAY CITY,TX,WELDER FITTER,0,11.32,HR,11.32,HR
58,C-08196-38353,2008-10-01 07:46:33,2008-07-14 00:00:00,DENIED,TX,2008-10-01 00:00:00,2009-07-31 00:00:00,"OUTSOURCING USA, INC.","4900 WOODWAY DRIVE, SUITE 1225",,HOUSTON,TX,77056,KELLY D. COBB,"QUAN, BURDETTE & PEREZ, P.C.",HOUSTON,TX,PIPE FITTER,0,16.32,HR,16.32,HR
59,C-08196-38363,2008-10-08 09:52:00,2008-07-14 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,"J & M MARINE & INDUSTRIAL, LLC.","2733 SCILLINGER ROAD SOUTH,","(PO BOX 851957/MOBILE, AL. 36685-1957)",MOBILE,AL,36695,"RAM M CHEERATH, ESQUIRE","147 WEST 35TH STREET, SUITE 411",NEW YORK,NY,WELDER FITTER,0,,,,
60,C-08196-38365,2008-11-03 16:39:07,2008-07-14 00:00:00,CERTIFIED,CO,2008-09-01 00:00:00,2009-04-30 00:00:00,"THE RITZ-CARLTON, BACHELOR GULCH",0130 DAYBREAK RIDGE,,AVON,CO,81620,"DIANE HOLLOWAY, DHI LLC",7802 KINGSPOINTE PKWY,ORLANDO,FL,HOTEL CLERK,10,12.88,HR,13.64,HR
61,C-08196-38369,2008-10-27 10:54:08,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"WAITER/WAITRESS, INFORMAL",0,6.72,HR,7.5,HR
62,C-08196-38372,2008-10-27 10:49:42,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOUSEKEEPER,0,7.85,HR,9.5,HR
63,C-08196-38373,2008-10-27 10:37:38,2008-07-14 00:00:00,DENIED,FL,2008-10-01 00:00:00,2009-07-30 00:00:00,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,0,9.69,HR,11.0,HR
64,C-08196-38376,2008-10-08 09:59:02,2008-07-14 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,"J & M MARINE & INDUSTRIAL, LLC.","2733 SCHILLINGER ROAD SOUTH,","(PO BOX 851957/MOBILE, AL. 36685-1957)",MOBILE,AL,36695,"RAM M CHEERATH, ESQUIRE","147 WEST 35TH STREET, SUITE 411",NEW YORK,NY,WELDER FITTER,0,15.08,HR,15.51,HR
65,C-08196-38393,2008-10-08 10:09:50,2008-07-14 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,C & F FABRICATORS,12125 SOUTH PALMER,,PORT ALLEN,LA,70767,USA WORKS...FOR YOU (BECKY DASHER),500 OCEAN POND ROAD,LAKE PARK,GA,"WELDER, COMBINATION",0,13.25,HR,13.25,HR
66,C-08196-38395,2008-10-03 10:27:41,2008-07-14 00:00:00,DENIED,LA,2008-10-01 00:00:00,2009-07-31 00:00:00,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY COHEN ATTORNEY AT LAW,"11351 QUINLEY ROAD,",BAY MINETTE,AL,WELDER FITTER,0,17.77,HR,18.0,HR
67,C-08196-38403,2008-10-24 13:13:43,2008-07-14 00:00:00,DENIED,DE,2008-10-01 00:00:00,2009-03-15 00:00:00,"FRANCIS ENTERPRISES, INC",3665 EAST BAY DR.,#204-206,LARGO,FL,33771,SVETLANA SCHREIBER,1370 ONTARIO ST.,CLEVELAND,OH,SALES CLERK,0,7.36,HR,7.36,HR
68,C-08196-38405,2008-10-28 16:27:22,2008-07-14 00:00:00,DENIED,TX,2008-09-01 00:00:00,2009-06-30 00:00:00,"THE RITZ-CARLTON, DALLAS",2121 MCKINNEY AVENUE,,DALLAS,TX,75201,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"CLEANER, HOUSEKEEPING",0,6.47,HR,8.25,HR
