,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
10,C-07267-28045,2007-10-01 11:05:42,2007-09-24 00:00:00,CERTIFIED,LA,2007-11-06 00:00:00,2008-09-05 00:00:00,"BURKOLEY, LLC",619 WEYER STREET,,GRETNA,LA,70053,"VIRGINIA PICKERING, CPC","ACCENT PERSONNEL SERVICES, INC",BATON ROUGE,LA,JANITOR,35.0,6.1,HR,6.5,HR
11,C-07271-28143,2007-10-01 11:12:29,2007-09-28 00:00:00,CERTIFIED,AZ,2007-11-01 00:00:00,2008-08-30 00:00:00,SOUTH WEST FOREST PRODUCTS,2828 S.35TH AVE,,PHOENIX,AZ,85009,JONATHAN TAYLOR,LABORMEX,MIAMI,FL,"LABORER, GENERAL",85.0,6.97,HR,6.97,HR
12,C-07267-28042,2007-10-01 14:39:38,2007-09-24 00:00:00,CERTIFIED,AZ,2007-11-01 00:00:00,2008-07-15 00:00:00,"HERDER DEVELOPMENT, LLC",3707 E SOUTHERN AVE.,,MESA,AZ,85206,JESUS RAUL LEON,SUAME CORP,PHOENIX,AZ,"LABORER, LANDSCAPE",30.0,7.32,HR,9.0,HR
13,C-07268-28073,2007-10-01 15:50:21,2007-09-24 00:00:00,PARTIAL CERTIFIED,CA,2007-09-15 00:00:00,2008-06-30 00:00:00,SYLVER TREES,18852 VAN ARSDALE RD/,P.O.BOX 310,POTTER VALLEY,CA,95469,JANAIRA P. JOHNSON,LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,FOREST WORKER,50.0,8.58,HR,8.6,HR
14,C-07269-28092,2007-10-01 15:55:21,2007-09-26 00:00:00,CERTIFIED,TX,2007-10-01 00:00:00,2008-07-31 00:00:00,LA MEXICANA TEQUERIA INC DBA TAQUERIA LA MEXICANA,5616 N. 23RD ST.,,MCALLEN,TX,78501,BELINDA RODRIGUEZ,PRO SERVICES,SAN ANTONIO,TX,"FOOD ASSEMBLER, KITCHEN",50.0,6.09,HR,6.21,HR
15,C-07271-28126,2007-10-01 16:02:52,2007-09-28 00:00:00,CERTIFIED,CA,2007-11-15 00:00:00,2008-11-14 00:00:00,DAVID & AMY ZEBRACK,27098 PUMPKIN STREET,,MURRIETA,CA,92562,JOHN DAVID MANSFIELD,LAW OFFICES OF JOHN D. MANSFIELD,TEMECULA,CA,"CHILD CARE ATTENDANT, SCHOOL",1.0,10.08,HR,10.08,HR
16,A-07261-27901,2007-10-02 08:07:53,2007-09-17 00:00:00,CERTIFIED,NH,2007-10-29 00:00:00,2007-12-20 00:00:00,"SHERWOOD FOREST,  INC.  DBA CAMP ROBIN HOOD",3330  SOMERSET DRIVE,,SHAKER HEIGHTS,OH,44122,MARY DISERIO,IMMIGRATION SOLUTIONS & SYSTEMS,NEW YORK,NY,"MAINTENANCE REPAIRER, INDUSTRIAL",1.0,13.02,HR,15.71,HR
17,C-07240-27470,2007-10-02 08:57:34,2007-08-27 00:00:00,PARTIAL CERTIFIED,WA,2007-10-01 00:00:00,2007-11-30 00:00:00,HIAWATHA CORPORATION,681 E. JOHNS PRAIRIE ROAD,,SHELTON,WA,98584,"WASHINGTON FARM LABOR SOURCE, LLC",803 S. BROADWAY,OTHELLO,WA,WREATH AND GARLAND MAKER,55.0,8.79,HR,8.88,HR
18,A-07256-27826,2007-10-02 09:09:10,2007-09-13 00:00:00,CERTIFIED,FL,2007-10-20 00:00:00,2008-08-15 00:00:00,RESORT STAFFING AGENCY  INC.,400 S. ATLANTIC AVENUE,SUITE 105,ORMOND BEACH,FL,32176,,,,,"CLEANER, HOUSEKEEPING",40.0,6.94,HR,7.5,HR
19,A-07271-28136,2007-10-02 09:44:14,2007-09-28 00:00:00,DENIED,MS,2007-11-01 00:00:00,2008-09-01 00:00:00,J & M MARINE & INDUSTRIAL LLC,9136 HEATHER LANE,,MOSS POINT,MS,39562,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,FITTER I,0.0,12.85,HR,13.01,HR
20,C-07274-28146,2007-10-02 10:03:55,2007-10-01 00:00:00,CERTIFIED,NY,2007-12-21 00:00:00,2008-11-07 00:00:00,S & T MAGIC ENTERPRISES INC.,2509 LAKESHORE DRIVE,,ORLANDO,FL,32803,MALCOM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,RIDE OPERATOR,30.0,6.93,HR,7.5,HR
21,A-07270-28121,2007-10-02 10:07:13,2007-09-27 00:00:00,CERTIFIED,NY,2007-10-29 00:00:00,2008-09-30 00:00:00,OLD VINE NY CORP. D/B/A MAB FINER WINES & SPIRITS,385 MERRICK AVE.,,EAST MEADOW,NY,11554,EUNHYANG CHO / ATTORNEY AT LAW,CHO AND ASSOCIATES,NEW YORK,NY,DEMONSTRATOR,3.0,8.84,HR,9.0,HR
22,C-07263-27975,2007-10-02 10:13:02,2007-09-19 00:00:00,CERTIFIED,LA,2007-11-01 00:00:00,2008-08-31 00:00:00,"PAX, INC",39386 BABIN RD,,GONZALES,LA,70737,DENNY L. LYNES OR LORI L. WHITTEN,ACTION VISA ASSISTANCE,WYLIE,TX,FITTER,85.0,11.84,HR,11.84,HR
23,C-07264-28001,2007-10-02 10:21:36,2007-09-20 00:00:00,PARTIAL CERTIFIED,LA,2008-01-01 00:00:00,2008-06-30 00:00:00,"CRESCENT CITY CRAB, INC",38327 SALT BAYOU RD,,SLIDELL,LA,70461,"INTERNATIONAL LABOR MANAGEMENT CORP, SARAH E. FARR",230 CAMERON AVE,VASS,NC,CRAB MEAT PROCESSOR,80.0,7.1,HR,7.1,HR
24,C-07268-28079,2007-10-02 10:26:00,2007-09-24 00:00:00,CERTIFIED,TX,2007-12-01 00:00:00,2008-10-01 00:00:00,CENTEX HOUSE LEVELING-WACO LLC,710 S. ROBINSON,,WACO,TX,76706,,,,,CONSTRUCTION WORKER I,16.0,7.26,HR,7.26,HR
25,A-07260-27859,2007-10-02 11:35:21,2007-09-17 00:00:00,CERTIFIED,WV,2007-11-20 00:00:00,2008-04-14 00:00:00,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,"CLEANER, HOUSEKEEPING",50.0,6.17,HR,7.3,HR
26,A-07260-27861,2007-10-02 11:36:42,2007-09-17 00:00:00,CERTIFIED,WV,2007-11-15 00:00:00,2008-03-31 00:00:00,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,COOK APPRENTICE,20.0,6.18,HR,7.3,HR
27,A-07260-27855,2007-10-02 11:38:42,2007-09-17 00:00:00,CERTIFIED,WV,2007-12-10 00:00:00,2008-03-31 00:00:00,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,RECREATION FACILITY ATTENDANT,10.0,6.13,HR,8.0,HR
28,A-07260-27856,2007-10-02 11:39:56,2007-09-17 00:00:00,CERTIFIED,WV,2007-11-20 00:00:00,2008-04-15 00:00:00,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,"INSTRUCTOR, PHYSICAL EDUCATION",25.0,6.07,HR,9.07,HR
29,C-07274-28168,2007-10-02 13:06:15,2007-10-01 00:00:00,CERTIFIED,CO,2007-11-01 00:00:00,2008-03-30 00:00:00,H & B SNOW REMOVAL SERVICES,PO BOX 2049,916B CHAMBERS AVENUE,EAGLE,CO,81631,AMY J. LIEBOWITZ,LAW OFFICES OF AMY J. LIEBOWITZ,VAIL,CO,SNOW SHOVELER,10.0,9.58,HR,10.5,HR
30,A-07263-27991,2007-10-02 13:44:20,2007-09-20 00:00:00,DENIED,FL,2007-10-31 00:00:00,2008-10-31 00:00:00,"UNITED IRON WORK, INC.",3274 N.W. 38TH STREET,,MIAMI,FL,33142,"BARBARA WARREN LOLI,  ESQUIRE",80 S.W. 8TH STREET,MIAMI,FL,"WELDER, ARC",0.0,38917.0,YR,40000.0,YR
31,C-07274-28165,2007-10-02 14:02:20,2007-10-01 00:00:00,CERTIFIED,CA,2007-11-01 00:00:00,2008-08-31 00:00:00,INTERNATIONAL POLO CONNECTION,82345 GABLE DRIVE,,INDIO,CA,92201,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,10.0,7.76,HR,10.0,HR
32,C-07275-28175,2007-10-02 14:11:32,2007-10-01 00:00:00,CERTIFIED,CA,2007-12-15 00:00:00,2008-10-14 00:00:00,"GRANTS FARM MANOR WEST, LLC",10501 GRAVOIS ROAD,,ST. LOUIS,MO,92201,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,2.0,7.76,HR,11.55,HR
33,C-07269-28101,2007-10-02 14:45:02,2007-09-26 00:00:00,CERTIFIED,TX,2007-10-30 00:00:00,2008-08-30 00:00:00,"PRONTO SANDBLASTING & COATING, INC",9456 S. PRESA STREET,,SAN ANTONIO,TX,78223,FRANCISCO M. MALDONADO,"8546 BROADWAY, SUITE 109",SAN ANTONIO,TX,CONSTRUCTION WORKER I,20.0,7.59,HR,7.75,HR
34,C-07274-28154,2007-10-02 14:49:47,2007-10-01 00:00:00,PARTIAL CERTIFIED,TX,2007-10-29 00:00:00,2007-11-30 00:00:00,"LANDSCAPES UNLIMITED, LLC",1201 ARIES DRIVE,,LINCOLN,NE,68512,GRACE KAN,"KAN LAW, P.C.",IRVING,TX,"LABORER, LANDSCAPE",40.0,6.93,HR,6.93,HR
35,C-07271-28127,2007-10-02 14:55:15,2007-09-28 00:00:00,CERTIFIED,CA,2007-11-01 00:00:00,2008-04-23 00:00:00,HOMEWOOD MOUNTAIN RESORT,5145 WEST LAKE BLVD,P.O. BOX 105,HOMEWOOD,CA,96141,,,,,ATHLETIC TRAINER,30.0,9.06,HR,9.06,HR
36,C-07274-28152,2007-10-02 15:00:24,2007-10-01 00:00:00,CERTIFIED,AZ,2007-11-15 00:00:00,2008-09-14 00:00:00,"BLUE DOT STEEL & SUPPLY, INC.",P.O. BOX 12625,,SCOTTSDALE,AZ,85267,VICKI ANDAZOLA,SUAME CORP,PHOENIX,AZ,"LABORER, GENERAL",3.0,6.97,HR,8.0,HR
37,C-07250-27683,2007-10-02 16:29:28,2007-09-07 00:00:00,DENIED,LA,2007-10-15 00:00:00,2008-08-15 00:00:00,LAURENTINO M. CARDENAS,108 SWAMP DRIVE,,BOURG,LA,70343,MALVERN C. BURNETT,1523 POLYMNIA STREET,NEW ORLEANS,LA,"DECKHAND, FISHING VESSEL",0.0,8.21,HR,8.21,HR
38,A-07260-27865,2007-10-02 17:15:01,2007-09-17 00:00:00,CERTIFIED,NJ,2007-10-15 00:00:00,2008-01-31 00:00:00,NATURE'S THERAPY,164 PANORAMA DRIVE,,EDGEWATER,NJ,7020,SVETLANA J. SCHREIBER,SVETLANA SCHREIBER & ASSOC. CO. L.P.A.,CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",41.0,7.53,HR,7.54,HR
39,A-07267-28057,2007-10-03 07:56:00,2007-09-24 00:00:00,CERTIFIED,NY,2007-12-01 00:00:00,2008-09-30 00:00:00,"SMITHFIELD FARMS, LLC",20 SMITHFIELD VALLEY ROAD,,AMENIA,NY,12501,"JENNIFER L. KUZMAN, ESQ","LOTZ, DOGGETT & RAWERS, LLP",SAN DIEGO,CA,STABLE ATTENDANT,2.0,7.72,HR,12.5,HR
40,A-07271-28135,2007-10-03 08:15:10,2007-09-28 00:00:00,DENIED,MS,2007-11-01 00:00:00,2008-09-01 00:00:00,J & M MARINE & INDUSTRIAL LLC,9136 HEATHER LANE,,MOSS POINT,MS,39562,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,"WELDER, ARC",0.0,13.37,HR,15.51,HR
41,A-07260-27873,2007-10-03 08:35:17,2007-09-17 00:00:00,PARTIAL CERTIFIED,GA,2007-10-03 00:00:00,2008-07-20 00:00:00,MOBILE JOE'S LANDSCAPING,"375  MAXWELL ROAD,",,ALPHARETTA,GA,30004,,,,,"LABORER, LANDSCAPE",25.0,8.05,HR,8.3,HR
42,A-07253-27724,2007-10-03 08:41:39,2007-09-10 00:00:00,PARTIAL CERTIFIED,FL,2007-10-01 00:00:00,2008-07-01 00:00:00,BUGSY HOLDINGS INC  DBA SUBWAY,3402 SOUTH DALEMABRY HWY,,TAMPA,FL,33629,,,,,FAST FOODS WORKER,15.0,6.8,HR,7.0,HR
43,A-07274-28160,2007-10-03 09:39:57,2007-10-01 00:00:00,CERTIFIED,RI,2007-11-05 00:00:00,2008-01-31 00:00:00,NC CHORDE ENTERPRISES,P.O. BOX 35420,,BRIGHTON,MA,2135,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE.,",CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",12.0,7.99,HR,7.99,HR
44,A-07274-28153,2007-10-03 09:42:36,2007-10-01 00:00:00,CERTIFIED,RI,2007-11-05 00:00:00,2008-01-31 00:00:00,NC CHORDE ENTERPRISES,P.O. BOX 35420,,BRIGHTON,MA,2135,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE.,",CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",12.0,7.99,HR,7.99,HR
45,C-07269-28093,2007-10-03 09:53:43,2007-09-26 00:00:00,CERTIFIED,WY,2007-12-01 00:00:00,2008-04-01 00:00:00,ALPENHOF LODGE ASSOCIATES,3255 VILLAGE DR.,,TETON VILLAGE,WY,83025,MICHAELENE ROWE,GLOBAL RESOURCES,RUPERT,ID,"FOOD ASSEMBLER, KITCHEN",2.0,6.41,HR,9.0,HR
46,A-07261-27883,2007-10-03 10:07:38,2007-09-17 00:00:00,CERTIFIED,NC,2007-11-01 00:00:00,2008-08-01 00:00:00,"MOBETTER MANAGEMENT, INC. DBA SONIC DRIVE INS",120 COXE  AVENUE,UNIT 3C,ASHEVILLE,NC,28801,,,,,"COOK, FAST FOOD",50.0,6.15,HR,6.5,HR
47,C-07274-28164,2007-10-03 10:16:57,2007-10-01 00:00:00,CERTIFIED,TX,2008-01-01 00:00:00,2008-10-31 00:00:00,"PEABODY GENERAL CONTRACTORS, INC.",2100 E HIGHWAY 290,PO BOX 3,DRIPPING SPRINGS,TX,78620,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,CONSTRUCTION WORKER I,35.0,8.48,HR,8.55,HR
48,A-07270-28120,2007-10-03 10:26:55,2007-09-27 00:00:00,CERTIFIED,PA,2007-12-16 00:00:00,2008-02-14 00:00:00,"C. M. JONES, INC.",960  SWEDESFORD RD.,,EXTON,PA,19341,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",35.0,8.79,HR,8.79,HR
49,C-07271-28132,2007-10-03 10:47:31,2007-09-28 00:00:00,CERTIFIED,TX,2007-12-01 00:00:00,2008-09-30 00:00:00,ADVANCED LAB CONCEPTS,15900 BRATTON LANE,,AUSTIN,TX,78728,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,PRODUCTION HELPER,40.0,6.32,HR,8.7,HR
50,C-07249-27673,2007-10-03 12:55:24,2007-09-06 00:00:00,CERTIFIED,LA,2007-10-20 00:00:00,2008-08-17 00:00:00,SANDERS MOBILE HOMES,1111 FLORIDA BLVD,,DENHAM SPRINGS,LA,70726,LINDA WHITE & ASSOCIATES,20791 E. RR AVE,LIVINGSTON,LA,"LABORER, CONSTRUCTION OR LEAK GANG",5.0,8.57,HR,8.57,HR
51,C-07240-27436,2007-10-03 12:58:11,2007-08-27 00:00:00,CERTIFIED,LA,2007-10-01 00:00:00,2008-07-31 00:00:00,"ANAMESE GARDEN POTS, INC.",18080 LAMOTTE ROAD,,WELSH,LA,70591,KELLY J. COUCH,231 PECAN AVENUE,NEW ROADS,LA,SHIPPING AND RECEIVING CLERK,10.0,7.49,HR,7.49,HR
52,C-07253-27750,2007-10-03 13:00:39,2007-09-10 00:00:00,CERTIFIED,IL,2007-10-15 00:00:00,2008-08-01 00:00:00,"SPHERE GLOBAL SOLUTIONS, INC.","1000 WEST ADAMS STREET, 603",,CHICAGO,IL,60607,"JASON SAGER, ESQ.",BIRG & MELTSER,DEERFIELD,IL,SOFTWARE ENGINEER,3.0,35.0,HR,35.0,HR
53,C-07275-28190,2007-10-03 13:04:14,2007-10-01 00:00:00,CERTIFIED,TX,2008-01-01 00:00:00,2008-10-31 00:00:00,BETTER ROOFING,161A CL13 BOX 13,,DALE,TX,78616,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,CONSTRUCTION WORKER I,30.0,8.16,HR,8.55,HR
54,A-07270-28122,2007-10-03 13:50:44,2007-09-27 00:00:00,DENIED,NY,2007-10-01 00:00:00,2008-09-30 00:00:00,"ZVAH, INC. D/B/A LES ENFANTS TERRIBLES",37 CANAL STREET,,NEW YORK,NY,10002,,,,,FOOD SERVICE SUPERVISOR,0.0,751.2,WK,875.0,WK
55,A-07267-28064,2007-10-03 14:41:30,2007-09-24 00:00:00,CERTIFIED,NJ,2008-01-01 00:00:00,2008-10-15 00:00:00,"BEACON HILL SHOW STABLES,  INC",55 LAIRD ROAD,,COLTS NECK,NJ,7722,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,8.0,7.26,HR,11.22,HR
56,A-07263-27992,2007-10-03 14:44:38,2007-09-20 00:00:00,DENIED,FL,2007-10-30 00:00:00,2008-10-30 00:00:00,ABANTO FOOD CORP.  D/B/A  EL CHALAN RESTAURANT,7971 S.W. 40TH STREET,,MIAMI,FL,33155,"BARBARA WARREN LOLI,  ESQUIRE",80 S.W. 8TH STREET,MIAMI,FL,SOUS CHEF,0.0,36379.0,YR,36500.0,YR
57,A-07275-28171,2007-10-03 14:49:51,2007-10-01 00:00:00,CERTIFIED,MS,2008-01-01 00:00:00,2008-10-31 00:00:00,"AMERICA'S CATCH, INC",22696 COUNTY ROAD 507,,ITTA BENA,MS,38941,TODD MILLER,P.O. BOX 1073,HELOTES,TX,"TRIMMER, MEAT",60.0,6.17,HR,6.17,HR
58,A-07274-28159,2007-10-03 15:13:11,2007-10-01 00:00:00,PARTIAL CERTIFIED,NC,2007-11-01 00:00:00,2008-08-01 00:00:00,"INNOVATIVE LABOR SERVICES, INC.",104 CITY LANE,,DARLINGTON,SC,29532,"MOSES APSAN, ESQ.","LAW OFFICES OF MOSES APSAN, P.C.",ASTORIA,NY,MATERIAL HANDLER,50.0,7.4,HR,7.4,HR
59,C-07276-28203,2007-10-03 16:50:17,2007-10-03 00:00:00,CERTIFIED,NY,2007-12-20 00:00:00,2008-10-30 00:00:00,BILLY PEARSON DBA SOUTHERN STATE SHOWS,PO BOX 1718,,SPLENDORA,TX,77372,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,AMUSEMENT PARK WORKER,12.0,7.14,HR,7.14,HR
60,A-07264-28023,2007-10-04 10:17:19,2007-09-21 00:00:00,CERTIFIED,FL,2007-11-01 00:00:00,2008-07-31 00:00:00,KESSLER COLLECTION,4901 VINELAND ROAD SUITE 650,,ORLANDO,FL,32811,DIANE HOLLOWAY DHI LLC,7802 KINGSPOINTE PKWY,ORLANDO,FL,"CLEANER, HOUSEKEEPING",55.0,7.37,HR,7.5,HR
61,C-07274-28151,2007-10-04 10:51:33,2007-10-01 00:00:00,CERTIFIED,AZ,2007-11-15 00:00:00,2008-05-31 00:00:00,WESTWARD LOOK RESORT,245 EAST INA ROAD,,TUCSON,AZ,85704,DOROTHY NICHOLSON,"WALKERS CONSULTING, INC.",ROSEDALE,NY,DINING ROOM ATTENDANT,15.0,6.75,HR,8.0,HR
62,C-07274-28149,2007-10-04 10:58:24,2007-10-01 00:00:00,CERTIFIED,WI,2007-11-01 00:00:00,2008-08-31 00:00:00,"GRANITE STOCK REMOVAL, INC.",W4391 CUMBERLAND RD.,,REDGRANITE,WI,54970,TODD MILLER,P.O. BOX 1073,HELOTES,TX,"BONER, MEAT",12.0,8.34,HR,8.34,HR
63,C-07274-28145,2007-10-04 11:03:27,2007-10-01 00:00:00,CERTIFIED,LA,2007-12-01 00:00:00,2008-08-31 00:00:00,PELICHEM INDUSTRIAL CLEANING SERVICES,284 AIRPORT ROAD,PO BOX 468,RESERVE,LA,70084,"LINDA TURNER, ADNIL SERVICES",P.O. BOX 569,BRUNSWICK,ME,TANK CLEANER,16.0,6.12,HR,8.03,HR
64,C-07275-28183,2007-10-04 11:52:07,2007-10-02 00:00:00,CERTIFIED,UT,2008-01-01 00:00:00,2008-10-31 00:00:00,"NASC, INC",47 WATER STREET,,MYSTIC,CT,6355,NANCY SCARCELLA,SILK & CO.,CLEVELAND,OH,"COACH, PROFESSIONAL ATHLETES",20.0,2373.0,MTH,2833.0,MTH
65,C-07275-28187,2007-10-04 11:54:26,2007-10-02 00:00:00,CERTIFIED,CO,2007-11-15 00:00:00,2008-04-15 00:00:00,"JIM'S PRIDE LANDSCAPING & MAINTENANCE, INC",13195 NORTH HIGHLAND CIRCLE,,LITTLETON,CO,80125,,,,,SNOW SHOVELER,3.0,7.72,HR,8.6,HR
66,A-07261-27926,2007-10-04 11:57:42,2007-09-17 00:00:00,CERTIFIED,FL,2007-12-15 00:00:00,2008-08-15 00:00:00,CHEECA LODGE & SPA,PO BOX 527,81801 OVERSEAS HIGHWAY,ISLAMORADA,FL,33036,"KENDRA S. KEMBEL, ESQ.",1300 BENT CREEK BLVD.,MECHANICSBURG,PA,"WAITER/WAITRESS, INFORMAL",60.0,6.72,HR,6.75,HR
67,C-07256-27815,2007-10-04 12:42:35,2007-09-13 00:00:00,DENIED,LA,2007-10-15 00:00:00,2008-08-15 00:00:00,DEREK GREEN D/BA,3180 BAYOU DULARGE ROAD,,THERIOT,LA,70397,MALVERN C. BURNETT,LAW OFFICES OF MALVERN C. BURNETT,NEW ORLEANS,LA,"DECKHAND, FISHING VESSEL",0.0,8.21,HR,8.21,HR
68,A-07274-28155,2007-10-05 08:48:48,2007-10-01 00:00:00,CERTIFIED,FL,2007-10-01 00:00:00,2008-05-30 00:00:00,MIAMI SHORES COUNTRY CLUB,10000 BISCAYNE BLVD,,MIAMI SHORES,FL,33138,"DAVID F. DELINKO, ESQ.",VISA SERVICES,SAN MARINO,CA,DINING ROOM ATTENDANT,12.0,6.75,HR,6.75,HR
