,CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
10,C-12270-59842,2012-10-02 12:01:42,2012-09-26 00:00:00,Certified,H-2B,AR,2012-11-15 00:00:00,2013-05-30 00:00:00,"FUTURE HARVEST FORESTRY SERVICE, LLC",233 HWY 133S,,FOUNTAIN HILL,AR,71642,"PATRICIA M. HALL / AGWORKS H2, LLC",LAKE PARK,GA,454011,Forest and Conservation Workers,FOREST WORKER,117,10.32,HR,10.32,HR
11,C-12264-59810,2012-10-02 12:18:03,2012-09-20 00:00:00,Certified,H-2B,TX,2012-11-05 00:00:00,2013-08-30 00:00:00,REINFORCING STEEL SUPPLY,13730 AVENUE K,,AUSTIN,TX,78728,KEMAL IAN BENOUIS/BENOUIS LAW OFFICE,MANCHACA,TX,519198,Helpers--Production Workers,"LABORER, GENERAL",10,8.25,HR,8.25,HR
12,C-12270-59839,2012-10-02 12:44:19,2012-09-26 00:00:00,Certified,H-2B,AR,2012-11-01 00:00:00,2013-06-30 00:00:00,"MENDIOLA FORESTRY SERVICES, LLC",PO BOX 69,,WARREN,AR,71671,"PATRICIA M. HALL / AGWORKS H2, LLC",LAKE PARK,GA,454011,Forest and Conservation Workers,FOREST WORKER,49,10.32,HR,10.32,HR
13,C-12261-59793,2012-10-02 12:52:05,2012-09-17 00:00:00,DENIED,H-2B,VA,2012-11-01 00:00:00,2013-09-01 00:00:00,PRO LABOR TEMPS LLC,505 HALIFAX ST,,EMPORIA,VA,23847,,,,519198,Helpers--Production Workers,"LABORER, CONSTRUCTION OR LEAK GANG",0,7.35,HR,7.35,HR
14,C-12233-59634,2012-10-02 12:52:58,2012-08-20 00:00:00,DENIED,H-2B,OK,2012-11-01 00:00:00,2013-06-30 00:00:00,"GARY HESS CONTRACTING, INC.",ROUTE 1 BOX 555,,GARVIN,OK,74736,,,,454011,Forest and Conservation Workers,FOREST WORKER,0,13.09,HR,13.09,HR
15,C-12261-59790,2012-10-02 13:13:53,2012-09-17 00:00:00,DENIED,H-2B,FL,2012-09-01 00:00:00,2013-08-31 00:00:00,MAID OF HONOR LLC,129 CYPRESS BREEZE BLVD.,,SANTO ROSA BEACH,FL,32549,,,,372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",0,8.42,HR,8.42,HR
16,C-12237-59662,2012-10-02 13:18:50,2012-08-24 00:00:00,DENIED,H-2B,TX,2012-10-01 00:00:00,2013-01-31 00:00:00,"PREFERRED LANDSCAPE & LIGHTING, LLC",26421 IH 10 WEST,,BOERNE,TX,78006,"DANIEL MARK KOWALSKI/THE FOWLER LAW FIRM, PC",AUSTIN,TX,519198,Helpers--Production Workers,"LABORER, GENERAL",0,8.42,HR,8.42,HR
17,C-12234-59636,2012-10-02 13:19:55,2012-08-21 00:00:00,DENIED,H-2B,FL,2012-11-01 00:00:00,2013-04-01 00:00:00,JM CLEANING SERVICES,2911 GRANDOLA DR,,ORLANDO,FL,32811,,,,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,"SUPERVISOR, JANITORIAL SERVICES",0,,,,
18,C-12249-59727,2012-10-02 13:21:18,2012-09-05 00:00:00,DENIED,H-2B,MS,2012-10-08 00:00:00,2013-07-31 00:00:00,"SHARP FORESTRY, INC.",734 SCHAEFFER CHAPPEL RD.,,COLUMBUS,MS,39701,SAYDE M. LEONEL DE CERVANTES / INFINITY LABOR SOUR,BUDA,TX,373013,Tree Trimmers and Pruners,TREE PRUNER,0,10.81,HR,10.81,HR
19,C-12263-59802,2012-10-02 13:28:23,2012-09-19 00:00:00,DENIED,H-2B,TX,2012-10-25 00:00:00,2013-07-15 00:00:00,"COASTAL EMPLOYMENT AGENCY, INC. DBA PRESTIGE BOATS",103 AVENUE C AND 1ST STREET,,SAN LEON,TX,77539,CONNIE L. CHAVEZ/ CLC LABOR SERVICES,BROWNSVILLE,TX,453011,Fishers and Related Fishing Workers,OYSTER FLOATER,0,10.39,HR,10.39,HR
20,C-12250-59738,2012-10-02 13:40:41,2012-09-06 00:00:00,DENIED,H-2B,CA,2012-10-01 00:00:00,2013-02-01 00:00:00,"RIZZO, INC DBA OWEN MILLS COMPANY",7720 AIRPORT BUSINESS PARK WAY,,VAN NUYS,CA,91406,,,,514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","WELDING MACHINE OPERATOR, ARC",0,25.27,HR,25.27,HR
21,C-12250-59742,2012-10-02 14:35:21,2012-09-06 00:00:00,DENIED,H-2B,KY,2012-09-01 00:00:00,2013-08-31 00:00:00,"VETERINARY MOBILE SURGICAL SERVICES, LLC",112 TIMBERWOOD DRIVE,,CRITTENDEN,KY,41030,,,,319096,Veterinary Assistants and Laboratory Animal Caretakers,VETERINARY TECHNICIAN,0,18.5,HR,18.5,HR
22,C-12255-59764,2012-10-02 14:45:55,2012-09-11 00:00:00,DENIED,H-2B,ND,2012-10-04 00:00:00,2013-05-01 00:00:00,EL RANCHO CORP DBA EL RANCHO MOTOR HOTEL,1623 W. 2ND AVE.,,WILLISTON,ND,58801,VERONICA T. STRICKLAND-BIRKENSTOCK/PRACTICAL EMPLO,DALLAS,TX,372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",0,8.68,HR,8.68,HR
23,C-12235-59651,2012-10-02 14:51:59,2012-08-22 00:00:00,DENIED,H-2B,FL,2012-09-01 00:00:00,2012-11-30 00:00:00,"PROSHOT CONCRETE, INC.",4158 MUSGROVE DRIVE,,FLORENCE,AL,35630,"TIFFANY LYNN BALDWIN / GREENSFELDER, HEMKER & GALE",ST. LOUIS,MO,473012,Helpers--Carpenters,CONSTRUCTION WORKER I,0,10.83,HR,10.83,HR
24,C-12234-59643,2012-10-02 14:54:28,2012-08-21 00:00:00,DENIED,H-2B,UT,2012-11-15 00:00:00,2013-04-15 00:00:00,STEIN ERIKSEN LODGE CORPORATION,7700 STEIN WAY,P.O. BOX 3177,PARK CITY,UT,84060,,,,353031,Waiters and Waitresses,WAITER/WAITRESS,0,9.89,HR,9.89,HR
25,C-12261-59788,2012-10-02 14:59:01,2012-09-17 00:00:00,DENIED,H-2B,ND,2012-07-10 00:00:00,2012-09-17 00:00:00,NORTHERN LIGHTS PIZZA DBA DOMINO'S PIZZA,1524 SOUTH BROADWAY STE 1,,MINOT,ND,58701,,,,352011,"Cooks, Fast Food","BAKER, PIZZA",0,10.0,HR,10.0,HR
26,C-12230-59629,2012-10-02 15:25:18,2012-08-17 00:00:00,DENIED,H-2B,LA,2012-09-15 00:00:00,2013-06-28 00:00:00,OLVERAS CONCRETE INC. DBA OLVERAS CONCRETE INC,11350 S. WESTERN AVE,,EDMOND,OK,73025,,,,519198,Helpers--Production Workers,GENERAL HELPER,0,11.19,HR,11.19,HR
27,C-12261-59783,2012-10-02 15:49:32,2012-09-17 00:00:00,Partial Certified,H-2B,NC,2012-11-02 00:00:00,2013-04-01 00:00:00,MICHAEL L. DICKEY DBA THE MOOSE,2360 LUCKSTONE ROAD,,BURLINGTON,NC,27217,"ELIZABETH D. WHITLEY/MASLABOR H-2B, LLC",LOVINGSTON,VA,373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12,8.2,HR,8.2,HR
28,C-12268-59817,2012-10-03 08:57:38,2012-09-24 00:00:00,Partial Certified,H-2B,FL,2012-10-15 00:00:00,2013-05-15 00:00:00,QUAIL CREEK COUNTRY CLUB,13300 VALEWOOD DR,,NAPLES,FL,34119,,,,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,9,9.74,HR,9.74,HR
29,C-12270-59838,2012-10-03 10:35:36,2012-09-26 00:00:00,Certified,H-2B,GA,2012-10-15 00:00:00,2013-06-30 00:00:00,"SWIFT STRAW II, LLC",2255 CUMBERLAND PARKWAY BUILDING 1700,,ATLANTA,GA,30339,"PATRICIA M. HALL/AGWORKS H2, LLC",LAKE PARK,GA,454011,Forest and Conservation Workers,FOREST WORKER,30,8.37,HR,8.37,HR
30,C-12270-59841,2012-10-03 10:38:09,2012-09-26 00:00:00,Certified,H-2B,GA,2012-10-15 00:00:00,2013-06-30 00:00:00,"SWIFT STRAW II, LLC",2255 CUMBERLAND PARKWAY BUILDING 1700,,ATLANTA,GA,30339,"PATRICIA M. HALL/AGWORKS H2, LLC",LAKE PARK,GA,454011,Forest and Conservation Workers,FOREST WORKER,30,8.09,HR,8.09,HR
31,C-12271-59848,2012-10-03 11:11:18,2012-09-27 00:00:00,Certified,H-2B,CO,2012-11-01 00:00:00,2013-05-01 00:00:00,"SUREFOOT, L.C. DBA SUREFOOT SNOWMASS",1500 KEARNS BOULEVARD,SUITE A-100,PARK CITY,UT,84060,AMY JILL NOVAK/NOVAK LAW OFFICE,VAIL,CO,411011,First-Line Supervisors/Managers of Retail Sales Workers,"MANAGER, RETAIL STORE",1,19.35,HR,19.35,HR
32,C-12271-59846,2012-10-03 11:21:56,2012-09-27 00:00:00,Certified,H-2B,AL,2013-01-01 00:00:00,2013-10-31 00:00:00,"EL RIO GRANDE, LLC",202 S. GILMER AVE,,LANETT,AL,36863,"LINDA PEREZ/DATA PROCESSING SPECIALIST, INC",BROWNSVILLE,TX,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",FAST FOODS WORKER,7,8.22,HR,8.22,HR
33,C-12271-59845,2012-10-03 11:23:02,2012-09-27 00:00:00,Certified,H-2B,AL,2013-01-02 00:00:00,2013-10-31 00:00:00,"DON CARLOS DE MALBIS, INC.",29669 HWY 181,,DAPHNE,AL,36526,LINDA PEREZ / DATA PROCESS SPECIALISTS INC.,BROWNSVILLE,TX,352014,"Cooks, Restaurant",COOK,15,9.58,HR,9.58,HR
34,C-12271-59849,2012-10-03 12:11:13,2012-09-27 00:00:00,Partial Certified,H-2B,CO,2012-11-01 00:00:00,2013-05-07 00:00:00,"CRYSTAL HOLIDAYS, INC.",160 E ADAMS SUITE B,PO BOX 605,BRECKENRIDGE,CO,80424,"CRAIG DAVID MCDOUGAL/ WILLIAM VELIE, ATTORNEYS AT",NORMAN,OK,434181,Reservation and Transportation Ticket Agents and Travel Clerks,TOURIST INFORMATION ASSISTANT,8,11.93,HR,11.93,HR
35,C-12262-59799,2012-10-03 13:22:41,2012-09-18 00:00:00,Certified,H-2B,CO,2012-12-01 00:00:00,2013-04-15 00:00:00,EAST WEST RESORTS,P.O BOX 9690,15 HIGHLANDS LANE,AVON,CO,81620,VERITY CLAIR EISENMAN/VISAWISE/LLC,EAGLE,CO,372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",40,12.0,HR,12.0,HR
36,C-12272-59851,2012-10-03 14:02:25,2012-09-28 00:00:00,Certified,H-2B,MT,2012-12-15 00:00:00,2013-10-15 00:00:00,SLEEPING BEAR INC DBA BEST WESTERN DESERT INN,133 CANYON STREET,P.O. BOX 340,WEST YELLOWSTONE,MT,59758,"ELIZABETH D. WHITLEY/ MAS LABOR H2B, LLC",LOVINGSTON,VA,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,HOUSEKEEPER,8,8.23,HR,8.23,HR
37,C-12272-59861,2012-10-04 10:53:54,2012-09-28 00:00:00,Certified,H-2B,CA,2012-12-09 00:00:00,2013-09-30 00:00:00,SUNNYSIDE FARM STABLES,PO BOX 1558,,RANCHO SANTA FE,CA,92067,"MARTIN J. ARBURUA/ INTERNATIONAL LAW GROUP, LLP",SOLANA BEACH,CA,392021,Nonfarm Animal Caretakers,"EXERCISER, HORSE",1,10.08,HR,10.08,HR
38,C-12272-59857,2012-10-04 11:07:23,2012-09-28 00:00:00,Certified,H-2B,WY,2012-12-15 00:00:00,2013-04-01 00:00:00,THREE FORKS RANCH CORP,1445 CARBON CTY. RD. 710,PO BOX 69,SAVERY,WY,82332,"ELIZABETH D. WHITLEY/MASLABOR H-2B, LLC",LOVINGSTON,VA,373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",6,10.56,HR,10.56,HR
39,C-12270-59835,2012-10-04 11:13:45,2012-09-26 00:00:00,Certified,H-2B,MN,2012-09-01 00:00:00,2013-05-01 00:00:00,TRANSPORT LEASING COMPANY LLP,1901 BENEFIS COURT,,GREAT FALLS,MT,59405,KEVIN M. OPP/ EMPLOYMENT USA. LLC,ABERDEEN,SD,533032,"Truck Drivers, Heavy and Tractor-Trailer","TRUCK DRIVER, HEAVY",40,16.28,HR,16.28,HR
40,C-12244-59700,2012-10-04 11:45:55,2012-08-31 00:00:00,Certified,H-2B,CO,2012-12-01 00:00:00,2013-04-30 00:00:00,"HEATHER'S HOUSEKEEPING, LLC",2833 KINNICKINNICK ROAD,P.O. BOX 310,VAIL,CO,81658,AMY JILL NOVAK / THE NOVAK LAW OFFICE,VAIL,CO,372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",3,10.17,HR,10.17,HR
41,C-12276-59871,2012-10-05 12:46:25,2012-10-02 00:00:00,Certified,H-2B,MD,2012-08-01 00:00:00,2013-05-31 00:00:00,JOHN EDWIN SALZMAN JR.,4047 SYKESVILLE RD,,FINKSBURY,MD,21048,"CRAIG D MCDOUGAL/WILLIAM VELIE, ATTORNEYS AT LAW,",NORMAN,OK,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,5,9.68,HR,9.68,HR
42,C-12276-59879,2012-10-05 12:59:31,2012-10-02 00:00:00,Certified,H-2B,PA,2012-12-01 00:00:00,2013-07-15 00:00:00,ALFRESCO HOME,1000 ARMAND HAMMER BLVD,,POTTSTOWN,PA,19464,APRIL MCKINNEY/ FEDERTION OF EMPLOYERS AND WORKERS,BAY CITY,TX,537062,"Laborers and Freight, Stock, and Material Movers, Hand",MATERIAL HANDLER,4,9.53,HR,9.53,HR
43,C-12263-59805,2012-10-05 13:02:16,2012-09-19 00:00:00,DENIED,H-2B,FL,2012-10-01 00:00:00,2013-10-01 00:00:00,BIG MACK'S LOUNGE INC./FOXXY LADY LOUNGE,2046 2 NW 18 AVE,,MIAMI GARDENS,FL,33056,,,,272031,Dancers,DANCER,0,8.0,HR,8.0,HR
44,C-12269-59831,2012-10-05 13:29:53,2012-09-25 00:00:00,DENIED,H-2B,TX,2012-11-13 00:00:00,2013-07-15 00:00:00,"COASTAL EMPLOYMENT AGENCY, INC.",103 AVENUE C AND 1ST STREET,,SAN LEON,TX,77539,CONNIE L. CHAVEZ/ CLC LABOR SERVICES,BROWNSVILLE,TX,519198,Helpers--Production Workers,SHELLFISH SHUCKER,0,8.23,HR,8.23,HR
45,C-12263-59808,2012-10-05 13:37:37,2012-09-19 00:00:00,DENIED,H-2B,WA,2012-10-08 00:00:00,2013-01-01 00:00:00,SCANSELECT,6719 15TH AVENUE N.W,,SEATTLE,WA,98117,,,,439199,"Office and Administrative Support Workers, All Other",CASHIER I,0,11.0,HR,11.0,HR
46,C-12272-59858,2012-10-05 13:48:27,2012-09-28 00:00:00,DENIED,H-2B,LA,2013-01-01 00:00:00,2013-10-31 00:00:00,MARUCCI BAT COMPANY,5818 MCCANN DRIVE,,BATON ROUGE,LA,70809,"JACKIE MITCHELL/FOREIGN LABOR SOLUTIONS, L.L.C.",BATON ROUGE,LA,519198,Helpers--Production Workers,LABORER,0,10.81,HR,10.81,HR
47,C-12265-59815,2012-10-05 13:59:16,2012-09-21 00:00:00,DENIED,H-2B,FL,2012-11-15 00:00:00,2013-06-30 00:00:00,"ARISTOCRAT CLEANING, LLC",5821 RIVERSIDE DR.,,CORAL SPRINGS,FL,33067,"MARGARET BLOT/ THE BLOT LAW FIRM, P.A.",BOYNTON BEACH,FL,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,0,11.0,HR,11.0,HR
48,C-12237-59665,2012-10-05 14:34:25,2012-08-24 00:00:00,DENIED,H-2B,CA,2012-08-10 00:00:00,2013-06-01 00:00:00,MEADOW GROVE FARM,1720 WEST RIVERSIDE DRIVE,,BURBANK,CA,91506,"VERONICA TREJO/HILL & PIIBE, IMMIGRATION ATTORNEYS",LOS ANGELES,CA,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,0,750.0,WK,750.0,WK
49,C-12276-59880,2012-10-05 14:42:42,2012-10-02 00:00:00,Certified,H-2B,AL,2012-11-15 00:00:00,2013-06-30 00:00:00,WATER FRONT FISH HOUSE INC.,P.O. BOX 417,,BAYOU LA BATRE,AL,36509,CONNIE L. CHAVEZ,BROWNSVILLE,TX,519198,Helpers--Production Workers,SHELLFISH SHUCKER,15,8.11,HR,8.11,HR
50,C-12236-59652,2012-10-05 17:27:39,2012-08-23 00:00:00,DENIED,H-2B,ME,2012-12-01 00:00:00,2013-09-01 00:00:00,ALTER AND SON GENERAL ENGINEERING,3763 CARSON ROAD,,CAMINO,CA,95709,NICOLE NEWTON/LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,173023,Electrical and Electronic Engineering Technicians,ELECTRICAL TECHNICIAN,0,24.57,HR,24.57,HR
51,C-12250-59737,2012-10-05 17:37:04,2012-09-06 00:00:00,DENIED,H-2B,TX,2012-11-05 00:00:00,2013-09-01 00:00:00,ALTER AND SON GENERAL ENGINEERING,3763 CARSON ROAD,,CAMINO,CA,95709,NICOLE NEWTON/ LABOR CONSLULTANTS INTERNATIONAL,COEUR D'ALENE,ID,499051,Electrical Power-Line Installers and Repairers,"LINE INSTALLER, STREET RAILWAY",0,22.41,HR,22.41,HR
52,C-12276-59876,2012-10-09 10:19:02,2012-10-02 00:00:00,Certified,H-2B,FL,2012-11-01 00:00:00,2013-08-30 00:00:00,LIPA MANAGEMENT COUSULTING INC. DBA LIPA MANAGEMEN,1500 REYNOLDS STREET,,KEY WEST,FL,33040,MICHELE MCCARTHY/HEM INTERNATIONAL SERVICES,JAMICA,NY,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,20,8.04,HR,8.04,HR
53,C-12254-59756,2012-10-09 12:16:24,2012-09-10 00:00:00,DENIED,H-2B,CO,2012-11-01 00:00:00,2013-04-30 00:00:00,GROUP 970 DBA BLUE MOOSE/VAIL CHOPHOUSE,P.O. BOX 5549,,AVON,CO,81620,AMY JILL NOVAK/NOVAK LAW OFFICE,VAIL,CO,352013,"Cooks, Private Household",COOK,0,11.74,HR,11.74,HR
54,C-12278-59888,2012-10-09 12:30:25,2012-10-04 00:00:00,Certified,H-2B,TX,2012-12-15 00:00:00,2013-09-15 00:00:00,"ZAVALA FORESTRY SERVICE, LLC",1301 FAIRHAVEN ST.,,LONGVIEW,TX,75605,STEPHEN WARD / LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,454011,Forest and Conservation Workers,TREE PLANTER,30,11.83,HR,11.83,HR
55,C-12278-59886,2012-10-09 12:58:26,2012-10-04 00:00:00,Certified,H-2B,ND,2012-10-15 00:00:00,2013-04-30 00:00:00,CENTER COAL,2350 35TH AVE SW,PO BOX 820,CENTER,ND,58530,LESLI DOWNS/SOUTHERN IMPACT,SAND SPRINGS,OK,533032,"Truck Drivers, Heavy and Tractor-Trailer","TRUCK DRIVER, HEAVY",6,15.13,HR,15.13,HR
56,C-12243-59696,2012-10-09 14:47:51,2012-08-30 00:00:00,Partial Certified,H-2B,PA,2012-09-01 00:00:00,2013-06-30 00:00:00,HYUNDAI ROTEM USA CORPORATION,2400 WECCACOE AVENUE,,PHILADELPHIA,PA,19148,MOON Y. AHN/LAW OFFICES OF MOON Y. AHN,LANSDALE,PA,493043,Rail Car Repairers,CAR REPAIRER,5,18.24,HR,18.24,HR
57,C-12249-59735,2012-10-09 15:02:53,2012-09-05 00:00:00,DENIED,H-2B,CA,2012-10-01 00:00:00,2013-07-31 00:00:00,THINKWELL GROUP INC,695 S. GLENWOOD PL,,BURBANK,CA,91506,JEANNIE JOUNG/LAW OFFICES OF JEANNIE JOUNG,LOS ANGELES,CA,271027,Set and Exhibit Designers,SET DESIGNER,0,24.1,HR,24.1,HR
58,C-12256-59770,2012-10-09 16:17:01,2012-09-12 00:00:00,DENIED,H-2B,TX,2012-11-05 00:00:00,2013-09-01 00:00:00,ALTER AND SON GENERAL ENGINEERING,3763 CARSON ROAD,,CAMINO,CA,95709,NICOLE NEWTON / LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,499052,Telecommunications Line Installers and Repairers,LINE INSTALLER REPAIRER,0,22.41,HR,22.41,HR
59,C-12278-59887,2012-10-10 10:32:40,2012-10-04 00:00:00,Certified,H-2B,AK,2013-01-10 00:00:00,2013-04-30 00:00:00,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,452041,"Graders and Sorters, Agricultural Products",FISH ROE TECHNICIAN,4,19.6,HR,19.6,HR
60,C-12278-59889,2012-10-10 10:38:19,2012-10-04 00:00:00,Certified,H-2B,AK,2013-01-10 00:00:00,2013-06-01 00:00:00,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD/ LAW OFFICES OF JACQUELINE A.,BAINBRIDGE ISLAND,WA,519032,"Cutting and Slicing Machine Setters, Operators, and Tenders",SLICING MACHINE OPERATOR,7,22.25,HR,22.25,HR
61,C-12261-59786,2012-10-10 10:52:18,2012-09-17 00:00:00,Certified,H-2B,FL,2012-11-20 00:00:00,2013-04-01 00:00:00,SOUTHEAST THOROUGHBRED RACING LLC,11 MANNING COVE RD.,,MALTA,NY,12020,"RON KATIRAEI, ESQ/LAW OFFICES OF RON KATIERAEI",NEW YORK,NY,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,26,9.5,HR,9.5,HR
62,C-12263-59803,2012-10-10 11:22:27,2012-09-19 00:00:00,Partial Certified,H-2B,GA,2012-11-01 00:00:00,2013-04-30 00:00:00,"GREEN MOUNTAIN FORESTRY, LLC",1087 BUCKNER ROAD,,RINGGOLD,GA,30735,STEPHEN WARD / LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,454011,Forest and Conservation Workers,TREE PLANTER,41,9.6,HR,9.6,HR
