,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
14,C-10347-52229,2010-12-16,2010-12-13,PARTIAL CERTIFIED,H-2B,MA,2011-03-15,2011-12-15,"ROGER B. STURGIS & ASSOCIATES, INC.","1455  CONCORD STREET, BUILDING #7",BUILDING 7,FRAMINGHAM,MA,1701,JANE NICHOLS BISHOP,WEST DENNIS,MA,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12.0,8,11.39,HR,11.39,HR
15,C-11228-55414,2011-08-19,2011-08-16,CERTIFIED,H-2B,MA,2011-07-31,2011-12-31,"THE GOUNDSKEEPER, INC",71 N. NICKERSON ROAD,,ASHLAND,MA,1721,STEVEN ALAN MCKAY,HUDSON,NY,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",6.0,6,,,,
16,C-11026-53652,2011-02-01,2011-01-26,CERTIFIED,H-2B,MA,2011-03-14,2011-11-14,"MASSACHUSETTS SOLAR, INC. DBA KADISON POOL PLASTER","1620 SUDBURY ROAD, SUITE 2",,CONCORD,MA,1742,KEMAL IAN BENOUIS,MANCHACA,TX,869.664-014,Construction Worker I,473012.0,Helpers--Carpenters,CONSTRUCTION WORKER I,20.0,20,,,,
17,C-11041-53963,2011-02-16,2011-02-10,PARTIAL CERTIFIED,H-2B,MA,2011-04-12,2011-10-24,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD.,201,WAYLAND,MA,1778,VERONICA T STRICKLAND/PRATICAL EMPLOYEE SOLUTIONS,DALLAS,TX,209.562-010,"Clerk, General",439061.0,"Office Clerks, General","CLERK, GENERAL",3.0,2,13.1,HR,13.1,HR
18,C-11041-53962,2011-02-16,2011-02-10,CERTIFIED,H-2B,MA,2011-04-01,2011-10-31,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD.,,WAYLAND,MA,1778,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",16.0,16,10.5,HR,10.5,HR
19,C-11041-53969,2011-03-04,2011-02-10,CERTIFIED,H-2B,MA,2011-04-12,2011-10-31,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD,201,WAYLAND,MA,1778,VERONICA T. STRICKLAND,DALLAS,TX,209.567-014,"Order Clerk, Food and Beverage",434151.0,Order Clerks,"ORDER CLERK, FOOD AND BEVERAGE",3.0,3,11.95,HR,11.95,HR
20,C-11028-53693,2011-02-17,2011-01-28,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"TRIAD ASSOCIATES, INC.",100 DOWNING AVE.,,HAVERHILL,MA,1830,GEORGE N LESTER,BOSTON,MA,853.663-010,Asphalt-Paving-Machine Operator,472071.0,"Paving, Surfacing, and Tamping Equipment Operators",ASPHALT PAVING MACHINE OPERATOR,39.0,39,16.0,HR,16.0,HR
21,C-11053-54141,2011-03-09,2011-02-22,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"TRIAD ASSOCIATES, INC.",100 DOWNING AVE.,,HAVERHILL,MA,1830,GEORGE N LESTER,BOSTON,MA,842.381-014,Stucco Mason,472161.0,Plasterers and Stucco Masons,STUCCO MASON,40.0,40,18.75,HR,18.75,HR
22,C-11010-53225,2011-01-13,2011-01-10,PARTIAL CERTIFIED,H-2B,MA,2011-04-01,2011-12-01,"ND LANDSCAPE, INC",2 MARTEL WAY,,GEORGETOWN,MA,1833,BRANDI COWAN,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10.0,6,10.63,HR,10.63,HR
23,C-10349-52287,2010-12-20,2010-12-15,CERTIFIED,H-2B,NH,2010-12-15,2011-04-25,"M.G.R. AMUSEMENTS, INC.",21 BAKER ROAD,,SALISBURY,MA,1952,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091.0,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,20.0,20,354.4,WK,354.4,WK
24,C-10350-52327,2011-01-04,2010-12-16,DENIED,H-2B,MA,2011-04-01,2011-11-30,BOSTON GOLF CLUB,19 OLD COUNTY ROAD,,HINGHAM,MA,2043,JOHN GISMONDI GISMONDI,WESTBURY,NY,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10.0,0,10.63,HR,10.63,HR
25,C-11005-53087,2011-01-11,2011-01-05,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,BOSTON GOLF CLUB,19 OLD COUNTY ROAD,,HINGHAM,MA,2043,JOHN GISMONDI,WESTBURY,NY,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10.0,10,10.63,HR,10.63,HR
26,C-11060-54285,2011-03-07,2011-03-01,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"MACAULEY BROS., INC.",84 PLEASANT STREET,"528 COLUMBIAN STREET, WEYMOUTH, MA 02190",NORWELL,MA,2061,MARK CARCHIDI,YARMOUTH PORT,MA,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10.0,10,10.63,HR,10.63,HR
27,C-10349-52282,2011-01-10,2010-12-15,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,SAFE MOVERS INC. DBA ISAAC'S MOVING AND STORAGE,181 CAMPANELLI PARKWAY,,STOUGHTON,MA,2072,CHARLES FRASER GOLDSMITH,BEVERLY,MA,680.686-018,"Machine Feeder, Raw Stock",537063.0,Machine Feeders and Offbearers,"MACHINE FEEDER, RAW STOCK",20.0,20,,,,
28,C-11018-53418,2011-01-24,2011-01-18,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,ROMEIRO'S LANDSCAPING INC,1790 WASHINGTON ST.,,STOUGHTON,MA,2072,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",7.0,7,11.39,HR,11.39,HR
29,C-10357-52701,2011-01-04,2010-12-23,DENIED,H-2B,MA,2011-03-01,2011-09-30,STAIRHOPPER MOVERS LLC,420 RUTHERFORD AVENUE,,CHARLESTOWN,MA,2129,FREDERIC C HITE/LAW OFFICES OF FREDERIC C. HITE,BOSTON,MA,929.687-030,Material Handler,537062.0,"Laborers and Freight, Stock, and Material Movers, Hand",MATERIAL HANDLER,10.0,0,11.0,HR,11.0,HR
30,C-11024-53564,2011-01-27,2011-01-24,CERTIFIED,H-2B,MA,2011-03-01,2011-09-30,STAIRHOPPER MOVERS LLC,420 RUTHERFORD AVENUE,,CHARLESTOWN,MA,2129,FREDERIC C HITE,BOSTON,MA,921.664-010,Line Mover,519198.0,Helpers--Production Workers,LINE MOVER,10.0,10,11.0,HR,11.0,HR
31,C-10316-51689,2010-11-17,2010-11-12,PARTIAL CERTIFIED,H-2B,MA,2011-02-21,2011-12-01,GENTLE GIANT MOVING CO INC,29 HARDING ST.,,SOMERVILLE,MA,2143,RITA  ROMERO,BAY CITY,TX,929.687-030,Material Handler,537062.0,"Laborers and Freight, Stock, and Material Movers, Hand",MATERIAL HANDLER,60.0,55,,,,
32,C-10356-52603,2010-12-28,2010-12-22,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,"GARRICK CONSTRUCTION, INC. DBA GARRICK-SANTO LANDS",144 EASTERN AVENUE,,MALDEN,MA,2148,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",20.0,20,10.63,HR,10.63,HR
33,C-11026-53656,2011-02-11,2011-01-26,CERTIFIED,H-2B,ME,2011-04-01,2011-12-31,RICHIES KING OF SLUSH,3 GARVEY STREET,,EVERETT,MA,2149,MARK D. CARCHIDI,YARMOUTH PORT,MA,195.367-022,Food-Management Aide,211093.0,Social and Human Service Assistants,FOOD MANAGEMENT AIDE,6.0,6,8.74,HR,8.74,HR
34,C-11053-54169,2011-03-30,2011-02-22,DENIED,H-2B,MA,,,MARK HAYWARD DBA M AND M LANDSCAPING,52 MAGOUN AVENUE,,MEDFORD,MA,2155,,,,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",3.0,0,8.0,HR,8.0,HR
35,C-10356-52580,2010-12-28,2010-12-22,CERTIFIED,H-2B,MA,2011-03-01,2011-11-01,"PAUL TURNER'S ULTIMATE SOCCER ACADEMY, INC.",62 MAIN STREET,,KINGSTON,MA,2364,"KENDRA S. KEMBEL, ESQ.",ENOLA,PA,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",6.0,6,12.35,HR,12.35,HR
36,C-11053-54157,2011-03-01,2011-02-22,CERTIFIED,H-2B,MA,2011-04-01,2011-12-01,"MASSACHUSETTS PREMIER SOCCER, LLC.",85 CENTRAL ST.,,WALTHAM,MA,2453,GREGORY J. VARTANIAN,BOSTON,MA,153.227-018,"Instructor, Sports",399031.0,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",90.0,90,16.6,HR,16.6,HR
37,C-11060-54281,2011-04-12,2011-03-01,DENIED,H-2B,MA,2011-05-15,2011-10-30,PENNSYLVANIA HOLDING CO. DBA INDIGO LOUNGE,728 NEWTON STREET,,CHESTNUT HILL,MA,2467,,,,185.167-046,"Manager, Retail Store",411011.0,First-Line Supervisors/Managers of Retail Sales Workers,"MANAGER, RETAIL STORE",1.0,0,15.0,HR,15.0,HR
38,C-11242-55495,2011-09-19,2011-08-30,CERTIFIED,H-2B,MA,2011-10-01,2012-03-31,THE COUNTRY CLUB,191 CLYDE STREET,,CHESTNUT HILL,MA,2467,BEATA IZABELA WEISS,BOSTON,MA,153.224-010,Athletic Trainer,299091.0,Athletic Trainers,ATHLETIC TRAINER,1.0,1,32.83,HR,32.83,HR
39,C-10330-52038,2010-12-01,2010-11-26,CERTIFIED,H-2B,MA,2011-03-01,2011-11-30,SPIKE INC DBA OLYMPIA MOVING & STORAGE,17 BRIDGE STREET,,WATERTOWN,MA,2472,BRANDI COWAN,BAY CITY,TX,910.583-010,"Laborer, Car Barn",534013.0,"Rail Yard Engineers, Dinkey Operators, and Hostlers","LABORER, CAR BARN",45.0,45,10.26,HR,10.26,HR
40,C-11003-52957,2011-01-20,2011-01-03,DENIED,H-2B,MA,2011-04-01,2011-11-30,VALLEYCREST LANDSCAPE MAINTENANCE DBA WAVERLY LAND,1010 PLEASANT STREET,,BELMONT,MA,2478,MARY ELLEN RYAN,BOSTON,MA,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",45.0,0,10.63,HR,10.63,HR
41,C-11089-54623,2011-04-11,2011-03-18,DENIED,H-2B,MA,2011-04-01,2011-11-30,VALLEYCREST LANDSCAPE MAINTENANCE DBA WAVERLY LAND,1010 PLEASANT STREET,,BELMONT,MA,2478,MARY ELLEN RYAN,BOSTON,MA,408.687-014,"Laborer, Landscape",373011.0,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10.0,0,11.67,HR,11.67,HR
42,C-10354-52502,2010-12-23,2010-12-20,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,COONAMESSETT FARM,277 HATCHVILLE RD.,,EAST FALMOUTH,MA,2536,AMY ELLEN FERREIRA/FERREIRA & VAZQUEZ,MASHPEE,MA,570.686-018,Preparation-Room Worker,537063.0,Machine Feeders and Offbearers,PREPARATION ROOM WORKER,5.0,5,9.17,HR,9.17,HR
43,C-10334-52077,2010-12-17,2010-11-30,DENIED,H-2B,MA,2010-10-01,2011-05-01,"HARBORSIDE TRIANGLE LIQUORS, LTD DBA YOUR MARKET",PO BOX 9000 PMB #225,,EDGARTOWN,MA,2539,BRIAN FIGEROUX/ FIGEROUX & ASSOCIATES,BROOKLYN,NY,249.367-058,Parts-Order-and-Stock Clerk,435081.0,Stock Clerks and Order Fillers,PARTS ORDER AND STOCK CLERK,1.0,0,13.0,HR,13.0,HR
44,C-10349-52265,2010-12-20,2010-12-15,CERTIFIED,H-2B,MA,2011-04-01,2011-11-15,PAUL J. PERTILE DBA M.V. TENNIS,49 BOLD MEADOW ROAD,,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,406.687-010,Landscape Specialist,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,2.0,2,,,,
45,C-10351-52416,2010-12-22,2010-12-17,CERTIFIED,H-2B,MA,2011-04-01,2011-11-20,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,3 SOUTH WATER STREET,PO BOX 67,EDGARTOWN,MA,2539,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",7.0,7,10.3,HR,10.3,HR
46,C-10348-52251,2010-12-28,2010-12-14,CERTIFIED,H-2B,MA,2011-04-01,2011-12-01,"MURDICKS FUDGE COMPANY OF MASS., INC.",21 N. WATER STREET,,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,311.477-014,"Counter Attendant, Lunchroom or Coffee Shop",353022.0,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","COUNTER ATTENDANT, LUNCHROOM OR COFFEE SHOP",12.0,12,,,,
47,C-10348-52259,2011-01-04,2010-12-14,CERTIFIED,H-2B,MA,2011-04-01,2011-10-15,EDGARTOWN COMMONS CONDOMINIUM TRUST,20 PEASE'S POINT WAY,PO BOX 1293,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",4.0,4,10.3,DAI,10.3,DAI
48,C-10354-52429,2011-01-05,2010-12-20,CERTIFIED,H-2B,MA,2011-04-01,2011-11-15,"BREWER TREE AND LAND COMPANY, INC.",CLEVELANDTOWN ROAD,P.O. BOX 2241,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,406.687-010,Landscape Specialist,373011.0,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,2.0,2,,,,
49,C-10357-52680,2011-01-11,2010-12-23,CERTIFIED,H-2B,MA,2011-04-01,2011-11-20,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,3 SOUTH WATER STREET PO BOX 67,,EDGARTOWN,MA,2539,JANE NICHOLS BISHOP,WEST DENNIS,MA,238.367-038,Hotel Clerk,434081.0,"Hotel, Motel, and Resort Desk Clerks",HOTEL CLERK,4.0,4,14.1,HR,14.1,HR
50,C-11028-53691,2011-02-15,2011-01-28,CERTIFIED,H-2B,MA,2011-04-15,2011-11-01,SOJO CORP DBA CHESCA'S,38 NORTH WATER STREET,,EDGARTOWN,MA,2539,MARILYN H VUKOTA,EDGARTOWN,MA,313.361-014,Cook,352014.0,"Cooks, Restaurant",COOK,3.0,3,,,,
51,C-11042-53988,2011-02-17,2011-02-11,CERTIFIED,H-2B,MA,2011-05-25,2011-10-15,HARBORSIDE INN CONDO TRUST DBA THE HARBORSIDE INN,PO BOX 67,3 SOUTH WATER STREET,EDGARTOWN,MA,2539,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",8.0,8,10.3,HR,10.3,HR
52,C-11110-54753,2011-04-25,2011-04-20,CERTIFIED,H-2B,MA,2011-05-15,2011-10-19,"TRANSIT CONNECTION, INC.",MVBP RR 1 BOX 3,,EDGARTOWN,MA,2539,JOHN MCNAMARA,AUSTIN,TX,913.463-010,Bus Driver,533022.0,"Bus Drivers, School",BUS DRIVER,6.0,6,15.0,HR,15.0,HR
53,C-10354-52500,2010-12-23,2010-12-20,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,"CAPE COD RESTAURANTS, INC DBA COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,2540,AMY ELLEN FERREIRA,MASHPEE,MA,350.677-030,Waiter/Waitress,353031.0,Waiters and Waitresses,WAITER/WAITRESS,25.0,25,11.08,HR,11.08,HR
54,C-10354-52489,2010-12-29,2010-12-20,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,"CAPE COD RESTAURANTS, INC DBA THE COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,2540,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"Food Assembler, Kitchen",352021.0,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",30.0,30,9.17,HR,9.17,HR
55,C-10363-52852,2011-01-05,2010-12-29,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"INN ON THE SQUARE, LLC DBA INN ON THE SQUARE",40 NORTH MAIN STREET,,FALMOUTH,MA,2540,,,,187.167-046,Executive Housekeeper,371011.0,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,EXECUTIVE HOUSEKEEPER,3.0,3,,,,
56,C-11006-53126,2011-01-12,2011-01-06,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"INN ON THE SQUARE, LLC",40 NORTH MAIN STREET,,FALMOUTH,MA,2540,,,,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",8.0,8,10.5,HR,10.5,HR
57,C-10364-52912,2011-01-06,2010-12-30,CERTIFIED,H-2B,MA,2011-04-15,2011-11-15,"WOODS HOLE MOTOR INN, INC. DBA SLEEPY HOLLOW MOTOR",527 WOODS HOLE ROAD,PO BOX 743,WOODS HOLE,MA,2543,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",4.0,4,9.85,HR,9.85,HR
58,C-11021-53509,2011-01-26,2011-01-21,CERTIFIED,H-2B,MA,2011-05-01,2011-10-01,"WOODS HOLE INN, LLC DBA QUICKS HOLES",28 WATER ST.,PO BOX 4,WOODS HOLE,MA,2543,AMY ELLEN FERREIRA,MASHPEE,MA,700.687-062,Preparer,519199.0,"Production Workers, All Other",PREPARER,6.0,6,9.17,HR,9.17,HR
59,C-11053-54172,2011-02-25,2011-02-22,CERTIFIED,H-2B,MA,2011-05-01,2011-10-30,SWORDFISH ENTERPRISES DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,2552,ANA COHEN COHEN,BETHESDA,MD,323.687-014,"Cleaner, Housekeeping",372012.0,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",12.0,12,11.83,HR,11.83,HR
60,C-11053-54170,2011-03-01,2011-02-22,CERTIFIED,H-2B,MA,2011-05-01,2011-10-30,SWORDFISH ENTERPRISES DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,2552,ANA COHEN COHEN,BETHESDA,MD,319.484-010,"Food Assembler, Kitchen",352021.0,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",6.0,6,11.81,HR,11.81,HR
61,C-11056-54222,2011-03-14,2011-02-25,PARTIAL CERTIFIED,H-2B,MA,2011-04-15,2011-10-15,NANTUCKET GOLF MANAGMENT DBA MIACOMET GOLF MANAGEM,12 WEST MIACOMET ROAD,,NANTUCKET,MA,2554,MICHAEL DAVID HEFNER / RESOURCE STAFFING INTERNATI,PITTSFIELD,VT,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12.0,11,13.4,HR,13.4,HR
62,C-11087-54583,2011-04-06,2011-03-28,PARTIAL CERTIFIED,H-2B,MA,2011-05-15,2011-10-31,"BOARDING HOUSE, INC. DBA THE BOARDING HOUSE & THE",12 FEDERAL STREET,P.O. BOX 898,NANTUCKET,MA,2554,MATTHEW LEE,BOSTON,MA,313.361-014,Cook,352014.0,"Cooks, Restaurant",COOK,6.0,6,11.43,HR,11.43,HR
