AGENT_ATTORNEY_ADDRESS1,AGENT_ATTORNEY_ADDRESS2,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_POSTAL_CODE,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,ALIEN_WORK_CITY,ALIEN_WORK_STATE,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NO,CASE_RECEIVED_DATE,CASE_STATUS,STATUS_STANDARDIZED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_REP_BY_AGENT,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQD_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NUM_MONTHS_TRAINING,ORGANIZATION_FLAG,OTHER_EDU,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PRIMARY/SUB,PRIMARY_CROP,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME,TRAINING_REQ,VISA_CLASS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_LOCATION_STATE
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,875,Month,H-300-15274-658797,10/4/15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,DETERMINATION ISSUED - CERTIFICATION EXPIRED,11/25/15,9/25/16,10/26/15,None,2496 Rio Blanco County Road 8,,Meeker,UNITED STATES OF AMERICA,"White River Ranch, LLC",970-878-4721,,81641,na,,CO,Y,6,Y,2016,12:00 AM,11:55 PM,4/25/16,CO6296767,9/24/15,Livestock Worker,HIGH COUNTRY AGRICULTURAL SERVICES,na,112111,,Seasonal,1,1,,Individual Employer,na,N,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,Meeker,,81641,CO
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,750,Month,H-300-15275-442109,10/4/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/1/15,11/30/16,10/23/15,None,PO Box 670,28982 CR 15,Windsor,UNITED STATES OF AMERICA,SOUTHERN CROSS RANCHES,970-567-9654,,80550,na,,CO,Y,3,Y,2016,12:00 AM,11:55 PM,5/31/16,CO6296768,9/28/15,Sheepherder,HIGH COUNTRY AGRICULTURAL SERVICES,na,1124,,Seasonal,2,2,,Individual Employer,na,N,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,McCoy,,80463,CO
,,Casper,SANDRA STUNTEBECK,,WY,,,,60,875,Month,H-300-15279-053868,10/6/15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,DETERMINATION ISSUED - CERTIFICATION EXPIRED,12/1/15,3/31/16,11/2/15,None,"351 School Street # 1, Craig CO 81625 (Physical Address)","351 School Street # 1, Craig CO 81625 (Mailing Address)",Craig,UNITED STATES OF AMERICA,Diamond Peak Cattle Company,970-824-5750,,81625,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,3/31/16,CO6303100,12/1/15,Open Range Winter Cattle Herder,Mountain Plains Ag Service,,112410,,Seasonal,6,6,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Craig,,81625,CO
,,Casper,LINDA REYNA,,WY,,,,60,750,Month,H-300-15279-297841,10/6/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/1/15,11/30/16,10/23/15,None,"5737 CR 321, Ignacio CO 81137 (Physical Address)","5737 CR 321, Ignacio CO 81137 (Mailing Address)",Ignacio,UNITED STATES OF AMERICA,Fox Fire Farms/Richard Parry,970-563-3186,,81137,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,5/31/16,CO6296906,9/28/15,Sheepherder,Mountain Plains Ag Service,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Ignacio,,81137,CO
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,35513 NORTH HIGHWAY 13,,CRAIG,UNITED STATES OF AMERICA,20 MILE SHEEP LLC,208-595-2226,104,81625,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,2,2,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,339 COUNTY ROAD 25,,MAYBELL,UNITED STATES OF AMERICA,CROSS MOUNTAIN RANCH CORPORATION,208-595-2226,104,81640,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,2,2,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/10/16,11/13/15,None,66418 HIGHWAY 6,,GLENWOOD SPRINGS,UNITED STATES OF AMERICA,JAMES CRAIG BAIR RANCH COMPANY,208-595-2226,104,81601,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,9,9,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,36597 HWY 40,,ELK SPRINGS,UNITED STATES OF AMERICA,TUTTLE LIVESTOCK COMPANY LLC,208-595-2226,104,81640,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,1,1,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,9230 RECTOR LEADER ROAD,,BYERS,UNITED STATES OF AMERICA,TOM THOMPSON,208-595-2226,104,80103,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,2,2,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,2967 E. LAKE CREEK ROAD,,EDWARDS,UNITED STATES OF AMERICA,CAMPBELL HANSMIRE SHEEP LLC,208-595-2226,104,81632,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,2,2,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,,,,,,,,40,750,Month,H-300-15281-724016,10/8/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/10/15,12/9/16,11/13/15,None,46009 COLORADO HWY 318,,MAYBELL,UNITED STATES OF AMERICA,TWO BAR SHEEP COMPANY,208-595-2226,104,81640,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,5,5,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,LOS BANOS,,93635,CA
,,Bald Knob,David Donaldson,,AR,,,,40,11.37,Hour,H-300-15283-294544,10/10/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/6/15,10/4/16,11/3/15,None,7513 High Mesa Road,,Olathe,UNITED STATES OF AMERICA,SUAREZ ORCHARD,970-323-5914,,81425,,,CO,Y,1,Y,2016,7:00 AM,3:00 PM,5/5/16,CO6307369,10/7/15,Farm Laborer,USAMEX Ltd Co. (Not a law firm),,111339,,Seasonal,8,8,,Individual Employer,,N,,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado DLE Workforce Development Programs FLC,,N,H-2A,Olathe,,81425,CO
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,1206.31,Month,H-300-15294-006029,10/27/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/20/15,12/19/16,11/25/15,None,2496 Rio Blanco County Road 8,na,Meeker,UNITED STATES OF AMERICA,"WHITE RIVER RANCH, LLC",970-878-4721,,81641,na,,CO,Y,3,Y,2016,12:00 AM,11:55 PM,6/19/16,CO6311520,10/12/15,Sheepherder,HIGH COUNTRY AGRICULTURAL SERVICES,na,1124,,Seasonal,1,1,,Individual Employer,na,N,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,Meeker,,81641,CO
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,1206.31,Month,H-300-15294-335582,10/24/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/15/15,12/14/16,11/17/15,None,PO Box 670,28982 CR 15,Windsor,UNITED STATES OF AMERICA,SOUTHERN CROSS RANCHES,970-567-9654,,80550,na,,CO,Y,3,Y,2016,12:00 AM,11:55 PM,6/14/16,CO6311521,10/12/15,Sheepherder,HIGH COUNTRY AGRICULTURAL SERVICES,na,1124,,Seasonal,4,4,,Individual Employer,na,N,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,Craig,,81625,CO
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,1206.31,Month,H-300-15294-572859,10/22/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,12/15/15,12/14/16,11/9/15,None,561 S Road,na,Mack,UNITED STATES OF AMERICA,"LAZY 3X SHEEP COMPANY, LLC.",970-858-3888,,81525,na,,CO,Y,3,Y,2016,12:00 AM,11:55 PM,6/14/16,CO6311629,10/12/15,sheepherder,HIGH COUNTRY AGRICULTURAL SERVICES,na,1124,,Seasonal,2,2,,Individual Employer,na,N,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,Mack,,81525,CO
,,BALD KNOB,DAVID DONALDSON,,AR,,,,40,11.37,Hour,H-300-15300-041937,10/27/15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,DETERMINATION ISSUED - CERTIFICATION EXPIRED,1/1/16,9/15/16,11/17/15,None,510 35 & 1/2 Road,,Palisade,UNITED STATES OF AMERICA,Mesa View Orchard Inc,970-261-1162,,81526,,,CO,Y,1,Y,2016,7:00 AM,3:00 PM,5/9/16,CO6319581,10/19/15,Farm Worker,USAMEX LTD CO,,111331,,Seasonal,10,10,,Individual Employer,,N,,,PRI,Peaches,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Colorado DLE Workforce Development Programs FLC,,N,H-2A,Palisade,,81526,CO
,,BAY CITY,RITA ROMERO,,TX,,,,40,11.37,Hour,H-300-15302-382812,11/12/15,DETERMINATION ISSUED - PARTIAL CERTIFICATION,Certified - Partial,1/15/16,10/31/16,1/6/16,None,7670 Alkire St,,Arvada,UNITED STATES OF AMERICA,Giambrocco Greenhouses Inc,303-419-1411,,80005,,,CO,N,,Y,2016,7:00 AM,3:30 PM,6/8/16,CO6336355,11/6/15,Nursery Worker,Federation of Employers & Workers of America,,111421,,Seasonal,9,10,,Individual Employer,,N,,,PRI,Nursery and Greenhouse Workers,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,Adams County Workforce Center,,N,H-2A,Arvada,,80005,CO
,,CASPER,RENEE BJORKLUND,,WY,,,,60,1206.31,Month,H-300-15306-616339,11/2/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,12/31/16,12/2/15,None,"1775 12 Road, Loma CO 81524 (Physical Address)","1775 12 Road, Loma CO 81524 (Mailing Address)",Loma,UNITED STATES OF AMERICA,"Chacon Sheep Company, LLC",970-462-6361,,81524,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,7/1/16,CO6325253,10/19/15,Sheepherder,Mountain Plains Ag Service,,112410,,Seasonal,7,7,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce,,N,H-2A,Loma,,81524,CO
,,Casper,SANDRA STUNTEBECK,,WY,,,,60,1206.31,Month,H-300-15307-271473,11/3/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,10/31/16,12/3/15,None,"3000 West County Road 70, Fort Collins CO 80524 (Physical Address)","3000 West County Road 70, Fort Collins CO 80524 (Mailing Address)",Fort Collins,UNITED STATES OF AMERICA,"Weaver Ranch, Inc",970-568-3898,,80524,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,5/31/16,CO6331494,10/23/15,Open Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,3,3,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Fort Collins,,80524,CO
,,Casper,SANDRA STUNTEBECK,,WY,,,,60,1206.31,Month,H-300-15307-417140,11/3/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,10/31/16,12/3/15,None,"1655 County Road 247, Newcastle CO 81647 (Physical Address)","1655 County Road 247, Newcastle CO 81647 (Mailing Address)",Newcastle,UNITED STATES OF AMERICA,Calvin Roberts Ranch,970-984-2466,,81647,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,6/1/16,CO6322163,10/23/15,Open Range Livestock Worker,Mountain Plains Ag Service,,112410,,Seasonal,3,3,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,New Castle,,81647,CO
,,Casper,SANDRA STUNTEBECK,,WY,,,,60,1206.31,Month,H-300-15307-895188,11/3/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,12/31/16,12/3/15,None,"7105 County Road 5, Rifle CO 81650 (Physical Address)","7105 County Road 5, Rifle CO 81650 (Mailing Address)",Rifle,UNITED STATES OF AMERICA,Larry H Robinson,970-878-4834,,81650,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,7/1/16,CO6322165,10/20/15,Sheepherder,Mountain Plains Ag Service,,112410,,Seasonal,1,1,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workfoce,,N,H-2A,Rifle,,81650,CO
,,CASPER,RENEE BJORKLUND,,WY,,,,60,1206.31,Month,H-300-15308-926834,11/4/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,10/31/16,12/7/15,None,"21729 State Hwy 285, La Jara CO 81140 (Physical Address)","21729 State Hwy 285, La Jara CO 81140 (Mailing Address)",La Jara,UNITED STATES OF AMERICA,Jude L Gallegos,719-580-9633,,81140,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,6/2/16,CO6319391,10/19/15,Open Range Livestock Worker,MOUNTAIN PLAINS AG SERVICE,,112410,,Seasonal,2,2,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Open Range Livestock,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce,,N,H-2A,LaJara,,81140,CO
,,CASPER,RENEE BJORKLUND,,WY,,,,60,1206.31,Month,H-300-15313-761433,11/9/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,1/1/16,12/31/16,11/19/15,None,"1280 Industrial Ave., Craig CO 81625 (Physical Address)","PO Box 897, Craig CO 81626 (Mailing Address)",Craig,UNITED STATES OF AMERICA,Cross Mountain Ranch,970-824-2803,,81625,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,7/1/16,CO6332078,10/29/15,Sheepherder,MOUNTAIN PLAINS AG SERVICE,,112410,,Seasonal,1,1,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce,,N,H-2A,Craig,,81625,CO
