AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,AGENT_POC_EMP_REP_BY_AGENT,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYEE_POSTAL_CODE,EMPLOYEE_WORKSITE_CITY,EMPLOYEE_WORKSITE_COUNTY,EMPLOYEE_WORK_STATE,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FEIN,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQUIRED_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,NUMBER_OF_HOURS,NUM_MONTHS_TRAINING,OTHER_EDUCATION,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,PREVAILING_WAGE,PW_UNIT_OF_PAY,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUBMITTED_DATE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME_DBA,TRAINING_REQUIRED,VISA_TYPE,WORKSITE_ADDRESS_1,WORKSITE_ADDRESS_2,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_STATE,
FRISCO,Veronica Birkenstock,TX,Y,,,$14.13 ,,H-400-17249-301201,Certification Expired,12/15/17,9/15/18,10/11/17,None,80477,Steamboat Springs,Routt,CO,22 Sylvan Way,"900 Pine Grove Circle,Steamboat Springs, CO 80477",Parsnippany,UNITED STATES OF AMERICA,Wyndham Vacation Ownership,973-753-6278,,7054,,NJ,Y,2,,Y,2018,8:00 AM,4:00 PM,,,,Housekeeper,PRACTICAL EMPLOYEE SOLUTIONS,,72111,,Peakload,10,10,,35,,,N,21.2,21.2,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/16/17,,N,,The Village at Steamboat Condominium Association Inc.,N,H-2B,,,,,,,
FRISCO,VERONICA BIRKENSTOCK,TX,Y,,,$14.25 ,,H-400-17258-142785,Certification Expired,12/3/17,8/1/18,10/11/17,None,80424,Breckenridge,Summit,CO,655 Columbine Road,PO Box 1937,Breckenridge,UNITED STATES OF AMERICA,Marriott Resorts Hospitality Corporation,970-453-8500,,80424,,CO,Y,3,,Y,2018,8:30 AM,5:00 PM,,,,Housekeeper,Practical Employee Solutions,,72111,,Peakload,6,6,,35,,,N,21.38,21.38,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/18/17,,N,,Marriott's Mountain Valley Lodge,N,H-2B,,,,,,,
AURORA,COURTNEY BUTLER,CO,Y,,,$14.13 ,,H-400-17221-335220,Certification Expired,11/23/17,3/31/18,10/12/17,High School/GED,80478,Tabernash,Grand,CO,3530 County Road 83,PO Box 750,Tabernash,UNITED STATES OF AMERICA,"Devil's Thumb Ranch Operating Company, Inc.",970-276-7007,,80478,,CO,Y,12,,Y,2018,8:30 AM,5:00 PM,,,,Housekeeper,"JOSEPH LAW FIRM, PC",High School Diploma or GED,721110,,Peakload,12,12,,40,,,N,21.2,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,8/31/17,,N,,Devil's Thumb Ranch Resort & Spa,N,H-2B,,,,,,,
COEUR D' ALENE,MONICA THODE,ID,Y,,,$13.58 ,,H-400-17255-820454,Certification Expired,12/12/17,3/12/18,10/13/17,None,81435,Telluride,San Miguel,CO,795 County Road 45X,,Norwood,UNITED STATES OF AMERICA,Telluride Gardens & Maintenance,970-728-5065,,81423,,CO,N,,,Y,2018,6:00 AM,4:00 PM,,,,Snow Shoveler,LABOR CONSULTANTS INTERNATIONAL,,561730,,Seasonal,25,25,,35,,,Y,20.37,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,9/13/17,,N,,Telluride Snow Removal,N,H-2B,,,,,,,
VAIL,AMY NOVAK,CO,Y,,,$11.34 ,,H-400-17174-782086,Certification Expired,11/30/17,9/7/18,10/18/17,High School/GED,81620,Avon,Eagle,CO,55 Village Road (Physical),"PO BOX 1111, Avon, CO 81620 (Mailing)",Avon,UNITED STATES OF AMERICA,"Daniel's Foods, Inc.",970-949-7728,,81620,,CO,Y,3,,Y,2018,2:00 PM,10:00 PM,,,,Host or Hostess,NOVAK LAW OFFICE,,722110,,Peakload,1,1,,35,,,N,17.01,17.01,Hour,,,N,,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and",9/5/17,,N,,Mirabelle at Beaver Creek,N,H-2B,,,,,,,
BOULDER,IGOR SERBININ,CO,Y,,,$19.13 ,,H-400-17255-682932,Certification Expired,11/26/17,4/15/18,10/23/17,Bachelor's,81645,MINTURN,EAGLE,CO,598 Vail Valley Drive,,VAIL,UNITED STATES OF AMERICA,SKI AND SNOWBOARD CLUB VAIL,970-476-5119,,81657,,CO,Y,29,,Y,2018,8:00 AM,8:00 PM,,,,Alpine Ski Coach,SERBININ LAW FIRM LLC,COMMUNITY DEVELOPMENT,711211,,Seasonal,1,1,,35,,,N,0,0,Hour,,,N,,27-2022,Coaches and Scouts,9/12/17,,N,,,N,H-2B,,,,,,,
,,,N,,,$14.13 ,,H-400-17251-270697,Certification Expired,12/1/17,4/16/18,10/24/17,None,81620,Avon,Eagle,CO,15 Highlands Lane,PO Box 9690,Avon,UNITED STATES OF AMERICA,East West Resorts,970-790-2007,,81620,,CO,N,,,Y,2018,8:00 AM,5:00 PM,11/15/17,7112700,9/7/17,Housekeeper,,,531110,,Peakload,103,103,,35,,,Y,21.2,30,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/8/17,,N,"Edwards Workforce Center, CO 81632",,N,H-2B,,,,,,,
,,,N,,,$14.13 ,,H-400-17249-656774,Partial Certification Expired,11/20/17,4/15/18,10/26/17,None,80487,Steamboat Springs,Routt,CO,2150 RESORT DRIVE,SUITE 100,STEAMBOAT SPRINGS,UNITED STATES OF AMERICA,"RESORT GROUP,  LLC",970-875-2854,,80487,,CO,N,,,Y,2018,8:00 AM,5:00 PM,,,,HOUSEKEEPER,,,53131,,Peakload,84,85,,36,,,Y,,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/7/17,,N,,"MOUNTAIN RESORTS, PIONEER RIDGE & SIMPLY STEAMBOAT",N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$22.01 ,,H-400-17179-322218,Certification Expired,11/20/17,4/15/18,10/27/17,High School/GED,81657,Vail,Eagle,CO,595 East Vail Valley Drive (physical),"PO Box 6206, Vail, CO 81658 (mailing)",Vail,UNITED STATES OF AMERICA,Manor Vail Spa LLC,970-376-6220,,81657,,CO,Y,6,,Y,2018,9:00 AM,7:00 PM,,,,Massage Therapist,Novak Law Office,,713940,8 months massage training and 3 months training in sports injury massage and hydrotherapy.,Peakload,3,3,,35,8,,N,33.02,33.02,Hour,,,N,,31-9011,Massage Therapists,8/24/17,,N,,,Y,H-2B,,,,,,,
DENVER,Ceridwen Koski,CO,Y,,,$16.00 ,,H-400-17206-180431,Certification Expired,11/29/17,4/18/18,11/14/17,None,81611,Aspen,Pitkin County,CO,117 Aspen Business Center,P.O. Box 1248,Aspen,UNITED STATES OF AMERICA,Aspen Skiing Company,877-682-7736,,81611,,CO,Y,3,,Y,2018,8:00 AM,4:30 PM,,,,Housekeeper/Room Attendants,OGLETREE DEAKINS,,713920,,Peakload,15,15,,35,,,N,24,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/15/17,,N,,,N,H-2B,,,,,,,
DENVER,Ceridwen Koski,CO,Y,,,$14.97 ,,H-400-17259-598976,Certification Expired,12/5/17,4/16/18,11/14/17,None,81620,Avon,Eagle,CO,71 South Wacker Drive,,Chicago,UNITED STATES OF AMERICA,Hyatt Corporation,312-780-5590,,60606,,IL,N,,,Y,2018,4:00 AM,12:30 PM,,,,Food & Beverage Houseperson,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.",,72111,,Peakload,20,20,,35,,,N,22.46,,Hour,,,N,,37-2011,"Janitors and Cleaners, Except Maids and",9/21/17,,N,,Park Hyatt Beaver Creek,N,H-2B,,,,,,,
VAIL,AMY NOVAK,CO,Y,,,$14.13 ,,H-400-17285-359856,Certification Expired,12/26/17,4/20/18,11/17/17,None,81657,Vail,Eagle,CO,1300 Westhaven Drive,,Vail,UNITED STATES OF AMERICA,Vail Partners,970-476-7111,,81657,,CO,N,,,Y,2018,9:00 AM,5:00 PM,,,,Housekeepers,NOVAK LAW OFFICE,,531110,,Peakload,17,17,,35,,,N,21.2,21.2,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,10/12/17,,N,,Hotel Talisa,N,H-2B,,,,,,,
DENVER,Ceridwen Koski,CO,Y,,,$14.13 ,,H-400-17259-849940,Certification Expired,12/5/17,4/16/18,11/20/17,None,81620,Avon,Eagle,CO,71 South Wacker Drive,,Chicago,UNITED STATES OF AMERICA,Hyatt Corporation,312-780-5590,,60606,,IL,N,,,Y,2018,8:00 AM,4:30 PM,,,,Housekeeping Attendant/Room Attendant,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.",,72111,,Peakload,40,40,,35,,,N,21.2,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/21/17,,N,,Park Hyatt Beaver Creek,N,H-2B,,,,,,,
WINDSOR,BRADLEY AHL,CO,Y,,,$18.24 ,,H-400-17285-784687,Certification Expired,1/8/18,9/27/18,11/21/17,None,80011,Aurora,Arapahoe,CO,1018 RACINE ST.,,AURORA,UNITED STATES OF AMERICA,LINO'S TILE COMPANY,720-301-7385,,80011,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,"Helpers--Brickmasons, Blockmasons, Stonemasons and","LABOR SOLUTIONS, INC.",,238340,,Seasonal,20,20,,35,,,Y,27.36,33,Hour,,,N,,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",10/20/17,,N,,,N,H-2B,,,,,,,
,,,N,,,$23.40 ,,H-400-17264-415973,Partial Certification Expired,12/15/17,4/8/18,11/22/17,None,81435,Telluride,San Miguel,CO,565 MOUNTAIN VILLAGE BLVD.,,TELLURIDE,UNITED STATES OF AMERICA,"TSG SKI AND GOLF, LLC",970-728-7501,,81435,,CO,N,,,Y,2018,9:00 AM,4:00 PM,,,,"Ski Instructor, Level III Certified",,,61162,,Seasonal,7,8,,35,,,Y,,,Hour,,,N,,25-3021,Self-Enrichment Education Teachers,9/21/17,,N,,TELLURIDE SKI AND GOLF,N,H-2B,,,,,,,
,,,N,,,$13.00 ,,H-400-17241-181319,Denied,11/15/17,9/10/18,11/30/17,None,81632,Edwards,Eagle,CO,34295 HWY 6,P.O. BOX 366,EDWARDS,UNITED STATES OF AMERICA,BUXMAN ENTERPRISES LTD,970-926-1113,,81632,,CO,N,,,Y,2018,4:00 AM,10:00 PM,,,,Deli Bakery Clerk,,,4451,"cooking, baking, general food preparation and merchandising.",Peakload,,3,,40,1,,N,19.5,22.5,Hour,,,N,,35-2021,Food Preparation Workers,8/29/17,,N,,THE VILLAGE MARKET,Y,H-2B,,,,,,,
AVON,CHRISTOPHER POOLEY,CO,Y,,,$11.54 ,,H-400-17265-564271,Denied,12/6/17,5/30/18,12/4/17,None,81224,Crested Butte,Gunnison,CO,"177 7th St, Unit 8",,Crested Butte,UNITED STATES OF AMERICA,Roxxys Clean LLC,970-209-1014,,81224,,CO,N,,,Y,2018,7:30 AM,4:30 PM,,,,Housekeeping,"LAW OFFICE OF CHRIS POOLEY, ESQ.",,721110,,Peakload,,4,,35,,,Y,17.31,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/22/17,,N,,Roxxys Clean,N,H-2B,,,,,,,
Cherry Hill,MICHELE CONTRERAS,NJ,Y,,,$15.45 ,,H-400-17307-896062,Certification,2/1/18,12/1/18,12/8/17,None,80403,Arvada,Jefferson,CO,15044 W. 63rd Ave.,,Arvada,UNITED STATES OF AMERICA,"Rocky Mountain Hardscapes, LLP",303-477-9277,,80403,,CO,N,,,Y,2018,7:00 AM,4:00 PM,,,,Landscape Laborers,"LAW OFFICE OF MICHELE CONTRERAS, LLC",,561730,,Peakload,15,15,,40,,,Y,23.18,0,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,11/3/17,,N,,,N,H-2B,,,,,,,
HARLINGEN,JAMES JUDKINS,TX,Y,,,$361.20 ,,H-400-17320-063077,Certification,2/15/18,11/15/18,12/15/17,None,80106,Elbert,Elbert,CO,13002 CO RD. 102,"[MAIL:PO BOX 1000, ELBERT, CO 80106]",ELBERT,UNITED STATES OF AMERICA,"RING & RING, INC.",281-460-4127,,80106-0000,,CO,N,,,Y,2018,1:00 PM,10:00 PM,,,,Amusement and Recreation Attendants,"JKJ WORKFORCE AGENCY, INC",,711190,,Seasonal,60,60,,40,,,Y,,,Week,,,N,,39-3091,Amusement and Recreation Attendants,11/17/17,,N,,WRIGHT'S AMUSEMENTS COMPANY,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$16.08 ,,H-400-17289-441123,Certification,2/15/18,11/15/18,12/19/17,None,81505,Grand Junction,Mesa,CO,570 S. Commercial Dr.,,Grand Junction,UNITED STATES OF AMERICA,"Liqui Green, Inc.",970-256-1928,,81505,,CO,Y,1,,Y,2018,8:00 AM,5:00 PM,,,,Laborer,"THE KERSHAW LAW FIRM, PC",,561730,,Peakload,15,15,,40,,,Y,24.12,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,11/17/17,,N,,,N,H-2B,,,,,,,
ATASCADERO,KAREN SCHINDLER,CA,Y,,,$10.74 ,,H-400-17297-542924,Denied,1/15/18,10/15/18,12/19/17,None,80204,DENVER,DENVER,CO,"DENVER PLACE 999, 18TH STREET","FLOOR 30, OFFICE 3040",DENVER,UNITED STATES OF AMERICA,"HOSPITALITY MGMT SOLUTIONS, LLC",801-702-8990,,80202,,CO,N,,,Y,2018,8:30 AM,4:30 PM,,,,Housekeepers,AZTEC FOREIGN LABOR,,56172,,Peakload,,80,,40,,,Y,,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,10/25/17,,N,,DBA CLEANWEL,N,H-2B,,,,,,,
COEUR D'ALENE,AMBER HELLER,ID,Y,,,$14.51 ,,H-400-17321-322541,Certification,2/15/18,12/15/18,12/19/17,None,80112,Englewood,Arapahoe,CO,5 North Payne Street,,Elmsford,UNITED STATES OF AMERICA,"Tanto Irrigation, LLC",914-347-5151,,10523,,NY,N,,,Y,2018,7:00 AM,5:30 PM,,,,Groundskeeper: Irrigation Worker,LABOR CONSULTANTS INTERNATIONAL,,221310,,Peakload,20,20,,40,,,Y,21.77,27.75,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,11/17/17,,N,,,N,H-2B,,,,,,,
BAY CITY,ROBIN SVEC,TX,Y,,,$14.51 ,,H-400-17219-336692,Certification,2/20/18,11/1/18,12/21/17,None,80109,Castle Rock,Douglas,CO,3128 Industrial Way,,Castle Rock,UNITED STATES OF AMERICA,Colorado Property Care,303-814-6070,,80109,,CO,N,,,Y,2018,6:30 AM,3:30 PM,,,,Landscape Maintenance Laborer,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,,561730,,Peakload,25,25,,40,,,Y,21.77,27.75,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,11/22/17,,N,,,N,H-2B,,,,,,,
KINGSTON,SHEILA GRAY,OK,Y,,,$12.69 ,,H-400-17311-663669,Denied,2/11/18,11/11/18,12/25/17,None,80023,Broomfield,Broomfield,CO,2755 S. Raritan Street,,Englewood,UNITED STATES OF AMERICA,"Park Range Construction, Inc.",303-781-8936,,80110,,CO,N,,,Y,2018,7:00 AM,3:30 PM,,,,"Helper, Production Worker","LABOR, MADE EASY",,324121,,Peakload,,10,,40,,,N,19.04,19.04,Hour,,,N,,51-9198,Helpers--Production Workers,11/13/17,,N,,,N,H-2B,,,,,,,
GLEN ALLEN,FERNANDO SAENZ,VA,Y,,,$14.51 ,,H-400-17263-124976,Withdrawn,2/1/18,11/30/18,12/28/17,None,80231,DENVER,DENVER,CO,8585 EAST WARREN AVENUE,,DENVER,UNITED STATES OF AMERICA,SavATree,914-864-3145,10045,80231,,CO,Y,3,,Y,2018,6:45 AM,3:15 PM,,,,Landscape Laborer,WORKFORCE ADVANTAGE,,561730,,Peakload,,60,,35,,,Y,21.77,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,11/3/17,,N,,,N,H-2B,,,,,,,
CENTENNIAL,DANIEL KOWALSKI,CO,Y,,,$14.51 ,,H-400-17269-327433,Withdrawn,4/1/18,10/31/18,1/1/18,None,80017,Aurora,Arapahoe,CO,1250 S. Chambers Rd,,Aurora,UNITED STATES OF AMERICA,JBK Landscape LLC,303-751-0192,,80017,,CO,N,,,Y,2018,8:00 AM,4:30 PM,,,,Landscape Laborers,Ware Immigration,,561730,,Peakload,,60,,35,,,Y,21.77,27,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,1/1/18,,N,,,N,H-2B,,,,,,,
