AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,ALIEN_WORK_STATE,APPLICATION_TYPE,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,DOT_NAME,DOT_OCCUPATIONAL_CODE,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_NAME,EMPLOYER_POSTAL_CODE,EMPLOYER_STATE,FY,JOB_TITLE,LAWFIRM_NAME,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,PREVAILING_WAGE,PW_UNIT_OF_PAY,RECENT_DECISION_DATE,SOC_CODE,SOC_NAME,VISA_CLASS
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,TX,CO,,10.47,HR,C-08248-39504,CERTIFIED,12/1/08,2/28/09,10/6/08,,,2790 S. LINCOLN AVE.,,LOVELAND,"BELMIRE SPRINKLER & LANDSCAPE, INC.",80537,CO,2009,SNOW SHOVELER,,20,,9/4/08,10.47,HR,,,,
LABOR CONSULTANTS INTERNATIONAL,POST FALLS,GLENDA CABRERA,ID,CO,,10.25,HR,C-08253-39537,CERTIFIED,11/1/08,4/15/09,10/1/08,,,795 CTY RD 45X,,NORWOOD,TELLURIDE GARDENS & MAINTENANCE DBA TELLURIDE SNOW,81423,CO,2009,SNOW SHOVELER,,40,,9/8/08,10.25,HR,,,,
555 17TH STREET,DENVER,HOLLAND & HART,CO,CO,,13,HR,C-08253-39544,CERTIFIED,11/1/08,4/30/09,10/9/08,,,"100 ELBERT LANE, PO BOX 5009",,SNOWMASS VILLAGE,SILVERTREE HOTEL OF SNOWAMSS LP,81615,CO,2009,HOTEL CLERK,,25,,9/8/08,9.56,HR,,,,
555 17TH STREET,DENVER,HOLLAND & HART,CO,CO,,13,HR,C-08253-39548,CERTIFIED,11/1/08,4/30/09,10/9/08,,,"100 ELBERT LANE, PO BOX 5009",,SNOWMASS VILLAGE,SILVERTREE HOTEL OF SNOWMASS LP,81615,CO,2009,"WAITER/WAITRESS, INFORMAL",,25,,9/8/08,7.13,HR,,,,
"THE MCNAMARA FIRM, L.P.",AUSTIN,JOHN MCNAMARA,TX,CO,,10,HR,C-08259-39651,CERTIFIED,11/15/08,4/5/09,10/2/08,,,TOP OF THE ALPINE SPRINGS CHAIRLIFT,P.O. BOX 6400 SNOW MASS SKI AREA,SNOWMASS VILLAGE,A.H.C.S. INC. DBA GWYN'S HIGH ALPINE RESTAURANT,81615,CO,2009,DINING ROOM ATTENDANT,,20,,9/15/08,7.14,HR,,,,
,,,,CO,,11,HR,C-08263-39700,PARTIAL CERTIFIED,11/17/08,4/13/09,10/21/08,,,"2150 RESORT DRIVE, STE 100",,STEAMBOAT SPRINGS,"MOUNTAIN RESORTS, LLC",80487,CO,2009,"CLEANER, HOUSEKEEPING",,30,,9/19/08,9.25,HR,,,,
7802 KINGSPOINTE PKWY SUITE 207 A,ORLANDO,"DIANE HOLLOWAY, DHI LLC",FL,CO,,10,HR,C-08263-39701,CERTIFIED,12/1/08,4/15/09,10/22/08,,,26 AVONDALE LANE,,AVON,ENTERPRISE HOTELS OF COLORADO DBA BEAVER CREEK LOD,81620,CO,2009,"CLEANER, HOUSEKEEPING",,4,,9/19/08,9.25,HR,,,,
7802 KINGSPOINTE PKWY,ORLANDO,DIANE HOLLOWAY,FL,CO,,7.13,HR,C-08263-39702,CERTIFIED,12/1/08,4/15/09,10/22/08,,,26 AVONDALE LANE,,AVON,ENTERPRISE HOTELS OF COLORADO DBA BEAVER CREEK LOD,81620,CO,2009,"WAITER/WAITRESS, INFORMAL",,10,,9/19/08,7.13,HR,,,,
,,,,CO,,11,HR,C-08263-39704,CERTIFIED,11/17/08,4/13/09,10/21/08,,,"2150 RESORT DRIVE, SUITE 100",,STEABOAT SPRINGS,"MOUNTAIN RESORTS, LLC",80487,CO,2009,JANITOR,,20,,9/19/08,9.26,HR,,,,
"227 W. MONROE ST., SUITE 2000",CHICAGO,JULIE M. APONTE,IL,CO,,9.5,HR,C-08268-39773,CERTIFIED,11/24/08,4/30/09,10/9/08,,,#1 SKIER PLACE,(LA PLATA COUNTY,DURANGO,"DSC/PURGATORY, LLC, DBA DURANGO MOUNTAIN RESORT",81301,CO,2009,"CLEANER, HOUSEKEEPING",,25,,9/24/08,7.86,HR,,,,
,,,,CO,,10,HR,C-08270-39806,PARTIAL CERTIFIED,10/15/08,4/1/09,10/9/08,,,701 GOTHIC  ROAD,P.O. BOX 5013,MT. CRESTED  BUTTE,CRESTED BUTTE LODGING & PROPERTY MANAGEMENT,81225,CO,2009,"CLEANER, HOUSEKEEPING",,6,,9/25/08,7.86,HR,,,,
,,,,CO,,11,HR,C-08270-39807,CERTIFIED,11/17/08,4/13/09,10/21/08,,,1355 S. LINCOLN AVE,,STEAMBOAT SPRINGS,"PIONEER  RIDGE MANAGEMENT , LLC",80487,CO,2009,"CLEANER, HOUSEKEEPING",,15,,8/25/08,9.25,HR,,,,
"LAW OFFICE OF CHRIS POOLEY, ESQ PO BOX 5130",AVON,"CHRIS POOLEY, ESQ.",CO,CO,,12,HR,C-08274-39877,CERTIFIED,12/1/08,4/30/09,10/9/08,,,PO BOX 3380,,TELLURIDE,"RUSTICO RISTORANTE (TRANOI, LLC)",81435,CO,2009,"WAITER/WAITRESS, FORMAL",,5,,9/30/08,7.1,HR,,,,
,,,,CO,,22,HR,C-08275-39882,CERTIFIED,12/1/08,4/30/09,10/10/08,,,414 E. COOPER AVE.,,ASPEN,A&S SPORTS DBA DURRANCE SPORTS,81611,CO,2009,SKI BINDING FITTER AND REPAIRER,,1,,10/1/08,21.88,HR,,,,
WORKERS  OF AMERICA,BAY CITY,FEDERATION OF EMPLOYERS ANDWORKERS OF AMERICA,TX,CO,,8.12,HR,C-08275-39883,DENIED,11/1/08,2/28/09,11/14/08,,,2240 S. KALAMATH ST.,,DENVER,"CTM, INC.",80223,CO,2009,SNOW SHOVELER,,0,,10/1/08,8.12,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,TX,CO,,10.23,HR,C-08277-39920,CERTIFIED,11/3/08,4/1/09,10/31/08,,,PO BOX 665,,TELLURIDE,APLIN MASONRY WINTER SERVICES INC,81435,CO,2009,SNOW SHOVELER,,30,,10/3/08,10.23,HR,,,,
P.O. BOX 644,KILLINGTON,MATHEW HEFNER,VT,CO,,9.25,HR,C-08281-39958,CERTIFIED,11/15/08,4/15/09,10/24/08,,,P.O. BOX  B2 CARRIAGE WAY,,SNOWMASS VILLAGE,DESTINATION RESORT SNOWMASS,81615,CO,2009,HOUSEKEEPER,,15,,10/7/08,9.25,HR,,,,
P.O. BOX 644,KILLINGTON,MATHEW HEFNER,VT,CO,,7.14,HR,C-08281-39963,CERTIFIED,11/15/08,4/15/09,10/24/08,,,P.O.BOX B2,300 CARRIAGE WAY,SNOWMASS VILLAGE,DESTINATION RESORT SNOWMASS,81615,CO,2009,DINING ROOM ATTENDANT,,6,,10/7/08,7.14,HR,,,,
"ALCALA LAW FIRM, PC",SALT LAKE CITY,JAMES ALCALA,UT,CO,,10.24,HR,C-08283-39983,DENIED,1/2/09,10/31/09,11/24/08,,,37801 US HIGHWAY 160,,BAYFIELD,STROHECKER ASPHALT & PAVING INC.,81122,CO,2009,CONSTRUCTION WORKER I,,0,,10/9/08,10.24,HR,,,,
"ALCALA LAW FIRM, PC",SALT LAKE CITY,JAMES ALCALA,UT,CO,,10.24,HR,C-08283-39984,CERTIFIED,1/2/09,10/31/09,10/28/08,,,595 CLOMAN BLVD.,,PAGOSA SPRINGS,"MASTERCRAFT CONCRETE CONTRACTING, LLC",81147,CO,2009,CONSTRUCTION WORKER I,,15,,10/9/08,10.24,HR,,,,
"ALCALA LAW FIRM, PC",SALT LAKE CITY,JAMES ALCALA,UT,CO,,10.3,HR,C-08283-39987,CERTIFIED,1/2/09,10/31/09,10/28/08,,,350 RIVER RD.,,STEAMBOAT SPRINGS,"G.L. COOK CONCRETE, INC.",80487,CO,2009,CONSTRUCTION WORKER I,,8,,10/9/08,10.3,HR,,,,
"1010 SECOND AVE, SUITE 1820",SAN DIEGO,"SHAWN FRIESTAD, ESQ",CA,CA,,8.24,HR,C-08288-40026,CERTIFIED,1/2/09,10/31/09,11/5/08,,,3030 WALNUT STREET,,DENVER,SPRUNG CONSTRUCTION,80205,CO,2009,STABLE ATTENDANT,,2,,10/14/08,8.24,HR,,,,
"LAW OFFICE OF CHRIS POOLEY, ESQ.",AVON,"CHRIS POOLEY, ESQ",CO,CO,,10.72,HR,C-08288-40032,CERTIFIED,11/15/08,4/30/09,11/24/08,,,140 G. H. DANIELS BOULEVARD,,GYPSUM,HANDY ANDY SNOW REMOVAL,81637,CO,2009,SNOW SHOVELER,,25,,10/14/08,9.58,HR,,,,
210 E. MAIN STREET SUITE 222,NORMAN,"WILLIAM VELIE, ATTORNEY",OK,CO,,8.91,HR,C-08288-40038,CERTIFIED,11/10/08,6/1/09,11/5/08,,,675 W. LIONSHEAD CIRCLE,,VAIL,CATSKILL PLACE RESTAURANT CO.,81657,CO,2009,"COOK, SHORT ORDER 1",,10,,10/14/08,8.91,HR,,,,
40-12 31ST AVENUE,ASTORIA,"LOMA USA, INC./MICHAEL X. HARTOFELIS",NY,CO,,9.25,HR,C-08291-40071,CERTIFIED,11/1/08,5/1/09,11/19/08,,,1001 CRAIG ROAD SUITE 260,,ST. LOUIS,"HOTEL & RESORT SERVICES, INC.",63146,MO,2009,HOUSEKEEPER,,60,,10/17/08,9.25,HR,,,,
40-12 31ST AVENUE,ASTORIA,"MICHAEL X.HARTOLFELIS, ESQ. LOMA USA, INC.",NY,CO,,9.25,HR,C-08291-40073,CERTIFIED,11/1/08,5/1/09,11/6/08,,,"1001 CRAIG ROAD, SUITE 260",,ST. LOUIS,"HOTEL & RESORT SERVICES, INC.",63146,MO,2009,"CLEANER, HOUSEKEEPING",,48,,10/17/08,9.25,HR,,,,
"40-12 31ST AVE, SUITE1",ASTORIA,"MICHAEL X. HARTOLFELIS, ESQ. LOMA USA, INC",NY,CO,,9.25,HR,C-08291-40077,CERTIFIED,11/15/08,5/1/09,11/6/08,,,2420 SKI TRAIL LANE,,STEAMBOAT SPRINGS,"HOTEL & RESORT SERVICES, INC.",80487,CO,2009,"CLEANER, HOUSEKEEPING",,10,,10/17/08,9.25,HR,,,,
3325 WILSHIRE BLVD.,LOS ANGELES,SONIA QUIGLEY AT INTERNATIONAL TRAINEE NETWORK,CA,CO,,10.27,HR,C-08295-40190,CERTIFIED,11/15/08,4/15/09,11/12/08,,,2200 VILLAGE INN COURT,,STEAMBOAT SPRINGS,"STARWOOD STEAMBOAT, LLC, DBA SHERATON STEAMBOAT RE",80477,CO,2009,COOK,,15,,10/21/08,10.27,HR,,,,
3325 WILSHIRE BLVD.,LOS ANGELES,SONIA QUIGLEY AT INTERNATIONAL TRAINEE NETWORK,CA,CO,,8.26,HR,C-08295-40192,CERTIFIED,11/15/08,4/15/09,11/12/08,,,2200 VILLAGE INN COURT,,STEAMBOAT SPRINGS,"STARWOOD STEAMBOAT, LLC, DBA SHERATON STEAMBOAT RE",80477,CO,2009,"WAITER/WAITRESS, INFORMAL",,25,,10/21/08,7.13,HR,,,,
ELIZABETH  WHITLEY,LOVINGSTON,"MAS LABOR H2B , LLC",VA,CO,,11.43,HR,C-08304-40555,CERTIFIED,12/1/08,4/15/09,12/2/08,,,1097 SPRING CREEK ROAD,,GYPSUM,"COTTONWOOD, LLC",81637,CO,2009,"LABORER, LANDSCAPE",,25,,10/30/08,11.43,HR,,,,
,AURORA,TODD IRWIN,CO,CO,,8.96,HR,C-08305-40564,CERTIFIED,11/15/08,4/15/09,11/20/08,,,8776 N. 107TH ST.,,LONGMONT,"GREEN SPOT, INC.",80504,CO,2009,SNOW SHOVELER,,85,,10/31/08,8.96,HR,,,,
SILK & CO.,CLEVELAND,NANCY SCARCELLA,OH,CO,,2833,HR,C-08305-40567,CERTIFIED,1/1/09,11/1/09,11/18/08,,,47 WATER STREET,,MYSTIC,"NASC, INC.",6355,CT,2009,"INSTRUCTOR, SPORTS",,40,,10/31/08,16.67,HR,,,,
"2305 E. ARAPAHOE RD., #100",CENTENNIAL,"ANN ALLOTT, COLO. ATTY#3326-ALLOTT IMMIGRATION LAW",CO,CO,,9.94,HR,C-08310-40902,PARTIAL CERTIFIED,2/2/09,11/30/09,12/30/08,,,14700 EAST 39TH AVENUE,,AURORA,SUPERIOR ROOFING INCORPORATED,80011,CO,2009,CONSTRUCTION WORKER I,,40,,11/5/08,9.94,HR,,,,
ALLOTT IMMIGRATION LAW FIRM,CENTENNIAL,"ANN ALLOTT, COLO. ATTY #3326",CO,CO,,8.92,HR,C-08310-40903,PARTIAL CERTIFIED,2/2/09,9/30/09,12/17/08,,,1601 WEST BELLEVIEW,,LITTLETON,AMERICAN CIVIL CONSTRUCTORS,80120,CO,2009,"LABORER, LANDSCAPE",,100,,11/5/08,8.92,HR,,,,
ALLOTT IMMIGRATION LAW FIRM,CENTENNIAL,"ANN ALLOTT, COLO. ATTY REG. NO. 3326",CO,CO,,8.92,HR,C-08310-40905,PARTIAL CERTIFIED,2/2/09,10/31/09,1/23/09,,,1250 S. CHAMBERS ROAD,,AURORA,"JBK LANDSCAPE, INC.",80017,CO,2009,"LABORER, LANDSCAPE",,52,,11/5/08,8.92,HR,,,,
650 FRONT ST.,LOVINGSTON,"MASLABOR H2B, LLC ELIZABETH WHITLEY",VA,CO,,11.43,HR,C-08310-40921,CERTIFIED,2/2/09,11/15/09,12/17/08,,,1801 WEST LINCOLN AVE,,STEAMBOAT SPRINGS,WINDEMERE LANDSCAPE & GARDEN CENTER,80487,CO,2009,"LABORER, LANDSCAPE",,35,,11/5/08,11.43,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,TX,CO,,8.96,HR,C-08310-40941,CERTIFIED,2/2/09,12/2/09,12/17/08,,,8501 QUEBEC ST,,COMMERCE CITY,LMI LANDSCAPES INC,80022,CO,2009,"LABORER, LANDSCAPE",,50,,11/5/08,8.96,HR,,,,
1122 E. BUCKEYE RD. B8,PHOENIX,SUAME CORP.,AZ,CO,,18.13,HR,C-08311-40948,CERTIFIED,1/1/09,10/31/09,11/18/08,,,500 RED TABLE DRIVE,,GYPSUM,DEL VALLE MEAT MARKET,81631,CO,2009,MEAT CUTTER,,10,,11/6/08,18.13,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,TX,CO,,8.12,HR,C-08311-40975,CERTIFIED,2/1/09,11/30/09,12/17/08,,,1550 EAST 73RD AVENUE,,DENVER,CENTER GREENHOUSE INC,80229,CO,2009,"LABORER, STORES",,15,,11/6/08,8.12,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,TX,CO,,8.92,HR,C-08311-41005,PARTIAL CERTIFIED,2/5/09,11/30/09,12/19/08,,,9010 S. SANTA FE,,LITTLETON,ARAPAHOE HORTICULTURE LLC DBA ARAPAHOE LANDSCAPES,80125,CO,2009,"LABORER, LANDSCAPE",,20,,11/6/08,8.92,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,TX,CO,,8.92,HR,C-08311-41007,CERTIFIED,2/4/09,11/30/09,12/19/08,,,9010 S. SANTA FE,,LITTLETON,ARAPAHOE ACRES NURSERY & LANDSCAPING INC,80125,CO,2009,HORTICULTURAL WORKER II,,20,,11/6/08,7.77,HR,,,,
2901 BUCKS BAYOU ROAD,BAY CITY,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,TX,CO,,8.48,HR,C-08312-41091,CERTIFIED,2/1/09,10/31/09,12/17/08,,,1050 EAST CHEYENNE RD.,,COLORADO SPRINGS,ROBERTSON LAWN SPRINKLER CO. INC.,80905,CO,2009,"LABORER, LANDSCAPE",,25,,11/7/08,8.48,HR,,,,
429 LOCUST STREET,WINDSOR,"KATHERINE L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.92,HR,C-08312-41092,CERTIFIED,2/15/09,11/30/09,1/9/09,,,10603 EAST PARKER ROAD,,PARKER,"HOFF'S TURF IRRIGATION, INC.",80138,CO,2009,"LABORER, LANDSCAPE",,20,,11/7/08,8.92,HR,,,,
429 LOCUST STREET,WINDSOR,"KATHERINE L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.96,HR,C-08312-41095,CERTIFIED,2/15/09,11/30/09,1/5/09,,,1235 BOSTON AVE,,LONGMONT,PANORAMA COORDINATED SERVICES INC,80501,CO,2009,"LABORER, LANDSCAPE",,8,,11/7/08,8.96,HR,,,,
429 LOCUST ST.,WINDSOR,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,9.95,HR,C-08312-41097,PARTIAL CERTIFIED,2/15/09,11/30/09,1/5/09,,,1700 N. PARK ST.,,CASTLE ROCK,MW GOLDEN CONSTRUCTORS,80109,CO,2009,CONSTRUCTION WORKER I,,2,,11/7/08,9.95,HR,,,,
429 LOCUST ST.,WINDSOR,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.92,HR,C-08312-41100,CERTIFIED,2/15/09,11/30/09,1/5/09,,,895 SHERIDAN BLVD.,,LAKEWOOD,"JDR COMPANY, INC.",80214,CO,2009,"LABORER, LANDSCAPE",,6,,11/7/08,8.92,HR,,,,
429 LOCUST ST.,WINDSOR,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.92,MTH,C-08312-41102,CERTIFIED,2/15/09,11/30/09,1/5/09,,,12511 EAST 112TH AVENUE,,HENDERSON,"ENVIROMENTAL DESIGNS, INC",80640,CO,2009,"LABORER, LANDSCAPE",,80,,11/7/08,8.92,MTH,,,,
429 LOCUST ST.,WINDSOR,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.92,HR,C-08312-41103,DENIED,2/15/09,11/30/09,2/27/09,,,6645 MESEDGE DRIVE,,COLORADO SPRINGS,"ACCENT LANDSCAPES OF COLORADO SPRINGS, INC",80919,CO,2009,"LABORER, LANDSCAPE",,0,,11/7/08,8.92,HR,,,,
429 LOCUST ST.,WINDSOR,"KATHERIN L. AHL, AGENT LABOR SOLUTIONS, INC.",CO,CO,,8.96,HR,C-08312-41107,PARTIAL CERTIFIED,2/15/09,11/30/09,2/20/09,,,1331 SHERMAN DR.,,LONGMONT,NAPP LANDSCAPE SERVICES,80501,CO,2009,"LABORER, LANDSCAPE",,50,,11/7/08,8.96,HR,,,,
,,,,CO,,8.48,HR,C-08315-41155,CERTIFIED,2/3/09,11/30/09,12/17/08,,,18227-D FLOWER HILL WAY,,GAITHERSBURG,THE BRICKMAN GROUP LTD.,20879,MD,2009,"LABORER, LANDSCAPE",,30,,11/10/08,8.48,HR,,,,
"3355 BEE CAVES RD., STE. 307",AUSTIN,"ROBERT D. KERSHAW, THE LAW OFFICE OF ROBERT KERSHA",TX,CO,,8.44,HR,C-08315-41166,PARTIAL CERTIFIED,2/2/09,12/1/09,12/17/08,,,570 S. COMMERICAL DR.,,GRAND JUNCTION,"LIQUI GREEN, INC.",81505,CO,2009,"LABORER, LANDSCAPE",,10,,11/10/08,8.44,HR,,,,
11555 HERON BAY BLVD.,CORAL SPRINGS,"ANDREA R. JACOBS, P.A.",FL,CO,,7.17,HR,C-08315-41176,CERTIFIED,2/1/09,10/1/09,12/17/08,,,34879 US HIGHWAY 160,,MANCOS,ARAMARK MESA VERDE,81328,CO,2009,FAST FOODS WORKER,,65,,11/10/08,7.17,HR,,,,
,,,,CO,,8.92,HR,C-08315-41185,CERTIFIED,2/3/09,11/30/09,12/17/08,,,18227-D FLOWER HILL WAY,,GAITHERSBURG,THE BRICKMAN GROUP LTD.,20879,MD,2009,"LABORER, LANDSCAPE",,120,,11/10/08,8.92,HR,,,,
GEA INC.,STURGIS,SCOTT KAUBISCH,SD,CO,,9.25,HR,C-08315-41190,PARTIAL CERTIFIED,11/1/08,5/15/09,12/17/08,,,3155 SOUTH LINCOLN AVENUE,,STEAMBOAT SPRINGS,YAMPA RIVER INC. DBA BUNKHOUSE LODGE,80487,CO,2009,"CLEANER, HOUSEKEEPING",,5,,11/10/08,9.25,HR,,,,
"MARTINEZ & SORDO, P.A.",MIAMI,EMILIO F. MARTINEZ,FL,CO,,7.78,HR,C-08315-41195,CERTIFIED,2/1/09,10/1/09,12/19/08,,,34879 US HIGHWAY 160,,MANCOS,ARAMARK MESA VERDE,81328,CO,2009,TICKET SELLER,,30,,11/10/08,7.78,HR,,,,
LAW OFFICES OF EMILIO F. MARTINEZ P.A,MIAMI,EMILIO MARTINEZ,FL,CO,,7.86,HR,C-08315-41214,CERTIFIED,2/1/09,10/1/09,1/9/09,,,34879 US HIGHWAY 160,,MANCOS,ARAMARK MESA VERDE,81328,CO,2009,"CLEANER, HOUSEKEEPING",,25,,11/10/08,7.86,HR,,,,
