,CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
24,H-300-13092-544987,2013-11-22 12:46:05,H-2A,2013-11-12 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01 00:00:00,2014-05-31 00:00:00,2014-01-01 00:00:00,2014-05-31 00:00:00,Hoopes Sheep Shearing/Clifford Hoopes,"55 Hayter Ave, Fort Bridger, WY 82933 (Physical Address)","PO Box 73, Mountain View, WY 82939 (Mailing Address)",Fort Bridger,WY,82933,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Wool Grader,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,48.0,0.17,Select Pay Range,Fort Bridger,WY,H-2A Labor Contractor or Job Contractor
25,H-300-13093-575475,2013-11-22 15:05:48,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Jennings Farms Inc/Colleen Jennings,"39 Jenning Rd, Riverton, WY 82501 (Physical Address)","39 Jenning Rd, Riverton, WY 82501 (Mailing Address)",Riverton,WY,82501,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,750.0,Month,Riverton,WY,Association - Filing as Agent (H-2A Only)
26,H-300-13094-003217,2013-11-08 12:22:45,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,John Uhalde & Company/Gracian N Uhalde,"110 Miles SW of Ely, NV, Ely, NV 89315 (Physical Address)","PO Box 151088, Ely, NV 89315 (Mailing Address)",Ely,NV,89315,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4.0,60.0,800.0,Month,Ely,NV,Association - Filing as Agent (H-2A Only)
27,H-300-13094-175005,2013-11-18 14:16:36,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-10-31 00:00:00,2014-01-01 00:00:00,2014-10-31 00:00:00,Weaver Ranch Inc/Susan M. Weaver,"3000 West County Rd 70, Fort Collins, CO 80524 (Physical Address)","3000 West County Rd 70, Fort Collins, CO 80524 (Mailing Address)",Fort Collins,CO,80524,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,875.0,Month,Fort Collins,CO,Association - Filing as Agent (H-2A Only)
28,H-300-13094-321088,2013-11-20 09:06:23,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,W & M Thoman Ranches LLC/Mary Thoman,"38622 State Hwy 372, Green River, WY 82935 (Physical Address)","PO Box 146, Green River, WY 82935 (Mailing Address)",Green River,WY,82935,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8.0,60.0,750.0,Month,Green River,WY,Association - Filing as Agent (H-2A Only)
29,H-300-13094-348665,2013-12-04 13:23:32,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Svenson Bros. Partnership/Sven Svenson,"431 Svenson Rd, Reed Point, MT 59069 (Physical Address)","PO Box 368, Reed Point, MT 59069 (Mailing Address)",Reed Point,MT,59069,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4.0,60.0,750.0,Month,Reed Point,MT,Association - Filing as Agent (H-2A Only)
30,H-300-13094-495292,2013-11-13 16:40:13,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Larson Livestock Inc/Carl Larson,"116 County Road 239, Lyman, WY 82937 (Physical Address)","PO Box 395, Lyman, WY 82937 (Mailing Address)",Lyman,WY,82937,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",12.0,60.0,750.0,Month,Lyman,WY,Association - Filing as Agent (H-2A Only)
31,H-300-13094-536059,2013-12-06 12:14:11,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,KUNZLER SHEEP & CATTLE CO/BURT KUNZLER,"57840 W 17913 N. Loghouse Lane, Park Valley, UT 84329 (Physical Ad","57840 W 17913 N. Loghouse Lane, Park Valley, UT 84329 (Mailing Add",Park Valley,UT,84329,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",7.0,60.0,750.0,Month,Park Valley,UT,Association - Filing as Agent (H-2A Only)
32,H-300-13094-572464,2013-11-13 16:47:36,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,J & A Phillips Ranch/John Phillips,"1325 W 535 N, Paul, ID 83347 (Physical Address)","1325 W 535 N, Paul, ID 83347 (Mailing Address)",Paul,ID,83347,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,750.0,Month,Paul,ID,Association - Filing as Agent (H-2A Only)
33,H-300-13094-636593,2013-11-25 13:13:58,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,SECREST SHEEP AND CATTLE/MICHAEL G. SECREST,"18126 Hwy 30, Hagerman, ID 83332 (Physical Address)","PO Box 194, Hagerman, ID 83332 (Mailing Address)",Hagerman,ID,83332,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,750.0,Month,Hagerman,ID,Association - Filing as Agent (H-2A Only)
34,H-300-13094-873950,2014-01-03 14:07:54,H-2A,2013-12-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-02-01 00:00:00,2015-01-31 00:00:00,2014-02-01 00:00:00,2015-01-31 00:00:00,ARGYLE RANCH INC/BART ARGYLE,"3400 N.S.R. 1600, Randolph, UT 84064 (Physical Address)","PO Box 216, Randolph, UT 84064 (Mailing Address)",Randolph,UT,84064,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",9.0,60.0,750.0,Month,Randolph,UT,Association - Filing as Agent (H-2A Only)
35,H-300-13094-880530,2013-11-12 11:00:03,H-2A,2013-11-05 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Taft Farms Inc/Andy and Joni Taft,"190 N. 100 E., Bicknell, UT 84715 (Physical Address)","PO Box 12, Bicknell, UT 84715 (Mailing Address)",Bicknell,UT,84715,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,750.0,Month,Bicknell,UT,Association - Filing as Agent (H-2A Only)
36,H-300-13094-908723,2013-11-08 12:19:21,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Ronald J. & Elizabeth D. Moss,"2424 E 2200 N, Hamer, ID 83425 (Physical Address)","2424 E 2200 N, Hamer, ID 83425 (Mailing Address)",Hamer,ID,83425,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,750.0,Month,Hamer,ID,Association - Filing as Agent (H-2A Only)
37,H-300-13098-859422,2013-12-17 14:44:20,H-2A,2013-12-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-02-01 00:00:00,2014-11-30 00:00:00,2014-02-01 00:00:00,2014-11-30 00:00:00,Bauer Land & Livestock /Barry Bauer,"3053 Hwy 14/16 East, Clearmont, WY 82835 (Physical Address)","3053 Hwy 14/16 East, Clearmont, WY 82835 (Mailing Address)",Clearmont,WY,82835,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,875.0,Month,Clearmont,WY,Association - Filing as Agent (H-2A Only)
38,H-300-13099-258494,2013-12-17 14:34:04,H-2A,2013-12-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-02-01 00:00:00,2014-11-30 00:00:00,2014-02-01 00:00:00,2014-11-30 00:00:00,Blazzard Farms/John F. Blazzard,"1196 N 2000 W, Kamas, UT 84036 (Physical Address)","PO Box 65, Kamas, UT 84036 (Mailing Address)",Kamas,UT,84036,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,875.0,Month,Kamas,UT,Association - Filing as Agent (H-2A Only)
