,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_POC_EMPLOYER_REP_BY_AGENT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
10,2017,H-400-16029-068552,2016-12-05,H-2B,2016-11-04,Denied,2017-02-01,2017-11-01,Redden Concrete Inc.,,4207 CR 277,,Melissa,TX,75454,UNITED STATES OF AMERICA,,972-547-6100,,Y,H2 LABOR ASSISTANCE,DANIELLE CLARK,FARMERSVILLE,TX,Concrete Finisher,47-2051,Cement Masons and Concrete Finishers,238110.0,40.0,,Y,Peakload,40,07:00 AM,03:30 PM,$15.08,,,Hour,N,,None,na,na,N,,N,,,Y,3.0,Melissa,Collin,TX,75454,Y,,,,
11,2017,H-400-16041-920706,2017-04-11,H-2B,2017-01-16,Denied,2017-04-01,2018-01-01,"Medellin Concrete Chipping Service, Inc.",,4418 Allen Genoa Rd,,Pasadena,TX,77504,UNITED STATES OF AMERICA,,877-250-4339,,Y,AZARMEHR LAW GROUP,Cristina Zambrano,AUSTIN,TX,Laborer,47-2061,Construction Laborers,238110.0,20.0,,Y,Peakload,40,06:00 PM,04:00 AM,$11.41,17.12,,Hour,N,,None,,,N,,N,,,Y,6.0,Edinburg,Hidalgo,TX,78543,Y,,,,
12,2017,H-400-16117-459275,2017-01-19,H-2B,2016-11-23,Certification,2017-02-20,2017-11-20,Pure Soccer USA LLC,,322 Richard Mine Road,Suite F2,Wharton,NJ,07885,UNITED STATES OF AMERICA,,877-945-6423,,Y,LAW OFFICES OF PAUL N. GILBERT,PAUL GILBERT,PARSIPPANY,NJ,Soccer Coach,27-2022,Coaches and Scouts,611620.0,10.0,10.0,Y,Seasonal,35,09:00 AM,02:00 PM,$24.16,,,Hour,N,,None,,,N,,N,,,Y,18.0,Middletown,Monmouth,NJ,07748,Y,,,,
13,2017,H-400-16126-218553,2017-02-23,H-2B,2017-01-02,Certification,2017-04-01,2017-12-05,"TRAVIS HOSPITALITY, INC.",BAYSIDE RESORT HOTEL,225 ROUTE 28,,WEST YARMOUTH,MA,02673,UNITED STATES OF AMERICA,,508-775-5669,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,CLEANERS,37-2012,Maids and Housekeeping Cleaners,721110.0,8.0,8.0,Y,Peakload,35,05:30 AM,11:30 PM,$13.87,20.81,,Hour,N,,None,,,N,,N,,,Y,3.0,WEST YARMOUTH,BARNSTABLE,MA,02673,N,,,,
14,2017,H-400-16127-126752,2017-03-01,H-2B,2017-01-04,Certification,2017-04-01,2017-11-01,VIC MV HOTEL LLC,HOB KNOB HOTEL,128 MAIN STREET,P.O. BOX 2076,EDGARTOWN,MA,02539,UNITED STATES OF AMERICA,,508-627-9510,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,HOUSEKEEPERS,37-2012,Maids and Housekeeping Cleaners,721191.0,6.0,6.0,Y,Seasonal,35,08:00 AM,09:00 PM,$13.65,20.48,,Hour,Y,6.0,None,,,N,,N,,,Y,3.0,EDGARTOWN,DUKES,MA,02539,N,,,,
15,2017,H-400-16131-381894,2017-03-30,H-2B,2017-01-16,Certification,2017-04-15,2017-10-21,STEAMBOAT WHARF PIZZA INC,,PO BOX 1829,10 BROAD STREET,NANTUCKET,MA,02554,UNITED STATES OF AMERICA,,508-228-1131,,Y,PEAK SEASON WORKFORCE,JOE BISHOP,GLEN ALLEN,VA,SHORT ORDER COOK,35-2015,"Cooks, Short Order",722211.0,13.0,13.0,Y,Seasonal,35,10:00 AM,02:00 AM,$14.47,21.71,,Hour,N,,None,,,N,,N,,,Y,3.0,NANTUCKET,NANTUCKET,MA,02554,N,,,,
16,2017,H-400-16132-972378,2017-03-30,H-2B,2017-01-16,Partial Certification,2017-04-15,2017-11-01,VERANDA HOUSE INN LLC,VERANDA HOUSE,3 STEP LANE,,NANTUCKET,MA,02554,UNITED STATES OF AMERICA,,508-228-0695,,Y,PEAK SEASON WORKFORCE,JOE BISHOP,Glen Allen,VA,HOUSEKEEPER and BREAKFAST ATTENDANT,37-2012,Maids and Housekeeping Cleaners,72119.0,5.0,2.0,Y,Seasonal,35,06:30 AM,04:00 PM,$13.65,20.48,,Hour,N,,None,,,N,,N,,,Y,3.0,NANTUCKET,NANTUCKET,MA,02554,Y,,,,
17,2017,H-400-16132-984927,2017-04-20,H-2B,2017-01-19,Certification,2017-04-20,2017-10-14,"SURF RESTAURANT, INC",SURF CLUB,PO BOX 91,315A COMMERICAL STREET,PROVINCETOWN,MA,02657,UNITED STATES OF AMERICA,,508-487-1304,,Y,PEAK SEASON WORKFORCE,JOE BISHOP,Glen Allen,VA,COOKS,35-2014,"Cooks, Restaurant",722110.0,10.0,10.0,Y,Seasonal,35,09:30 AM,01:00 AM,$14.51,21.77,,Hour,N,,None,,,N,,N,,,Y,6.0,PROVINCETOWN,BARNSTABLE,MA,02657,N,,,,
18,2017,H-400-16133-075288,2017-01-20,H-2B,2017-01-01,Denied,2017-04-01,2017-11-15,"OSR SEAFOOD, INC.",KREAM N KONE CHATHAM,19 KATIAN WAY,,MASHPEE,MA,02649,UNITED STATES OF AMERICA,,508-945-3308,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,FAST FOOD WORKER,35-3021,"Combined Food Preparation and Serving Workers,",722211.0,40.0,,Y,Seasonal,35,10:00 AM,10:30 PM,$11.,16.5,,Hour,N,,None,,,N,,N,,,Y,3.0,CHATHAM,BARNSTABLE,MA,02633,N,,,,
19,2017,H-400-16133-198938,2016-10-26,H-2B,2016-05-12,Partial Certification Expired,2016-10-26,2017-05-31,"M & A WELDING COMPANY, LLC.",,1775 GUADALAJARA AVE.,,BROWNSVILLE,TX,78526,UNITED STATES OF AMERICA,,956-466-5649,,Y,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,HARLINGEN,TX,Solderers and Brazers 51-4121.07,51-4121,"Welders, Cutters, Solderers, and Brazers",333132.0,100.0,93.0,Y,Peakload,40,07:00 AM,04:00 PM,$23.3,,,Hour,N,,None,,,N,,N,,,Y,6.0,Hackberry,Cameron,LA,70645,Y,,,,
20,2017,H-400-16133-703260,2017-04-19,H-2B,2017-02-05,Certification,2017-05-06,2017-11-12,"EASTWARD HO! COUNTRY CLUB, INC.",,325 FOX HILL ROAD,,CHATHAM,MA,02633,UNITED STATES OF AMERICA,,508-348-3827,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,LINE COOKS,35-2014,"Cooks, Restaurant",713910.0,13.0,13.0,Y,Seasonal,35,06:00 AM,11:00 PM,$13.11,19.67,,Hour,N,,None,,,N,,N,,,Y,6.0,CHATHAM,BARNSTABLE,MA,02633,Y,,,,
21,2017,H-400-16133-878992,2017-03-30,H-2B,2017-01-15,Certification,2017-04-15,2017-10-20,EASTHAM HOTEL MANAGEMENT CORP,CAPTAIN'S QUARTERS MOTEL AND CONFERENCE CENTER,5000 ROUTE 6,PO BOX 1896,NORTH EASTHAM,MA,02651,UNITED STATES OF AMERICA,,508-360-5617,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,HOUSEKEEPERS,37-2012,Maids and Housekeeping Cleaners,721110.0,8.0,8.0,Y,Seasonal,35,09:00 AM,04:00 PM,$13.87,20.81,,Hour,N,,None,,,N,,N,,,Y,3.0,NORTH EASTHAM,BARNSTABLE,MA,02651,N,,,,
22,2017,H-400-16133-995316,2017-03-14,H-2B,2017-01-11,Partial Certification,2017-04-07,2017-10-15,BARTHOLOMEW INC,"EAST STREET CANTINA, TACOS TACOS & CHILDREN'S CAFE",2 BROAD STREET,,NANTUCKET,MA,02554,UNITED STATES OF AMERICA,,508-228-6560,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,SHORT ORDER COOK,35-2015,"Cooks, Short Order",721110.0,17.0,14.0,Y,Seasonal,35,06:00 AM,02:00 AM,$14.47,21.71,,Hour,N,,None,,,N,,N,,,Y,3.0,NANTUCKET,NANTUCKET,MA,02554,Y,,,,
23,2017,H-400-16137-540192,2017-04-14,H-2B,2017-01-31,Partial Certification,2017-05-01,2017-10-24,"HOLDGATES ISLAND LAUNDRY, INC.",,P.O. BOX 869,4 VESPER LANE,NANTUCKET,MA,02554,UNITED STATES OF AMERICA,,508-228-2418,,Y,PEAK SEASON WORKFORCE,JOSEPH BISHOP,GLEN ALLEN,VA,LAUNDRY WORKERS,51-6011,Laundry and Dry-Cleaning Workers,812320.0,10.0,8.0,Y,Peakload,35,06:00 AM,06:00 PM,$14.77,22.16,,Hour,N,,None,,,N,,N,,,Y,3.0,NANTUCKET,Nantucket,MA,02554,Y,,,,
24,2017,H-400-16145-292631,2017-02-03,H-2B,2017-01-01,Certification,2017-04-01,2017-12-15,"Brady Lawn & Landscape, LLC",,3 Pfeiffer Road,,Boerne,TX,78006,UNITED STATES OF AMERICA,,830-249-4016,,Y,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,4.0,4.0,Y,Peakload,40,08:00 AM,05:00 PM,$12.62,18.93,,Hour,N,,None,,,N,,N,,,Y,3.0,Boerne,Kendall,TX,78006,Y,,,,
25,2017,H-400-16147-109375,2017-02-01,H-2B,2017-01-01,Certification,2017-04-01,2017-12-01,"Complete Lawn Grounds Maintenance Service, LLC",,3520 Maxton Trail,,Winston-Salem,NC,27107,UNITED STATES OF AMERICA,,336-785-2060,,Y,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,10.0,10.0,Y,Peakload,40,08:00 AM,05:00 PM,$11.93,17.9,,Hour,N,,None,,,N,,N,,,N,,Winston-Salem,Forsyth,NC,27107,Y,,,,
26,2017,H-400-16160-373101,2017-01-30,H-2B,2017-01-01,Certification,2017-04-01,2017-12-31,"Pampered Lawns Austin, Inc.",,13805 Dragline Drive,,Austin,TX,78728,UNITED STATES OF AMERICA,,512-251-1295,,Y,"THE KERSHAW LAW FIRM, PC",ROBERT KERSHAW,AUSTIN,TX,Laborer,37-3011,Landscaping and Groundskeeping Workers,2389.0,15.0,15.0,Y,Peakload,40,06:30 AM,05:00 PM,$12.82,19.23,,Hour,N,,None,,,N,,N,,,Y,3.0,Austin,Travis,TX,78728,Y,,,,
27,2017,H-400-16165-953774,2016-10-03,H-2B,2016-08-22,Certification Expired,2016-11-05,2017-08-31,John Stinebaugh,John Stinebaugh Racing Stables,3306  Roan Vally,,San Antonio,TX,78259,UNITED STATES OF AMERICA,,915-227-1776,,Y,"LAW OFFICE OF MICHELE CONTRERAS, LLC",MICHELE CONTRERAS,CHERRY HILL,NJ,Groomer,39-2021,Nonfarm Animal Caretakers,711219.0,9.0,9.0,Y,Peakload,40,06:00 AM,02:00 PM,$12.17,18.26,18.26,Hour,N,,None,,,N,,N,,,Y,3.0,San Antonio,Bexar,TX,78259,Y,,,,
28,2017,H-400-16166-012009,2016-11-23,H-2B,2016-10-24,Certification,2017-01-22,2017-11-22,"S & T Magic Enterprises, Inc.",,2509 Lake Shore Drive,,Orlando,FL,32803,UNITED STATES OF AMERICA,,407-894-6920,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,28.0,28.0,Y,Seasonal,35,04:00 AM,11:00 PM,$8.55,12.83,17.7,Hour,N,,None,,,N,,N,,,N,,Palm Bay,Brevard,FL,32907,Y,,,,
29,2017,H-400-16166-089358,2017-03-28,H-2B,2017-01-16,Partial Certification,2017-04-14,2018-01-17,"Alpine Amusement Company, Inc.",,2648 Wild Timothy Road,,Naperville,IL,60564,UNITED STATES OF AMERICA,,630-922-3188,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,44.0,39.0,Y,Seasonal,35,04:00 PM,11:00 PM,$8.87,13.31,21.06,Hour,N,,None,,,N,,N,,,N,,Union Grove,Racine,WI,53182,Y,,,,
30,2017,H-400-16166-105815,2017-01-30,H-2B,2017-01-01,Certification,2017-04-01,2017-11-30,"Lee's Concessions, Inc.",,515 Fowler Street,,Faribault,MN,55021,UNITED STATES OF AMERICA,,763-767-2601,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,35.0,35.0,Y,Seasonal,35,04:00 PM,11:00 PM,$8.23,12.35,16.58,Hour,N,,None,,,N,,N,,,N,,Huntsville,Walker,TX,77340,Y,,,,
31,2017,H-400-16166-139361,2017-08-29,H-2B,2017-05-21,Certification,2017-08-29,2017-11-20,"Griff's Catering, Inc.",,Mailing: PO Box 1294,Physical: 7309 Gibsonton Drive,Gibsonton,FL,33534,UNITED STATES OF AMERICA,,813-478-2413,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Travelling Food Worker,39-3091,Amusement and Recreation Attendants,722330.0,10.0,10.0,Y,Seasonal,35,12:00 PM,10:00 PM,$9.,,,Hour,N,,None,,,N,,N,,,N,,Gibsonton,Hillsborough,FL,33534,Y,,,,
32,2017,H-400-16166-205052,2016-11-22,H-2B,2016-10-18,Certification,2017-01-15,2017-11-15,"Solem Concessions, Inc.",,951 Hillwind Road NE,,Minneapolis,MN,55432,UNITED STATES OF AMERICA,,507-261-2161,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Traveling Food Worker,35-3022,"Counter Attendants, Cafeteria, Food Concession,",722330.0,25.0,25.0,Y,Seasonal,35,12:00 PM,10:00 PM,$8.33,12.5,19.23,Hour,N,,None,,,N,,N,,,N,,Austin,Mower,MN,55912,Y,,,,
33,2017,H-400-16166-210838,2016-11-30,H-2B,2016-10-19,Certification,2017-01-16,2017-11-16,"Superior Midway Games, LLC.",,mailing:  PO Box 238,"physical:  3350 SW Deggeller Ct, Palm City, FL  34990",Stuart,FL,34995,UNITED STATES OF AMERICA,,772-215-2223,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,30.0,30.0,Y,Seasonal,35,03:00 PM,11:00 PM,$8.58,12.87,16.65,Hour,N,,None,,,N,,N,,,N,,Palm City,Martin,FL,34990,Y,,,,
34,2017,H-400-16166-249120,2016-12-07,H-2B,2016-11-03,Certification,2017-02-01,2017-11-06,"Ottaway Amusement Company, Inc.",,19650 Straight Creek Rd.,,Onaga,KS,66521,UNITED STATES OF AMERICA,,785-213-5778,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,25.0,25.0,Y,Seasonal,35,04:00 AM,11:00 PM,$8.82,13.23,15.08,Hour,N,,None,,,N,,N,,,N,,Wichita,Sedgwick,KS,67202,Y,,,,
35,2017,H-400-16166-302444,2017-01-31,H-2B,2017-01-01,Certification,2017-04-01,2017-11-15,"Laser Fair, Inc.",,1603 S. 9th Ave.,,Sterling,CO,80751,UNITED STATES OF AMERICA,,970-231-2307,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Attendant,39-3091,Amusement and Recreation Attendants,713990.0,10.0,10.0,Y,Seasonal,35,04:00 PM,11:00 PM,$9.2,13.8,15.71,Hour,N,,None,,,N,,N,,,N,,Sterling,Logan,CO,80751,Y,,,,
36,2017,H-400-16166-327564,2017-02-27,H-2B,2017-01-03,Certification,2017-04-03,2017-10-31,"Fantasy Amusement Company, Inc.",,629 N. Forrest Avenue,,Arlington Heights,IL,60004,UNITED STATES OF AMERICA,,847-259-9090,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Attendant,39-3091,Amusement and Recreation Attendants,713990.0,44.0,44.0,Y,Seasonal,35,01:00 PM,11:00 PM,$8.87,13.31,21.06,Hour,N,,None,,,N,,N,,,N,,Peotone,Will,IL,60468,Y,,,,
37,2017,H-400-16166-345824,2017-04-26,H-2B,2017-01-18,Partial Certification,2017-04-26,2017-11-12,"Fair Ride Entertainment, LLC",,Mailing: PO Box 1931,Physical: 9912 Peninsular Drive,Gibsonton,FL,33534,UNITED STATES OF AMERICA,,813-240-1986,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Travelling Ride Attendant,39-3091,Amusement and Recreation Attendants,713990.0,16.0,15.0,Y,Seasonal,35,04:00 PM,10:00 PM,$9.49,14.24,18.41,Hour,N,,None,,,N,,N,,,N,,Gibsonton,Hillsborough,FL,33534,Y,,,,
38,2017,H-400-16166-365413,2016-12-02,H-2B,2016-11-02,Certification,2017-01-31,2017-11-14,"GoldStar Amusements, Inc.",,515 Fowler Street,,Faribault,MN,55021,UNITED STATES OF AMERICA,,763-767-2601,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,38.0,38.0,Y,Seasonal,35,03:00 AM,11:00 PM,$8.23,12.35,16.58,Hour,N,,None,,,N,,N,,,N,,Laredo,Webb,TX,78043,Y,,,,
39,2017,H-400-16166-449764,2016-12-22,H-2B,2016-11-08,Certification,2017-02-06,2017-11-14,"Strates Shows, Inc.",,10600 S. Orange Ave.,,Orlando,FL,32824,UNITED STATES OF AMERICA,,407-855-3939,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,65.0,65.0,Y,Seasonal,35,01:00 PM,10:00 PM,$8.67,13.01,18.41,Hour,N,,None,,,N,,N,,,N,,Orlando,Orange,FL,32824,Y,,,,
40,2017,H-400-16166-552679,2017-02-07,H-2B,2017-01-01,Certification,2017-04-01,2017-11-01,Authentic Greek Food Corp.,,99 Franklin Avenue,,Franklin Square,NY,11010,UNITED STATES OF AMERICA,,516-302-6364,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Food Worker,35-3022,"Counter Attendants, Cafeteria, Food Concession,",722330.0,15.0,15.0,Y,Seasonal,35,04:00 PM,11:00 PM,$8.27,12.41,17.88,Hour,N,,None,,,N,,N,,,N,,Franklin Square,Nassau,NY,11010,Y,,,,
