,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
10,2016,H-400-15007-230106,2016-03-08,H-2B,2016-01-04,Certification,2016-04-01 00:00:00,2016-11-30,TARA GARDENS  INC,PO BOX 684,116 MARINER DRIVE,Southampton,NY,11968,UNITED STATES OF AMERICA,,631-287-3715,,IMMIGRATION USA,LISSETTE HILDESHEIM,PALM CITY,FL,LANDSCAPER,37-3011,Landscaping and Groundskeeping Workers,561730.0,3.0,3.0,Y,Seasonal,$14.94,Hour,,,N,,None,,,N,,N,,,N,,Southampton,NY,11968,Y,,,,
11,2016,H-400-15023-647623,2016-04-27,H-2B,2016-02-07,Certification,2016-04-27 00:00:00,2016-12-10,"85 ELLIS ISLAND, LLC",17 OLD SOUTH ROAD,PO BOX 3327,NANTUCKET,MA,02554,UNITED STATES OF AMERICA,,508-228-4100,,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,COOK,35-2014,"Cooks, Restaurant",722110.0,4.0,4.0,Y,Peakload,$15.24,Hour,22.86,,N,,None,,,N,,N,,,Y,6.0,NANTUCKET,MA,02554,N,MASSACHUSETTS EXECUTIVE OFFICE OF LABOR AND WORKFORCE DEVELOPMENT,,,
12,2016,H-400-15031-729227,2016-04-29,H-2B,2016-01-15,Certification,2016-04-29 00:00:00,2016-11-30,JSP Construction Inc.,1183 South 1200 West,,Salt Lake City,UT,84104,UNITED STATES OF AMERICA,,801-835-5373,,MARITZA NAVARRETE,MARITZA NAVARRETE,PLEASANT GROVE,UT,Construction Laborer,47-2061,Construction Laborers,236220.0,12.0,12.0,Y,Seasonal,$15.59,Hour,,,N,,None,,,N,,N,,,N,,Salt Lake City,UT,84104,Y,Department of Workforce Services,,,
13,2016,H-400-15037-305254,2016-04-11,H-2B,2016-02-10,Certification,2016-04-25 00:00:00,2016-11-15,"Groundworks Landscaping, Inc.",PO Box 730,530 Montauk Highway,East Hampton,NY,11937,UNITED STATES OF AMERICA,,631-324-7373,,"LAW OFFICE OF MICHELE CONTRERAS, LLC",MICHELE CONTRERAS,MOORESTOWN,NJ,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,7.0,7.0,Y,Seasonal,$14.94,Hour,22.41,22.41,N,,None,,,N,,N,,,N,,East Hampton,NY,11937,Y,NY State Department of Labor,1082827,2014-02-26,2014-03-09
14,2016,H-400-15041-859523,2016-01-08,H-2B,2015-02-16,Withdrawn,2015-04-01 00:00:00,2015-12-11,R & R Landscaping Maintenance,5 Spring Lane,"Mailing: P.O. Box 2044, West Chester, PA 19380",West Chester,PA,19382,UNITED STATES OF AMERICA,,610-883-7206,,FEWA,RITA ROMERO,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,5.0,,Y,Peakload,$13.67,Hour,0.0,,N,,None,,,N,,N,,,N,,West Chester,PA,19382,Y,PA Careerlink Chester County,7963382,2015-01-13,2015-01-27
15,2016,H-400-15050-198503,2016-03-18,H-2B,2016-01-05,Certification,2016-04-01 00:00:00,2016-12-01,"Sevenzocks Property Maintenance and Landscaping, Inc",1277 Route 9W,P. O. Box 175,Selkirk,NY,12158,UNITED STATES OF AMERICA,,518-635-4111,,"H2 EXPRESS, INC",STEVEN MCKAY,HUDSON,NY,landscape laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,8.0,8.0,Y,Seasonal,$14.07,Hour,21.11,21.11,N,,None,,,N,,N,,,Y,1.0,Selkirk,NY,12158,Y,,,,
16,2016,H-400-15050-484451,2016-01-08,H-2B,2015-02-19,Withdrawn,2015-04-01 00:00:00,2015-12-15,Rodolfo Sifuentes,9255 McLean St,,Beaumont,TX,77707,UNITED STATES OF AMERICA,,409-656-9092,,F.E.W.A.,RITA ROMERO,BAY CITY,TX,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,,Y,Peakload,$10.01,Hour,,,N,,None,,,N,,N,,,N,,Beaumont,TX,77707,Y,WF Solutions Beaumont,6988529,2014-12-10,2014-12-20
17,2016,H-400-15060-807674,2015-10-20,H-2B,2015-03-02,Withdrawn,2015-04-15 00:00:00,2016-02-14,"GARBRO, INC",382 S Perry St,,Lawrenceville,GA,30046,UNITED STATES OF AMERICA,,770-231-7024,,GM INTERNATIONAL CONSULTANTS LLC,MILAGROS DILEO,NORCROSS,GA,Painter Helper,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and",2361.0,17.0,,Y,Peakload,$12.15,Hour,,,N,,None,,,N,,N,,,Y,3.0,Lawrenceville,GA,30046,Y,Georgia Department of Labor,GA8266596,2015-02-13,2015-02-24
18,2016,H-400-15064-915994,2016-04-26,H-2B,2016-03-08,Withdrawn,2016-06-01 00:00:00,2016-11-11,OPP Construction,3625 North Washington Street,,Grand Forks,ND,58203,UNITED STATES OF AMERICA,,701-775-3322,,Swanson Law Office,Susan SWANSON,Grand Forks,ND,Landscaping Workers,37-3011,Landscaping and Groundskeeping Workers,237310.0,6.0,,Y,Seasonal,$13.,Hour,19.5,,N,,None,,,N,,N,,,N,,Fargo,ND,58102,Y,,,,
19,2016,H-400-15081-840190,2016-01-14,H-2B,2015-11-28,Denied,2015-05-01 00:00:00,2016-01-01,RFKLICS INC.,4301 LAKEVIEW PKWY #600,,ROWLETT,TX,75088,UNITED STATES OF AMERICA,,972-463-0101,,,,,,Licensed Massage Therapist,31-9011,Massage Therapists,621399.0,1.0,,Y,Peakload,$15.,Hour,,,N,,"Other Degree (JD, MD, etc.)",Certificate,Massage Therapy,N,,N,,,N,,Rowlett,TX,75088,N,,,,
20,2016,H-400-15084-411560,2016-01-07,H-2B,2015-12-29,Withdrawn,2016-04-01 00:00:00,2016-09-30,"UP KEEP PROPERTY SYSTEMS, LLC",4032 THOMAS DR  SUITE102,,PANAMA CITY BEACH,FL,32408,UNITED STATES OF AMERICA,,850-890-4690,,,,,,Housekeepers / Maids,37-2012,Maids and Housekeeping Cleaners,56172.0,35.0,,Y,Seasonal,$9.6,Hour,,,N,,None,,,N,,N,,,N,,Panama City,FL,32408,N,,,,
21,2016,H-400-15089-153379,2016-03-09,H-2B,2016-02-29,Withdrawn,2016-05-15 00:00:00,2016-11-01,BEECHMONT COUNTRY CLUB,29600 CHAGRIN BLVD.,,CLEVELAND,OH,44122,UNITED STATES OF AMERICA,,216-831-9100,,VARTANIAN & VARTANIAN,GREGORY VARTANIAN,BOSTON,MA,Food Service Worker,35-3021,"Combined Food Preparation and Serving Workers,",713910.0,12.0,,Y,Seasonal,$10.55,Hour,15.83,15.83,N,,None,,,N,,N,,,Y,1.0,Cleveland,OH,44122,N,Ohio Dept of Job and Family Services,2928927,2015-03-20,2015-04-01
22,2016,H-400-15103-800588,2016-04-08,H-2B,2016-01-26,Withdrawn,2015-04-13 00:00:00,2015-12-15,Sod Busters Inc,"46919 Cody Trail, Suite 200",,Tea,SD,57064,UNITED STATES OF AMERICA,,605-498-1066,,HR LAW SOLUTIONS,JOHN BEDELL,SIOUX FALLS,SD,Landscaping and Groundskeepers Workers,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,,Y,Seasonal,$12.52,Hour,18.78,18.78,N,,None,,,N,,N,,,N,,Tea,SD,57064,Y,,,,
23,2016,H-400-15117-140509,2015-10-20,H-2B,2015-09-23,Denied,2015-06-01 00:00:00,2015-12-01,LA CARRETA INC,1580 old trolley rd,,Summerville,SC,29485,UNITED STATES OF AMERICA,,864-320-2304,,E and C Group LLC,Carlos OLAVE,Greenville,SC,COOK FIRST,35-2014,"Cooks, Restaurant",722511.0,1.0,,Y,Seasonal,$19.48,Hour,19.48,20.0,Y,5.0,High School/GED,,,N,,N,,,Y,24.0,SUMMERVILLE,SC,29485,N,,,,
24,2016,H-400-15118-469659,2016-07-11,H-2B,2016-05-02,Denied,2016-05-09 00:00:00,2016-11-30,ECOSCAPE LANDSCAPE SERVICES INC.,1502 FITZER DR,,JOLIET,IL,60431,UNITED STATES OF AMERICA,,815-439-2126,,,,,,Landscape Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,,Y,Seasonal,$16.72,Hour,25.08,,N,,None,,,N,,N,,,N,,Joliet,IL,60431,N,,,,
25,2016,H-400-15120-535319,2015-10-14,H-2B,2015-07-17,Denied,2015-10-01 00:00:00,2016-06-30,RCM TECHNOLOGIES INC.,575 EIGHTH AVENUE,6TH FLOOR,NEW YORK,NY,10018,UNITED STATES OF AMERICA,,212-221-1544,,ATTORNEY AT LAW,RONALD NAIR,NORWALK,CT,Occupational Therapist,29-1122,Occupational Therapists,561320.0,150.0,,Y,Seasonal,$35.45,Hour,,,N,,Bachelor's,,Occupational Therapy,N,,N,,,N,,Chicago,IL,60603,Y,,,,
26,2016,H-400-15125-101567,2016-01-14,H-2B,2015-11-30,Certification,2016-02-15 00:00:00,2016-11-15,"Merkle Lawn Care Company, Inc.",210 Vine Street,"3999 Bullittsville Road, Burlington, KY 41005",Wilder,KY,41076,UNITED STATES OF AMERICA,,859-781-8652,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Groundskeeping Helper,37-3011,Landscaping and Groundskeeping Workers,561730.0,40.0,40.0,Y,Peakload,$12.11,Hour,18.17,18.17,N,,None,,,N,,N,,,N,,Wilder,KY,41076,Y,,,,
27,2016,H-400-15125-784509,2016-01-06,H-2B,2015-11-17,Certification,2016-02-01 00:00:00,2016-10-31,"Green Tree Forest Products, Inc.",746 Muses Mill Road,,Wallingford,KY,41093,UNITED STATES OF AMERICA,,606-876-5551,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,General Laborer,51-9198,Helpers--Production Workers,113210.0,5.0,5.0,Y,Peakload,$12.57,Hour,18.86,18.86,N,,None,,,N,,N,,,N,,Wallingford,KY,41093,N,,,,
28,2016,H-400-15132-046716,2016-01-06,H-2B,2015-11-17,Certification,2016-02-01 00:00:00,2016-10-31,"I Con Construction, Inc.","720 N. 17th Street, Unit 5",,St. Charles,IL,60174,UNITED STATES OF AMERICA,,630-587-6546,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,General Laborer,47-3012,Helpers--Carpenters,561730.0,15.0,15.0,Y,Peakload,$14.32,Hour,21.48,21.48,N,,None,,,N,,N,,,N,,St. Charles,IL,60174,Y,,,,
29,2016,H-400-15132-934730,2016-04-01,H-2B,2015-11-28,Certification,2016-04-01 00:00:00,2016-11-15,"Nature's Way, Inc.",1412 Production Drive,,Burlington,KY,41005,UNITED STATES OF AMERICA,,859-282-7119,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Groundskeeping Helper,37-3011,Landscaping and Groundskeeping Workers,561730.0,9.0,9.0,Y,Peakload,$12.04,Hour,18.06,18.06,N,,None,,,N,,N,,,N,,Burlington,KY,41005,Y,,,,
30,2016,H-400-15133-633401,2015-10-15,H-2B,2015-08-06,Withdrawn,2015-10-09 00:00:00,2016-10-09,KCG Americas LLC,545 Washington Blvd.,,Jersey City,NJ,07310,UNITED STATES OF AMERICA,,201-222-9400,,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Hyla Rosenberg,NEW YORK,NY,Financial Quantitative Analyst,41-3031,"Securities, Commodities, and Financial Services",523110.0,1.0,,Y,One-Time Occurrence,$96.15,Hour,,,N,,Bachelor's,,"Finance, Applied Math, Actuarial Mathematics, or a rel",N,,N,,,Y,24.0,New York,NY,10006,N,,,,
31,2016,H-400-15133-811321,2015-10-06,H-2B,2015-05-13,Denied,2015-05-01 00:00:00,2016-01-30,Flying Eagle LLC,P.O. Box 3082,"946 Manitou Ave., Manitou Springs, CO 80829",Breckenridge,CO,80424,UNITED STATES OF AMERICA,,719-685-5221,,"USITEX LAW, INC.",GLENN MANDEL,EGG HARBOR,WI,Sales Clerk,43-5081,Stock Clerks and Order Fillers,4481.0,8.0,,Y,Peakload,$12.6,Hour,0.0,0.0,N,,None,,not applicable,N,,N,,,N,,Manitou Springs,CO,80829,N,,,,
32,2016,H-400-15138-403709,2016-01-11,H-2B,2015-11-26,Certification,2016-02-15 00:00:00,2016-11-15,"Bobby Cameron Stone Masonry, LLC",4911 Willailla Road,,Brodhead,KY,40409,UNITED STATES OF AMERICA,,859-421-3060,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Construction Helper,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons,",238140.0,10.0,10.0,Y,Peakload,$18.17,Hour,27.65,27.65,N,,None,,,N,,N,,,N,,Brodhead,KY,40409,Y,,,,
33,2016,H-400-15138-542291,2016-01-12,H-2B,2015-11-26,Certification,2016-02-15 00:00:00,2016-11-15,"Geddes Pools, Inc.",232 Industry Parkway,,Nicholasville,KY,40356,UNITED STATES OF AMERICA,,859-885-4296,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,General Laborer,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaner",561730.0,4.0,4.0,Y,Peakload,$11.24,Hour,16.86,16.86,N,,None,,,N,,N,,,N,,Nicholasville,KY,40356,Y,,,,
34,2016,H-400-15139-236455,2016-01-11,H-2B,2015-11-23,Certification,2016-02-08 00:00:00,2016-10-31,Rose Hill Farm,2675 Rice Road,,Lexington,KY,40510,UNITED STATES OF AMERICA,,859-389-8002,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Off-site Stable Attendant,39-2021,Nonfarm Animal Caretakers,112920.0,5.0,5.0,Y,Peakload,$10.81,Hour,16.22,16.22,N,,None,,,N,,N,,,N,,Lexington,KY,40510,Y,,,,
35,2016,H-400-15139-285125,2016-02-01,H-2B,2015-11-24,Certification,2016-02-15 00:00:00,2016-11-15,"Wildcat Lawn & Landscaping, LLC",3066 Windemere Drive,,Lexington,KY,40502,UNITED STATES OF AMERICA,,859-333-9419,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Groundskeeping Helper,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,6.0,Y,Peakload,$11.28,Hour,16.92,16.92,N,,None,,,N,,N,,,N,,Lexington,KY,40502,Y,,,,
36,2016,H-400-15146-050597,2016-01-12,H-2B,2015-12-01,Certification,2016-02-15 00:00:00,2016-11-15,"Patrick Cooper Painting Contractor, Inc.",3516 Webster Road,,Danville,KY,40422,UNITED STATES OF AMERICA,,859-332-4934,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,General Laborer,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and",561730.0,3.0,3.0,Y,Peakload,$12.18,Hour,18.27,18.27,N,,None,,,N,,N,,,N,,Danville,KY,40422,Y,,,,
37,2016,H-400-15146-149434,2016-01-11,H-2B,2015-11-24,Certification,2016-02-15 00:00:00,2016-11-15,"Swartz Mowing, Inc.",87 Elk Lick Road,,Olympia,KY,40358,UNITED STATES OF AMERICA,,606-674-2971,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Groundskeeping Helper,37-3011,Landscaping and Groundskeeping Workers,561730.0,50.0,50.0,Y,Peakload,$12.13,Hour,18.2,18.2,N,,None,,,N,,N,,,N,,Olympia,KY,40358,Y,,,,
38,2016,H-400-15146-705635,2016-01-06,H-2B,2015-11-16,Certification,2016-02-01 00:00:00,2016-10-31,Got to Fly Farm,1639 Warmlands Ave.,"1009 Country Club Dr., Escondido, CA 92026",Vista,CA,92084,UNITED STATES OF AMERICA,,619-920-4880,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Groom,39-2021,Nonfarm Animal Caretakers,711219.0,4.0,4.0,Y,Peakload,$14.04,Hour,21.06,21.06,N,,None,,,N,,N,,,N,,Escondido,CA,92026,N,,,,
39,2016,H-400-15146-762265,2016-02-22,H-2B,2015-11-28,Certification,2016-02-22 00:00:00,2016-11-15,"Thompson and Shearer Farm Supply, Inc.",201 Etter Drive,,Nicholasville,KY,40356,UNITED STATES OF AMERICA,,859-885-5033,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Landscaping and Grounds-keeping Workers,37-3011,Landscaping and Groundskeeping Workers,567130.0,6.0,6.0,Y,Peakload,$11.28,Hour,16.92,16.92,N,,None,,,N,,N,,,N,,Nicholasville,KY,40356,Y,,,,
40,2016,H-400-15146-964594,2016-02-08,H-2B,2015-11-30,Certification,2016-02-15 00:00:00,2016-11-15,"KY South Central Pools, LLC",265 East Main St.,PO Box 1253,Mt. Vernon,KY,40456,UNITED STATES OF AMERICA,,606-256-0063,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,General Laborer,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaner",253990.0,6.0,6.0,Y,Peakload,$17.13,Hour,25.7,25.7,N,,None,,,N,,N,,,N,,Mt. Vernon,KY,40456,Y,,,,
41,2016,H-400-15148-322313,2015-10-08,H-2B,2015-09-01,Certification Expired,2015-11-15 00:00:00,2016-04-15,"Wyndham Vacation Rentals North America, LLC",120 Offerson Road,,Avon,CO,81620,UNITED STATES OF AMERICA,,970-688-5334,,PRACTICAL EMPLOYEE SOLUTIONS,Veronica Strickland-Birkenstock,Frisco,TX,Housekeeper,37-2012,Maids and Housekeeping Cleaners,72111.0,20.0,20.0,Y,Peakload,$13.,Hour,19.5,19.5,N,,None,,,N,,N,,,Y,2.0,Avon,CO,81620,N,,,,
42,2016,H-400-15148-358426,2015-10-19,H-2B,2015-09-02,Certification Expired,2015-12-01 00:00:00,2016-08-31,CHRISTIE LODGE OWNER'S ASSOCIATION,47 EAST BEAVER CREEK BOULEVARD,,AVON,CO,81620,UNITED STATES OF AMERICA,,970-845-4500,,Practical Employee Solutions,Veronica Strickland-Birkenstock,FRISCO,TX,Housekeeper,37-2012,Maids and Housekeeping Cleaners,721110.0,10.0,10.0,Y,Peakload,$12.42,Hour,18.63,18.63,N,,None,,,N,,N,,,Y,2.0,Avon,CO,81620,N,,,,
43,2016,H-400-15149-944930,2016-01-13,H-2B,2015-12-01,Certification,2016-02-15 00:00:00,2016-11-15,Janousek Logistics,731 Engel Road,,New Braunfels,TX,78131,UNITED STATES OF AMERICA,,214-403-0706,,PRACTICAL EMPLOYEE SOLUTIONS,VERONICA STRICKLAND-BIRKENSTOCK,Frisco,TX,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,20.0,20.0,Y,Seasonal,$8.75,Hour,13.13,17.45,N,,None,,,N,,N,,,N,,New Braunfels,TX,78131,Y,,,,
44,2016,H-400-15152-511396,2016-02-17,H-2B,2015-12-02,Certification,2016-02-17 00:00:00,2016-11-15,"El Nopalito, Inc.",1506 Old Hwy 135 N,,Corydon,IN,47112,UNITED STATES OF AMERICA,,812-738-4377,,"CONLEY LAW GROUP, PLLC",Laura BUCKLEY,LEXINGTON,KY,Combined Food Preparation and Serving Workers,35-3021,"Combined Food Preparation and Serving Workers,",722110.0,7.0,7.0,Y,Peakload,$8.47,Hour,12.71,12.71,N,,None,,,N,,N,,,N,,Corydon,IN,47112,N,,,,
